# provenance: previous project reference
# extraction_date: 2026-07-29
# schema: grade,diameter_in,area_in2,unit_weight_lbf_ft,modulus_psi,catalog_sonic_velocity_ft_s,weight_derived_velocity_ft_s,tensile_strength_psi,raw_sonic_velocity_kft_s,catalog_velocity_relative_residual,source_rows,raw_labels
# units: explicit in unit-suffixed fields; surface values unverified_source_unit
grade,diameter_in,area_in2,unit_weight_lbf_ft,modulus_psi,catalog_sonic_velocity_ft_s,weight_derived_velocity_ft_s,tensile_strength_psi,raw_sonic_velocity_kft_s,catalog_velocity_relative_residual,source_rows,raw_labels
PRO-D-750N,0.813,0.518,1.76,30500000,16000,16994.615055383921,125000,16,0.062163440961,388,Pro-D-750N- 0.813
PRO-D-750N,0.875,0.601,2.04,30500000,16000,17002.975857256605,125000,16,0.062685991079,389,Pro-D-750N-0.875
PRO-D-750N,1,0.785,2.67,30500000,16000,16985.642671846580,125000,16,0.061602666990,390,Pro-D-750N-1.000
PRO-D-750N,1.125,0.994,3.38,30500000,16000,16987.819111954111,125000,16,0.061738694497,391,Pro-D-750N-1.125
PRO-D-780M,0.813,0.518,1.76,30500000,16000,16994.615055383921,120000,16,0.062163440961,392,Pro-D-780M-0.813
PRO-D-780M,0.875,0.601,2.04,30500000,16000,17002.975857256605,120000,16,0.062685991079,393,Pro-D-780M-0.875
PRO-D-780M,1,0.785,2.67,30500000,16000,16985.642671846580,120000,16,0.061602666990,394,Pro-D-780M-1.000
PRO-D-780M,1.125,0.994,3.38,30500000,16000,16987.819111954111,120000,16,0.061738694497,395,Pro-D-780M-1.125
PRO-D-960M,0.813,0.518,2.04,30000000,16000,15655.368323771280,140000,16,0.021539479764,396,Pro-D-960M-0.813
PRO-D-960M,0.875,0.601,1.76,30000000,16000,18154.922346232365,140000,16,0.134682646640,397,Pro-D-960M-0.875
PRO-D-960M,1,0.994,3.38,30000000,16000,16847.999293017399,140000,16,0.052999955814,398,Pro-D-960M-1.000
PRO-D-960M,1.125,0.785,2.67,30000000,16000,16845.840766301797,140000,16,0.052865047894,399,Pro-D-960M-1.125
PRO-D-970N,0.813,0.518,1.76,30000000,16000,16854.739301805240,140000,16,0.053421206363,400,Pro-D-970N-0.813
PRO-D-970N,0.875,0.601,2.04,30000000,16000,16863.031289323574,140000,16,0.053939455583,401,Pro-D-970N-0.875
PRO-D-970N,1,0.785,2.67,30000000,16000,16845.840766301797,140000,16,0.052865047894,402,Pro-D-970N-1.000
PRO-D-970N,1.125,0.994,3.38,30000000,16000,16847.999293017399,140000,16,0.052999955814,403,Pro-D-970N-1.125
PROROD (96),0.813,0.518,1.76,30000000,16000,16854.739301805240,140000,16,0.053421206363,404,Prorod (96) - 0.813
PROROD (96),0.875,0.601,2.04,30000000,16000,16863.031289323574,140000,16,0.053939455583,405,Prorod (96) - 0.875
PROROD (96),1,0.785,2.67,30000000,16000,16845.840766301797,140000,16,0.052865047894,406,Prorod (96) - 1.000
PROROD (96),1.125,0.994,3.38,30000000,16000,16847.999293017399,140000,16,0.052999955814,407,Prorod (96) - 1.125
PROROD (97),0.813,0.518,1.76,30000000,16000,16854.739301805240,140000,16,0.053421206363,408,Prorod (97) - 0.813
PROROD (97),0.875,0.601,2.04,30000000,16000,16863.031289323574,140000,16,0.053939455583,409,Prorod (97) - 0.875
PROROD (97),1,0.785,2.67,30000000,16000,16845.840766301797,140000,16,0.052865047894,410,Prorod (97) - 1.000
PROROD (97),1.125,0.994,3.38,30000000,16000,16847.999293017399,140000,16,0.052999955814,411,Prorod (97) - 1.125
PROROD (D),0.813,0.518,1.76,30000000,16000,16854.739301805240,140000,16,0.053421206363,412,Prorod (D) - 0.813
PROROD (D),0.875,0.601,2.04,30000000,16000,16863.031289323574,120000,16,0.053939455583,413,Prorod (D) - 0.875
PROROD (D),1,0.785,2.67,30000000,16000,16845.840766301797,120000,16,0.052865047894,414,Prorod (D) - 1.000
PROROD (D),1.125,0.994,3.38,30000000,16000,16847.999293017399,120000,16,0.052999955814,415,Prorod (D) - 1.125
PROROD (DM),0.813,0.518,1.76,30500000,16000,16994.615055383921,120000,16,0.062163440961,416,Prorod (DM) - 0.813
PROROD (DM),0.875,0.601,2.04,30500000,16000,17002.975857256605,120000,16,0.062685991079,417,Prorod (DM) - 0.875
PROROD (DM),1,0.785,2.67,30500000,16000,16985.642671846580,120000,16,0.061602666990,418,Prorod (DM) - 1.000
PROROD (DM),1.125,0.994,3.38,30500000,16000,16987.819111954111,120000,16,0.061738694497,419,Prorod (DM) - 1.125
PROROD (DS),0.813,0.518,1.76,30500000,16000,16994.615055383921,140000,16,0.062163440961,420,Prorod (DS) - 0.813
PROROD (DS),0.875,0.601,2.04,30500000,16000,17002.975857256605,125000,16,0.062685991079,421,Prorod (DS) - 0.875
PROROD (DS),1,0.785,2.67,30500000,16000,16985.642671846580,125000,16,0.061602666990,422,Prorod (DS) - 1.000
PROROD (DS),1.125,0.994,3.38,30500000,16000,16987.819111954111,125000,16,0.061738694497,423,Prorod (DS) - 1.125
S88,1,0.785,0.72,29000000,15800,31894.841281110371,140000,15.8,1.018660840577,424,S88 - 1.00
SB,1.5,1.766,6,30500000,16000,16995.052491583151,90000,16,0.062190780724,447,SB - 1.5
SB (C),1.25,1.227,4.17,30500000,16000,16992.490654729787,90000,16,0.062030665921,425,SB (C)  - 1.250
SB (C),1.375,1.485,5.05,30500000,16000,16987.142252478508,90000,16,0.061696390780,426,SB (C)  - 1.375
SB (C),1.5,1.766,6.01,30500000,16000,16980.907626467898,90000,16,0.061306726654,427,SB (C)  - 1.500
SB (C),1.625,2.074,7.05,30500000,16000,16990.752098072528,90000,16,0.061922006130,428,SB (C)  - 1.625
SB (C),1.75,2.405,8.18,30500000,16000,16985.708801795371,90000,16,0.061606800112,429,SB (C)  - 1.750
SB (C),2.313,4.2,14.28,30500000,16000,16988.824397578683,85000,16,0.061801524849,430,SB (C)  - 2.313
SB (D),1.25,1.227,4.17,30500000,16000,16992.490654729787,115000,16,0.062030665921,431,SB (D)  - 1.250
SB (D),1.375,1.485,5.05,30500000,16000,16987.142252478508,115000,16,0.061696390780,432,SB (D)  - 1.375
SB (D),1.5,1.767,6.01,30500000,16000,16985.714677555405,115000,16,0.061607167347,433,SB (D)  - 1.500
SB (D),1.625,2.074,7.05,30500000,16000,16990.752098072528,115000,16,0.061922006130,434,SB (D)  - 1.625
SB (D),1.75,2.405,8.18,30500000,16000,16985.708801795371,115000,16,0.061606800112,435,SB (D)  - 1.750
SB (D),1.813,2.405,8,30500000,16000,17175.735073880390,115000,16,0.073483442118,436,SB (D)  - 1.813
SB (D),2,3.142,10.68,30500000,16000,16991.051251086296,115000,16,0.061940703193,437,SB (D)  - 2.000
SB (D),2.313,3.142,12.35,30500000,16000,15800.557017675861,115000,16,0.012465186395,438,SB (D)  - 2.313
SB (D),2.625,5.412,14.01,30500000,16000,19469.850294008223,115000,16,0.216865643376,439,SB (D)  - 2.625
SB (K),1.25,1.227,4.17,30500000,16000,16992.490654729787,85000,16,0.062030665921,440,SB (K)  - 1.250
SB (K),1.375,1.485,5.05,30500000,16000,16987.142252478508,85000,16,0.061696390780,441,SB (K)  - 1.375
SB (K),1.5,1.766,6.01,30500000,16000,16980.907626467898,85000,16,0.061306726654,442,SB (K)  - 1.500
SB (K),1.625,2.074,7.05,30500000,16000,16990.752098072528,85000,16,0.061922006130,443,SB (K)  - 1.625
SB (K),1.75,2.405,8.18,30500000,16000,16985.708801795371,85000,16,0.061606800112,444,SB (K)  - 1.750
SB (K),1.813,2.58,8.78,30500000,16000,16981.082850401784,85000,16,0.061317678150,445,SB (K)  - 1.813
SB (K),2,3.142,10.68,30500000,16000,16991.051251086296,85000,16,0.061940703193,446,SB (K)  - 2.000
SC,1.375,1.485,5,30500000,16000,17071.866679569636,90000,16,0.066991667473,448,SC  - 1.375
SC,1.5,1.767,6,30500000,16000,16999.863546878840,90000,16,0.062491471680,449,SC  - 1.500
SC,1.625,2.074,7,30500000,16000,17051.325381456003,90000,16,0.065707836341,450,SC  - 1.625
SC,1.75,2.405,8,30500000,16000,17175.735073880390,90000,16,0.073483442118,451,SC  - 1.750
SK,1.25,1.227,4.35,30500000,16000,16637.207713435569,115000,16,0.039825482090,474,SK  - 1.25
SK,1.375,1.485,5,30500000,16000,17071.866679569636,115000,16,0.066991667473,475,SK  - 1.375
SK,1.5,1.767,6,30500000,16000,16999.863546878840,115000,16,0.062491471680,476,SK  - 1.500
SK,1.625,2.074,7,30500000,16000,17051.325381456003,115000,16,0.065707836341,477,SK  - 1.625
SK,1.75,2.405,8,30500000,16000,17175.735073880390,115000,16,0.073483442118,478,SK  - 1.750
TN C,0.625,0.307,1.13,29850000,16730,16153.067203670119,90000,16.73,0.034484925065,515,Tn C  - 0.625
TN C,0.75,0.442,1.63,29850000,16730,16137.727078708177,90000,16.73,0.035401848254,516,Tn C  - 0.750
TN C,0.875,0.601,2.22,29850000,16730,16124.482405164498,90000,16.73,0.036193520313,517,Tn C  - 0.875
TN C,1,0.785,2.9,29850000,16730,16123.557226152050,90000,16.73,0.036248820911,518,Tn C  - 1.000
TN C,1.125,0.994,3.67,29850000,16730,16128.173769535315,90000,16.73,0.035972876896,519,Tn C  - 1.125
TN D,0.625,0.307,1.13,29850000,16730,16153.067203670119,120000,16.73,0.034484925065,520,Tn D  - 0.625
TN D,0.75,0.442,1.63,29850000,16730,16137.727078708177,115000,16.73,0.035401848254,521,Tn D  - 0.750
TN D,0.875,0.601,2.22,29850000,16730,16124.482405164498,115000,16.73,0.036193520313,522,Tn D  - 0.875
TN D,1,0.785,2.9,29850000,16730,16123.557226152050,115000,16.73,0.036248820911,523,Tn D  - 1.000
TN D,1.125,0.994,3.67,29850000,16730,16128.173769535315,115000,16.73,0.035972876896,524,Tn D  - 1.125
TN D,1.25,1.227,4.9,29850000,16730,15507.767287536519,115000,16.73,0.073056348623,525,Tn D  - 1.250
TN D,1.5,1.767,6.13,29850000,16730,16638.457871759818,115000,16.73,0.005471735101,526,Tn D  - 1.500
TN D1,0.625,0.307,1.13,29850000,16730,16153.067203670119,120000,16.73,0.034484925065,527,Tn D1  - 0.625
TN D1,0.75,0.442,1.63,29850000,16730,16137.727078708177,120000,16.73,0.035401848254,528,Tn D1  - 0.750
TN D1,0.875,0.601,2.22,29850000,16730,16124.482405164498,120000,16.73,0.036193520313,529,Tn D1  - 0.875
TN D1,1,0.785,2.9,29850000,16730,16123.557226152050,120000,16.73,0.036248820911,530,Tn D1  - 1.000
TN D1,1.125,0.994,3.67,29850000,16730,16128.173769535315,120000,16.73,0.035972876896,531,Tn D1  - 1.125
TN D1,1.25,1.227,4.9,29850000,16730,15507.767287536519,120000,16.73,0.073056348623,532,Tn D1  - 1.250
TN D1,1.5,1.767,6.13,29850000,16730,16638.457871759818,120000,16.73,0.005471735101,533,Tn D1  - 1.500
TN D2,0.625,0.307,1.13,29850000,16730,16153.067203670119,125000,16.73,0.034484925065,534,Tn D2  - 0.625
TN D2,0.75,0.442,1.63,29850000,16730,16137.727078708177,125000,16.73,0.035401848254,535,Tn D2  - 0.750
TN D2,0.875,0.601,2.22,29850000,16730,16124.482405164498,125000,16.73,0.036193520313,536,Tn D2  - 0.875
TN D2,1,0.785,2.9,29850000,16730,16123.557226152050,125000,16.73,0.036248820911,537,Tn D2  - 1.000
TN D2,1.125,0.994,3.67,29850000,16730,16128.173769535315,125000,16.73,0.035972876896,538,Tn D2  - 1.125
TN D2,1.25,1.227,4.9,29850000,16730,15507.767287536519,125000,16.73,0.073056348623,539,Tn D2  - 1.250
TN D2,1.5,1.767,6.13,29850000,16730,16638.457871759818,125000,16.73,0.005471735101,540,Tn D2  - 1.500
TN K,0.625,0.307,1.13,29850000,16730,16153.067203670119,90000,16.73,0.034484925065,541,Tn K  - 0.625
TN K,0.75,0.442,1.63,29850000,16730,16137.727078708177,90000,16.73,0.035401848254,542,Tn K  - 0.750
TN K,0.875,0.601,2.22,29850000,16730,16124.482405164498,90000,16.73,0.036193520313,543,Tn K  - 0.875
TN K,1,0.785,2.9,29850000,16730,16123.557226152050,90000,16.73,0.036248820911,544,Tn K  - 1.000
TN K,1.125,0.994,3.67,29850000,16730,16128.173769535315,90000,16.73,0.035972876896,545,Tn K  - 1.125
TN KD,0.625,0.307,1.13,29850000,16730,16153.067203670119,125000,16.73,0.034484925065,546,Tn KD  - 0.625
TN KD,0.75,0.442,1.63,29850000,16730,16137.727078708177,125000,16.73,0.035401848254,547,Tn KD  - 0.750
TN KD,0.875,0.601,2.22,29850000,16730,16124.482405164498,125000,16.73,0.036193520313,548,Tn KD  - 0.875
TN KD,1,0.785,2.9,29850000,16730,16123.557226152050,125000,16.73,0.036248820911,549,Tn KD  - 1.000
TN KD,1.125,0.994,3.67,29850000,16730,16128.173769535315,125000,16.73,0.035972876896,550,Tn KD  - 1.125
TN KD,1.25,1.227,4.9,29850000,16730,15507.767287536519,125000,16.73,0.073056348623,551,Tn KD  - 1.250
TN KD,1.5,1.767,6.13,29850000,16730,16638.457871759818,125000,16.73,0.005471735101,552,Tn KD  - 1.500
TN MMS HS,0.625,0.307,1.13,29900000,16730,16166.590075191863,138000,16.73,0.033676624316,553,Tn MMS HS  - 0.625
TN MMS HS,0.75,0.442,1.63,29900000,16730,16151.237107929671,138000,16.73,0.034594315127,554,Tn MMS HS  - 0.750
TN MMS HS,0.875,0.601,2.22,29900000,16730,16137.981346335876,138000,16.73,0.035386649950,555,Tn MMS HS  - 0.875
TN MMS HS,1,0.785,2.9,29900000,16730,16137.055392790842,138000,16.73,0.035441996845,556,Tn MMS HS  - 1.000
TN MMS HS,1.125,0.994,3.67,29900000,16730,16141.675801008089,138000,16.73,0.035165821817,557,Tn MMS HS  - 1.125
TN MMS HS,1.25,1.227,4.9,29900000,16730,15520.749932997860,138000,16.73,0.072280338733,558,Tn MMS HS  - 1.250
TN MMS HS,1.5,1.767,6.13,29900000,16730,16652.387098035100,138000,16.73,0.004639145366,559,Tn MMS HS  - 1.500
TN PLUS HS,0.625,0.307,1.13,29850000,16730,16153.067203670119,140000,16.73,0.034484925065,560,Tn Plus HS  - 0.625
TN PLUS HS,0.75,0.442,1.63,29850000,16730,16137.727078708177,140000,16.73,0.035401848254,561,Tn Plus HS  - 0.750
TN PLUS HS,0.875,0.601,2.22,29850000,16730,16124.482405164498,140000,16.73,0.036193520313,562,Tn Plus HS  - 0.875
TN PLUS HS,1,0.785,2.9,29850000,16730,16123.557226152050,140000,16.73,0.036248820911,563,Tn Plus HS  - 1.000
TN PLUS HS,1.125,0.994,3.67,29850000,16730,16128.173769535315,140000,16.73,0.035972876896,564,Tn Plus HS  - 1.125
TN UHS HS,0.625,0.307,1.13,29850000,16730,16153.067203670119,140000,16.73,0.034484925065,565,Tn UHS HS  - 0.625
TN UHS HS,0.75,0.442,1.63,29850000,16730,16137.727078708177,140000,16.73,0.035401848254,566,Tn UHS HS  - 0.750
TN UHS HS,0.875,0.601,2.22,29850000,16730,16124.482405164498,140000,16.73,0.036193520313,567,Tn UHS HS  - 0.875
TN UHS HS,1,0.785,2.9,29900000,16730,16137.055392790842,138000,16.73,0.035441996845,600,Tn UhS HS  - 1.000
TN UHS HS,1.125,0.994,3.67,29850000,16730,16128.173769535315,140000,16.73,0.035972876896,568,Tn UHS HS  - 1.125
TN UHS HS,1.25,1.227,4.9,29850000,16730,15507.767287536519,140000,16.73,0.073056348623,569,Tn UHS HS  - 1.250
TN UHS HS,1.5,1.767,6.13,29850000,16730,16638.457871759818,140000,16.73,0.005471735101,570,Tn UHS HS  - 1.500
TN UTS C,0.75,0.442,1.63,30500000,16000,16312.484737552506,115000,16,0.019530296097,571,Tn UTS C - 0.750
TN UTS C,0.875,0.601,2.22,30500000,16000,16299.096635623319,115000,16,0.018693539726,572,Tn UTS C - 0.875
TN UTS C,1,0.785,2.9,30500000,16000,16298.161437720514,115000,16,0.018635089858,573,Tn UTS C - 1.000
TN UTS DALY,0.75,0.442,1.63,30500000,16000,16312.484737552506,140000,16,0.019530296097,574,Tn UTS DALY - 0.750
TN UTS DALY,0.875,0.601,2.22,30500000,16000,16299.096635623319,140000,16,0.018693539726,575,Tn UTS DALY - 0.875
TN UTS DALY,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,576,Tn UTS DALY - 1.000
TN UTS DCAR,0.75,0.442,1.63,30500000,16000,16312.484737552506,140000,16,0.019530296097,577,Tn UTS DCAR - 0.750
TN UTS DCAR,0.875,0.601,2.22,30500000,16000,16299.096635623319,140000,16,0.018693539726,578,Tn UTS DCAR - 0.875
TN UTS DCAR,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,579,Tn UTS DCAR - 1.000
TN UTS DSEP,0.75,0.442,1.63,30500000,16000,16312.484737552506,140000,16,0.019530296097,580,Tn UTS DSEP - 0.750
TN UTS DSEP,0.875,0.601,2.22,30500000,16000,16299.096635623319,140000,16,0.018693539726,581,Tn UTS DSEP - 0.875
TN UTS DSEP,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,582,Tn UTS DSEP - 1.000
TN UTS K,0.75,0.442,1.63,30500000,16000,16312.484737552506,115000,16,0.019530296097,583,Tn UTS K - 0.750
TN UTS K,0.875,0.601,2.22,30500000,16000,16299.096635623319,115000,16,0.018693539726,584,Tn UTS K - 0.875
TN UTS K,1,0.785,2.9,30500000,16000,16298.161437720514,115000,16,0.018635089858,585,Tn UTS K - 1.000
TN UTS KDSEP,0.75,0.442,1.63,30500000,16000,16312.484737552506,140000,16,0.019530296097,586,Tn UTS KDSEP - 0.750
TN UTS KDSEP,0.875,0.601,2.22,30500000,16000,16299.096635623319,140000,16,0.018693539726,587,Tn UTS KDSEP - 0.875
TN UTS KDSEP,1,0.785,2.9,30500000,16000,16298.161437720514,140000,16,0.018635089858,588,Tn UTS KDSEP - 1.000
TN UTS MMS,0.75,0.442,1.63,30500000,16000,16312.484737552506,155000,16,0.019530296097,589,Tn UTS MMS - 0.750
TN UTS MMS,0.875,0.601,2.22,30500000,16000,16299.096635623319,155000,16,0.018693539726,590,Tn UTS MMS - 0.875
TN UTS MMS,1,0.785,2.9,30500000,16000,16298.161437720514,155000,16,0.018635089858,591,Tn UTS MMS - 1.000
TN UTS MMS,1.125,0.994,2.9,30500000,16730,18339.900667669932,155000,16.73,0.096228372246,592,Tn UTS MMS - 1.125
TN UTS PLUS,0.75,0.442,1.63,30500000,16000,16312.484737552506,160000,16,0.019530296097,593,Tn UTS PLUS - 0.750
TN UTS PLUS,0.875,0.601,2.22,30500000,16000,16299.096635623319,160000,16,0.018693539726,594,Tn UTS PLUS - 0.875
TN UTS PLUS,1,0.785,2.9,30500000,16000,16298.161437720514,160000,16,0.018635089858,595,Tn UTS PLUS - 1.000
TN UTS UHS,0.75,0.442,1.63,30500000,16000,16312.484737552506,160000,16,0.019530296097,596,Tn UTS UHS - 0.750
TN UTS UHS,0.875,0.601,2.22,30500000,16000,16299.096635623319,160000,16,0.018693539726,597,Tn UTS UHS - 0.875
TN UTS UHS,1,0.785,2.9,30500000,16000,16298.161437720514,160000,16,0.018635089858,598,Tn UTS UHS - 1.000
TN UTS UHS,1.125,0.994,3.67,30500000,16730,16302.827974284954,160000,16.73,0.025533295022,599,Tn UTS UHS - 1.125
TN YS C,0.75,0.442,1.63,30500000,16000,16312.484737552506,60000,16,0.019530296097,601,Tn YS C - 0.750
TN YS C,0.875,0.601,2.22,30500000,16000,16299.096635623319,60000,16,0.018693539726,602,Tn YS C - 0.875
TN YS C,1,0.785,2.9,30500000,16000,16298.161437720514,60000,16,0.018635089858,603,Tn YS C - 1.000
TN YS DALY,0.75,0.442,1.63,30500000,16000,16312.484737552506,100000,16,0.019530296097,604,Tn YS DALY - 0.750
TN YS DALY,0.875,0.601,2.22,30500000,16000,16299.096635623319,100000,16,0.018693539726,605,Tn YS DALY - 0.875
TN YS DALY,1,0.785,1.63,30500000,16000,21739.212713477931,100000,16,0.358700794592,606,Tn YS DALY - 1.000
TN YS DCAR,0.75,0.442,1.63,30500000,16000,16312.484737552506,85000,16,0.019530296097,607,Tn YS DCAR - 0.750
TN YS DCAR,0.875,0.601,2.22,30500000,16000,16299.096635623319,85000,16,0.018693539726,608,Tn YS DCAR - 0.875
TN YS DCAR,1,0.785,2.9,30500000,16000,16298.161437720514,85000,16,0.018635089858,609,Tn YS DCAR - 1.000
TN YS DSEP,0.75,0.442,1.63,30500000,16000,16312.484737552506,100000,16,0.019530296097,610,Tn YS DSEP - 0.750
TN YS DSEP,0.875,0.601,2.22,30500000,16000,16299.096635623319,100000,16,0.018693539726,611,Tn YS DSEP - 0.875
TN YS DSEP,1,0.785,1.63,30500000,16000,21739.212713477931,100000,16,0.358700794592,612,Tn YS DSEP - 1.000
TN YS K,0.75,0.442,1.63,30500000,16000,16312.484737552506,60000,16,0.019530296097,613,Tn YS K - 0.750
TN YS K,0.875,0.601,2.22,30500000,16000,16299.096635623319,60000,16,0.018693539726,614,Tn YS K - 0.875
TN YS K,1,0.785,2.9,30500000,16000,16298.161437720514,60000,16,0.018635089858,615,Tn YS K - 1.000
TN YS KDSEP,0.75,0.442,1.63,30500000,16000,16312.484737552506,100000,16,0.019530296097,616,Tn YS KDSEP - 0.750
TN YS KDSEP,0.875,0.601,2.22,30500000,16000,16299.096635623319,100000,16,0.018693539726,617,Tn YS KDSEP - 0.875
TN YS KDSEP,1,0.785,1.63,30500000,16000,21739.212713477931,100000,16,0.358700794592,618,Tn YS KDSEP - 1.000
TN YS MMS,0.75,0.442,1.63,30500000,16000,16312.484737552506,115000,16,0.019530296097,619,Tn YS MMS - 0.750
TN YS MMS,0.875,0.601,2.22,30500000,16000,16299.096635623319,115000,16,0.018693539726,620,Tn YS MMS - 0.875
TN YS MMS,1,0.785,1.63,30500000,16000,21739.212713477931,115000,16,0.358700794592,621,Tn YS MMS - 1.000
TN YS PLUS,0.75,0.442,1.63,30500000,16000,16312.484737552506,115000,16,0.019530296097,622,Tn YS PLUS - 0.750
TN YS PLUS,0.875,0.601,2.22,30500000,16000,16299.096635623319,115000,16,0.018693539726,623,Tn YS PLUS - 0.875
TN YS PLUS,1,0.785,1.63,30500000,16000,21739.212713477931,115000,16,0.358700794592,624,Tn YS PLUS - 1.000
TN YS UHS,0.75,0.442,1.63,30500000,16000,16312.484737552506,115000,16,0.019530296097,625,Tn YS UHS - 0.750
TN YS UHS,0.875,0.601,2.22,30500000,16000,16299.096635623319,115000,16,0.018693539726,626,Tn YS UHS - 0.875
TN YS UHS,1,0.785,1.63,30500000,16000,21739.212713477931,115000,16,0.358700794592,627,Tn YS UHS - 1.000
TN-C,0.625,0.307,1.13,29850000,16730,16153.067203670119,90000,16.73,0.034484925065,628,Tn-C  - 0.625
TN-C,0.75,0.442,1.63,29850000,16730,16137.727078708177,90000,16.73,0.035401848254,629,Tn-C  - 0.750
TN-C,0.875,0.601,2.22,29850000,16730,16124.482405164498,90000,16.73,0.036193520313,630,Tn-C  - 0.875
TN-C,1,0.785,2.9,29850000,16730,16123.557226152050,90000,16.73,0.036248820911,631,Tn-C  - 1.000
TN-C,1.125,0.994,3.67,29850000,16730,16128.173769535315,90000,16.73,0.035972876896,632,Tn-C  - 1.125
TN-D,0.625,0.307,1.13,29850000,16730,16153.067203670119,120000,16.73,0.034484925065,633,Tn-D  - 0.625
TN-D,0.75,0.442,1.63,29850000,16730,16137.727078708177,115000,16.73,0.035401848254,634,Tn-D  - 0.750
TN-D,0.875,0.601,2.22,29850000,16730,16124.482405164498,115000,16.73,0.036193520313,635,Tn-D  - 0.875
TN-D,1,0.785,2.9,29850000,16730,16123.557226152050,115000,16.73,0.036248820911,636,Tn-D  - 1.000
TN-D,1.125,0.994,3.67,29850000,16730,16128.173769535315,115000,16.73,0.035972876896,637,Tn-D  - 1.125
TN-D,1.25,1.227,4.9,29850000,16730,15507.767287536519,115000,16.73,0.073056348623,638,Tn-D  - 1.250
TN-D,1.5,1.767,6.13,29850000,16730,16638.457871759818,115000,16.73,0.005471735101,639,Tn-D  - 1.500
TN-D1,0.625,0.307,1.13,29850000,16730,16153.067203670119,120000,16.73,0.034484925065,640,Tn-D1  - 0.625
TN-D1,0.75,0.442,1.63,29850000,16730,16137.727078708177,120000,16.73,0.035401848254,641,Tn-D1  - 0.750
TN-D1,0.875,0.601,2.22,29850000,16730,16124.482405164498,120000,16.73,0.036193520313,642,Tn-D1  - 0.875
TN-D1,1,0.785,2.9,29850000,16730,16123.557226152050,120000,16.73,0.036248820911,643,Tn-D1  - 1.000
TN-D1,1.125,0.994,3.67,29850000,16730,16128.173769535315,120000,16.73,0.035972876896,644,Tn-D1  - 1.125
TN-D1,1.25,1.227,4.9,29850000,16730,15507.767287536519,120000,16.73,0.073056348623,645,Tn-D1  - 1.250
TN-D1,1.5,1.767,6.13,29850000,16730,16638.457871759818,120000,16.73,0.005471735101,646,Tn-D1  - 1.500
TN-D2,0.625,0.307,1.13,29850000,16730,16153.067203670119,125000,16.73,0.034484925065,647,Tn-D2  - 0.625
TN-D2,0.75,0.442,1.63,29850000,16730,16137.727078708177,125000,16.73,0.035401848254,648,Tn-D2  - 0.750
TN-D2,0.875,0.601,2.22,29850000,16730,16124.482405164498,125000,16.73,0.036193520313,649,Tn-D2  - 0.875
TN-D2,1,0.785,2.9,29850000,16730,16123.557226152050,125000,16.73,0.036248820911,650,Tn-D2  - 1.000
TN-D2,1.125,0.994,3.67,29850000,16730,16128.173769535315,125000,16.73,0.035972876896,651,Tn-D2  - 1.125
TN-D2,1.25,1.227,4.9,29850000,16730,15507.767287536519,125000,16.73,0.073056348623,652,Tn-D2  - 1.250
TN-D2,1.5,1.767,6.13,29850000,16730,16638.457871759818,125000,16.73,0.005471735101,653,Tn-D2  - 1.500
TN-K,0.625,0.307,1.13,29850000,16730,16153.067203670119,90000,16.73,0.034484925065,654,Tn-K  - 0.625
TN-K,0.75,0.442,1.63,29850000,16730,16137.727078708177,90000,16.73,0.035401848254,655,Tn-K  - 0.750
TN-K,0.875,0.601,2.22,29850000,16730,16124.482405164498,90000,16.73,0.036193520313,656,Tn-K  - 0.875
TN-K,1,0.785,2.9,29850000,16730,16123.557226152050,90000,16.73,0.036248820911,657,Tn-K  - 1.000
TN-K,1.125,0.994,3.67,29850000,16730,16128.173769535315,90000,16.73,0.035972876896,658,Tn-K  - 1.125
TN-KD,0.625,0.307,1.13,29850000,16730,16153.067203670119,125000,16.73,0.034484925065,659,Tn-KD  - 0.625
TN-KD,0.75,0.442,1.63,29850000,16730,16137.727078708177,125000,16.73,0.035401848254,660,Tn-KD  - 0.750
TN-KD,0.875,0.601,2.22,29850000,16730,16124.482405164498,125000,16.73,0.036193520313,661,Tn-KD  - 0.875
TN-KD,1,0.785,2.9,29850000,16730,16123.557226152050,125000,16.73,0.036248820911,662,Tn-KD  - 1.000
TN-KD,1.125,0.994,3.67,29850000,16730,16128.173769535315,125000,16.73,0.035972876896,663,Tn-KD  - 1.125
TN-KD,1.25,1.227,4.9,29850000,16730,15507.767287536519,125000,16.73,0.073056348623,664,Tn-KD  - 1.250
TN-KD,1.5,1.767,6.13,29850000,16730,16638.457871759818,125000,16.73,0.005471735101,665,Tn-KD  - 1.500
TN-MMS-HS,0.625,0.307,1.13,29900000,16730,16166.590075191863,138000,16.73,0.033676624316,666,Tn-MMS-HS  - 0.625
TN-MMS-HS,0.75,0.442,1.63,29900000,16730,16151.237107929671,138000,16.73,0.034594315127,667,Tn-MMS-HS  - 0.750
TN-MMS-HS,0.875,0.601,2.22,29900000,16730,16137.981346335876,138000,16.73,0.035386649950,668,Tn-MMS-HS  - 0.875
TN-MMS-HS,1,0.785,2.9,29900000,16730,16137.055392790842,138000,16.73,0.035441996845,669,Tn-MMS-HS  - 1.000
