Drilling Company,Name,Conventional Mooring,Dynamically Positioned,Vessel Type,VESSEL DESIGN,CONSTRUCTION DATE,UPGRADE DATE,CLASSIFICATION,Maximum Water Depth Equipped,Maximum Water Depth Rating,MAXIMUM DRILLING DEPTH,CURRENT CONTRACT,AREA OF OPERATION,TOTAL VESSEL POWER,MAX. VESSEL SPEED,QUARTERS CAPACITY,LENGTH,Width,TRANSIT DRAFT,OPERATING DRAFT,MAX. VARIABLE LOAD,MOONPOOL SIZE,D.P. RATING (if applicable),THRUSTERS
WEST,WEST GEMINI,No,Yes,DS,Samsung 10000,2010,-,ABS,10000,10000,37500,4Q/17,West,64500,11,180,748,138,27.2,39.4,20000,84x31,DP-3,"6x5,360"
WEST,WEST HERCULES,No,Yes,SS,GVA,7500,2008,-,DNV,10000,10000,35000,1Q/17,50500,6,180,382,317,30.5,75.5,7000,63x26,DP-3,"8x4,690"
WEST,WEST JUPITER,No,Yes,DS,Samsung 12000,2014,-,ABS,12000,12000,37500,1Q/15,Asia,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000"
WEST,WEST LEO,No,Yes,SS,Moss CS50 MkII,2012,-,DNV,10000,10000,35000,2Q/18,West,49300,8,192,387,239,32.3,77,6800,-,DP-3,"8x5,100"
WEST,WEST NAVIGATOR,No,Yes,DS,MST Converted to Drillship,2000,-,DNV,7500,8200,35000,1Q/15,North,43000,12,117,830,138,43,43,9900,63x39,DP-3,"4x6,120"
WEST,WEST NEPTUNE,No,Yes,DS,Samsung 12000,2014,-,ABS,12000,12000,37500,4Q/17,GoM,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000"
WEST,WEST ORION,No,Yes,SS,F&G ExD Class,2010,-,ABS,10000,10000,37500,3Q/16,Brazil,50500,7,180,379,296,27.7,65.5,7000,-,DPS-2+,"8x4,485"
WEST,WEST PEGASUS,No,Yes,SS,Moss CS50 MkII,2011,-,DNV,10000,10000,35000,3Q/16,Mexico,49300,8,192,387,239,32.3,77,6800,-,DP-3,"8x5,100"
WEST,WEST PHOENIX,No,Yes,SS,Moss CS50 MkII,2008,-,DNV,10000,10000,30000,4Q/15,North,50500,8,128,273,239,32.3,77,6100,-,DP-3,"8x4,485"
WEST,WEST POLARIS,No,Yes,DS,Samsung 10000,2008,-,ABS,10000,10000,37500,1Q/18,West,64500,11,180,748,138,27.2,39.4,20000,84x31,DP-3,"6x5,360"
WEST,WEST SIRIUS,No,Yes,SS,F&G ExD Class,2008,-,ABS,10000,10000,37500,3Q/14,GoM,50500,7,180,379,296,27.7,65.5,7000,-,DPS-2+,"8x4,485"
WEST,WEST TAURUS,No,Yes,SS,F&G ExD Class,2008,-,ABS,10000,10000,37500,1Q/15,Brazil,50500,7,180,379,296,27.7,65.5,7000,-,DPS-2+,"8x4,485"
WEST,WEST TELLUS,No,Yes,DS,Samsung 12000,2013,-,DNV,10000,12000,37500,3Q/14,West,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000"
WEST,WEST VELA,No,Yes,DS,"SHI S10,000",2013,-,ABS,10000,12000,37500,4Q/20,GoM,56300,12,200,748,138,-,-,18000,-,DP-3,"6x6,000"
SEVAN,SEVAN BRASIL,No,Yes,SS,Sevan 650,2012,-,DNV,10000,12000,40000,3Q/18,Brazil,56300,8,150,-,-,-,-,-,-,-,"8x5,100"
SEVAN,SEVAN DEVELOPER,No,Yes,DS,Sevan 650,2014,-,-,12500,12500,40000,2Q/16,Brazil,56300,8,150,-,-,-,-,-,-,-,"8x5,100"
SEVAN,SEVAN DRILLER,No,Yes,SS,Sevan 650,2009,-,-,12500,12500,40000,2Q/16,Brazil,43655,9,150,279,246,-,-,-,-,-,"8x5,100"
SEVAN,SEVAN LOUISIANA,No,Yes,SS,Sevan 650,2013,-,-,10000,10000,-,2Q/17,GoM,56300,8,150,-,-,-,-,-,-,-,"8x5,100"
STENA,STENA CARRON,No,Yes,DS,Stena/Samsung,2008,-,DNV,7500,10000,35000,4Q/16,International,60000,12,180,748,137.8,26.25,39.4,22046,84x41,DP-3,"6x5,500"
STENA,STENA DRILLMAX,No,Yes,DS,Stena/Samsung,2007,-,DNV,7500,10000,35000,2Q/16,International,56300,12,180,748,137.8,26.25,39.4,22046,84x41,DP-3,"6x5,500"
STENA,STENA FORTH,No,Yes,DS,Stena/Samsung,2009,-,DNV,7500,10000,35000,4Q/15,International,60000,12,180,748,137.8,26.25,39.4,22046,84x41,DP-3,"6x5,500"
STENA,STENA ICEMAX,No,Yes,DS,Stena/Samsung,2012,-,DNV,7500,10000,35000,2Q/17,International,60000,12,180,748,137.8,26.25,39.4,16535,84x41,DP-3,"6x5,500"
CAJUN,CAJUN EXPRESS,No,Yes,SS,SFXpress,2000,2001,-,ABS,8500,8500,35000,4Q/18,41230,10,140,349,226,29.5,65.5,8800,144x46,DP-3,"4x9,400"
DEEPWATER,DEEPWATER ASGARD,No,Yes,DS,DSME 12000 Ultradeepwater DS,2014,-,DNV,10000,12000,40000,Q2,2017,56300,12.5,200,781,138,29.5,39,25353,82x41.3,DP-3,"6x7,372"
DEEPWATER,DEEPWATER CHAMPION,No,Yes,DS,Transocean/MSC Gusto P10000,2011,-,DNV,10000,12000,40000,4Q/19,GoM,60346,14,210,752,118,30,36,23888,73.5x42,DP-2,"6x6,705"
DEEPWATER,DEEPWATER DISCOVERY,No,Yes,DS,RBF/Samsung,2000,-,ABS,10000,10000,30000,3Q/18,Nigeria,42900,12.2,140,746.5,137.8,27.9,39.4,24251,52x40,DPS,3
DEEPWATER,DEEPWATER EXPEDITION,No,Yes,DS,Rauma Repola Arctic,1999,-,DNV,8500,8500,30000,4Q/18,Saudi,26000,14,130,564,93,26,26,8500,26x28,Autr.,DP.
DEEPWATER,DEEPWATER FRONTIER,No,Yes,DS,Conoco/Reading & Bates,1999,-,ABS,10000,10000,30000,3Q/18,Australia,46797,10,160,726,138,28,43,22928,42x41,DP-3,"6x5,360"
DEEPWATER,DEEPWATER INVICTUS,No,Yes,DS,DSME 12000 Ultradeepwater DS,2014,-,DNV,10000,12000,40000,Q2,2017,56300,12.5,200,781,138,29.5,39,25353,82x41.3,DP-3,"6x7,372"
DEEPWATER,DEEPWATER MILLENNIUM,No,Yes,DS,Conoco/Reading & Bates,1999,-,ABS,10000,10000,30000,2Q/19,Australia,46797,10,130,726,138,28,43,22928,42x41,DP-3,"6x5,360"
DEEPWATER,DEEPWATER NAVIGATOR,No,Yes,DS,Earl & Wright Sedco 400,1971,2000,DNV,7200,7200,25000,1Q/20,Brazil,24000,6,127,550.3,86.5,25,25,12304,29x29.3,NMD-2,"11x800,"
DEEPWATER,DEEPWATER PATHFINDER,No,Yes,DS,Conoco/Reading & Bates,1998,-,ABS,10000,10000,30000,2Q/19,GoM,46797,10,130,726,138,28,43,22928,42x41,DP-3,"6x5,360"
DEVELOPMENT,DEVELOPMENT DRILLER III,No,Yes,SS,SS Keppel Fels MSC DSS 51,2009,-,ABS,7500,10000,37500,4Q/20,GoM,54080,5,200,257,256,32,67,14881,136x25,DPS,2
DHIRUBHAI,DHIRUBHAI DEEPWATER KG1,No,Yes,DS,DS Samsung 10000,2009,-,ABS,10000,12000,35000,3Q/18,India,56320,12,200,748,137,28,39,22046,84x41,DP-3,"6x5,500"
DHIRUBHAI,DHIRUBHAI DEEPWATER KG2,No,Yes,DS,DS Samsung 10000,2010,-,ABS,12000,12000,35000,1Q/19,India,56320,12,200,748,137,28,39,22046,84x41,DP-3,"6x5,500"
DISCOVERER,DISCOVERER AMERICAS,No,Yes,DS,Enhanced Enterprise Class,2009,-,DNV,10000,12000,40000,1Q/20,Tanzania,56320,12,200,835,125,39,42,22046,72.5x30,SDP-32,"6x7,000"
DISCOVERER,DISCOVERER CLEAR LEADER,No,Yes,DS,Enhanced Enterprise Class,2009,-,DNV,10000,12000,40000,3Q/18,GoM,56320,12,200,835,125,39,42,22046,72.5x30,SDP-32,"6x7,000"
DISCOVERER,DISCOVERER DEEP SEAS,No,Yes,DS,DS Enterprise Class,2001,-,DNV,10000,10000,35000,4Q/20,GoM,52000,13,200,835,125,39,42,22050,80x30,DP-2,"6x7,000"
DISCOVERER,DISCOVERER ENTERPRISE,No,Yes,DS,Enterprise Class,1999,-,DNV,10000,10000,35000,4Q/18,GoM,52000,13,200,835,125,39,42,22050,80x30,DP-2,"6x7,000"
DISCOVERER,DISCOVERER INDIA,No,Yes,DS,Enhanced Enterprise Class,2010,-,DNV,10000,12000,40000,3Q/20,GoM,56320,12,220,835,125,39,42,22046,72.5x30,SDP-32,"6x7,000"
DISCOVERER,DISCOVERER INSPIRATION,No,Yes,DS,Enhanced Enterprise Class,2010,-,DNV,10000,12000,40000,1Q/19,GoM,56320,12,200,835,125,39,42,22046,72.5x30,SDP-32,"6x7,000"
DISCOVERER,DISCOVERER LUANDA,No,Yes,DS,Enhanced Enterprise Class,2010,-,DNV,7500,12000,40000,1Q/22,Angola,56320,13,200,835,125,39,42,22046,72x30,SDP-32,"6x7,000"
DISCOVERER,DISCOVERER SEVEN SEAS,No,Yes,DS,DS Sonat Discoverer,1976,1997,ABS,7000,7000,25000,3Q/18,Indonesia,21500,10,140,534,86,16.7,24.9,9507,26x26,DP,"6x2,500"
DISCOVERER,DISCOVERER SPIRIT,No,Yes,DS,Enterprise Class,2000,-,DNV,10000,10000,35000,2Q/18,GoM,52000,13,200,835,125,39,42,22050,80x30,DP-2,"6x7,000"
GSF,GSF C.R. LUIGS,No,Yes,DS,DS Global Marine 456 Class,2000,-,ABS,10000,10000,35000,2Q/18,GoM,46320,12,150,759,118,28,33,24600,42x42,DPS-3,"6x6,700"
GSF,GSF DEVELOPMENT DRILLER II,No,Yes,SS,F&G ExD,2005,-,ABS,7500,10000,37500,2Q/18,GoM,40766,8,152,324,258,26.9,49.2,7716,140x28,DPS-2+,"8x4,300"
GSF,GSF EXPLORER,No,Yes,DS,Global Santa Fe,1972,1998,ABS,7800,7800,30000,3Q/18,India,36780,10,140,619,116,35,34,26350,74x42,DPS-2,"5x2,200,"
GSF,GSF JACK RYAN,No,Yes,DS,Global Marine 456 Class,2000,-,ABS,10000,10000,35000,3Q/18,Nigeria,46320,12,150,759,118,28,33,24600,42x42,DPS-3,"6x6,750"
PETROBRAS,PETROBRAS 10000,No,Yes,DS,Samsung 10000,2009,-,ABS,10000,12000,37500,3Q/23,Brazil,58656,11,199,748,137,28,39,22046,84x41,DP-3,"6x6,035"
SEDCO,SEDCO 702,No,Yes,SS,Sedco 700 Series,1973,2007,ABS,6500,6500,25000,1Q/20,Nigeria,26550,5,150,355,245,21,83,4400,20x20,SDP-32,"8x3,000"
SEDCO,SEDCO 706,No,Yes,SS,Sedco 700 Series,1976,2008,ABS,6500,6500,25000,2Q/18,Brazil,26550,5,150,355,245,21,83,4400,20x20,SDP-32,"8x3,000"
SEDCO,SEDCO 707,No,Yes,SS,Sedco 700 Series,1976,1997,ABS,6500,6500,19685,4Q/18,Brazil,26400,6,112,355,245,21,70,5000,23x16,DP-2,"8x3,000"
SEDCO,SEDCO EXPRESS,No,Yes,SS,SFXpress 2000,2001,-,ABS,7500,7500,30000,2Q/18,Nigeria,35700,10,184,349,226,29.5,65.5,11350,135x26,DP-3,"4x9,383"
TRANSOCEAN,TRANSOCEAN BARENTS,No,Yes,SS,Aker H-6e,2009,-,DNV,6500,10000,30000,2Q/18,Norway,56528,8,140,295,230,32,75,7716,75x34,DP-3,"8x6,000"
TRANSOCEAN,TRANSOCEAN SPITSBERGEN,No,Yes,SS,Aker H-6e,2009,-,DNV,6500,10000,30000,3Q/19,Norway,56528,8,140,295,230,32,75,7716,75x34,DP-3,"8x6,000"
PLATINUM,PLATINUM EXPLORER,No,Yes,DS,DSME Design,2010,,ABS,10000,12000,40000,4Q/15,India,56322,12,180,781,138,27.88,39.8,22046,82x41.3,DP-3,6x6166
TITANIUM,TITANIUM EXPLORER,No,Yes,DS,DSME Design,2012,,ABS,10000,12000,40000,3Q/20,GOM,56322,12,180,781,138,27.88,39.8,22046,82x41.3,DP-3,6x7375
TUNGSTEN,TUNGSTEN EXPLORER,No,Yes,DS,DSME Design,2013,,ABS,10000,12000,40000,2Q/14,Malaysia,56322,12,200,781,138,27.88,39.8,22046,82x41.3,DP-3,6x7375
