NUMBER,VESSEL DESIGN,CONSTRUCTION DATE,UPGRADE DATE,CLASSIFICATION,MAXIMUM WATER,DEPTH EQUIPPED,MAXIMUM WATER.1,DEPTH RATING,MAXIMUM DRILLING DEPTH,CURRENT CONTRACT,AREA OF OPERATION,TOTAL VESSEL POWER,MAX. VESSEL SPEED,QUARTERS CAPACITY,LENGTH,TRANSIT DRAFT,OPERATING DRAFT,WIDTH,MAX. VARIABLE LOAD,MOONPOOL SIZE,D.P. RATING (if applicable),THRUSTERS,SIZE of CHAIN,CHAIN GRADE,LENGTH OF CHAIN,WIRE ROPE Diameter,LENGTH of WIRE ROPE,ANCHOR SIZE,PEDESTAL CRANE 1,PEDESTAL CRANE 2,PEDESTAL CRANE 3,PEDESTAL CRANE 4,RISER HANDLING CRANE,DERRICK RATING,DERRICK MANUFACTURER,DERRICK FOOTPRINT,DRAWWORKS,drawworks,drill line size,rotary table size,IRON ROUGHNECK,top drive,HEAVE COMPENSATOR,heave compensAtION,CAPACITY,COMPENSATION TYPE,(ACTIVE/PASSIVE),PIPE RACKING SYSTEM,DRILLING,INSTRUMENTATION,5-in. DRILLPIPE,5.5-in. DRILLPIPE,6.625-in. DRILLPIPE,3.5-in. DRILLPIPE,MUD PUMPS,MUD PUMPS.1,mud pit active volume,mud pit reserve volume,Unnamed: 59,bulk storage capacity,DEDICATED COMPLETION,FLUID VOLUME,Gumbo Buster,shale shakers,desander,desilter,riser tensioner,(Total capacity ),RISER TENSIONERS,RISER TENSIONERS.1,DIVERTER SIZE,CLASS of RISER,RISER SIZE,RISER JOINT LENGTH,FLEX JOINT (Top/,Bottom or both ),RISER MANUFACTURER,RISER STORAGE MAIN,DECK or “IN HOLD”,BOP OPERATING PRESSURE,C&K LINE SIZE,RAM BOP’s,RAM BOP’s.1,ANNULAR BOP’s,ANNULAR BOP’s.1,BOP stack envelope,dimensions,Total BOP stack Wt.,(including LMRP),WELLHEAD CONNECTOR,BOP CONTROL SYSTEM,BOP CONTROL SYSTEM.1,"SHEAR 6.635"" drillpipe?",RISER HANG-OFF CAPACITY,AUX. LINE SIZE,RISER & RISER TENSIONER DATA BOP & BOP CONTROL DATA,yr. yr. society ft,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
-,ABAN,ABRAHAM,DS,Gusto,Pelican,Class,1976,2008,DNV,6600,7000,25000,-,,24000,11,136,456,97.6,-,24.6,8950,26.9x23.6,DP-2,"5x1,750",2,-,-,-,-,2x4.64,40,40,-,-,-,1350,Pyramid,44x36,3000,National,1.875,49.5,Rogers,ROT,8.5,Can,Rig,750,T,A/C,Drive,Shaffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ATWOOD,ADVANTAGE,DS,DSME,12000,Ultradeepwater,DS,2013,-,-,12000,12000,40000,2Q/17,GoM,-,-,200,780,137,-,39,23000,-,DP-3,6,-,-,-,-,-,-,100,100,100,-,-,2500,NOV,59x80,1500,NOV,-,75.5,NOV,ST-160,NOV,HTB-1250,NOV,364,A,NOV,HydraRacker,NOV,Cyberbase,-,-,-,-,4,NOV,14P-220,-,-,-,-,-,8,-,2,4000,16,NOV,75.5,Clip,21,75,-,Aker,10000,15,-,-,-,7,Hydril,2,Hydril,-,-,HDH4,MUX,Hydril,-,2500,,,,,,,,,,,,,,,,,,,,,,,
26,ATWOOD,CONDOR,SS,F&G,ExD,Millennium,2012,-,ABS,10000,10000,40000,4Q/16,GoM,-,-,200,387,299,-,65.6,8000,-,DPS-2,8,-,-,-,-,-,-,108,108,-,-,-,2000,NOV,49x52,1000,NOV,-,60.5,NOV,ST-120,NOV,TDX-1250,NOV,2000,A,NOV,Dual,HydraRacker,NOV,-,-,-,-,4,NOV,14P-220,-,-,-,-,-,6,-,2,3600,6,NOV,60.5,Clip,21,75,-,Aker,10000,15,-,-,-,6,Hydril,2,Hydril,-,-,HDH4,HYD,Hydril,-,-,,,,,,,,,,,,,,,,,,,,,,,,
-,HYSY,981,SS,-,2012,-,ABS,9840,9840,32800,3Q/14,South,China,Sea,-,-,-,374,292,-,-,9000,-,DP-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,OCEAN,ALLIANCE,SS,4th,Gen.,Odeco,1988,-,ABS,5250,5250,25000,2Q/16,Brazil,37600,6,120,402,259,29,76,4300,23x25,DP-2,"8x4,000",3.25,ORQ+20,5500,-,-,22.5,65,65,65,-,30,1800,Branham,40x40,3000,National,1.625,49.5,Varco,AR3000,Varco-TDS-4S,Shaffer,600,P,M-H,Various,17500,-,-,-,3,National,Oilwell,12P-160,2980,900,incl.,26000,Y,4,1,1,1280,8,Shaffer,49.5,E,21,50,T/B,Vetco,5000,15,3.5,3.5,4,4,Shaffer,2,Shaffer,16.67x16.67,500,HDH4,MUX,Shaffer,N,2500,,,,,,,,,,,,,,,,,,,,,,,,,,
28,OCEAN,BLACKHAWK,DS,Gusto,"P10,000",2013,-,ABS,10000,12000,40000,2Q/19,GoM,27000,12.5,210,754,118,29,36,22045,73x41,DPS-3,6,-,-,-,-,-,-,110,180,-,-,-,4000,NOV,80x60,9000,NOV,-,-,NOV,MPT,NOV,TDX-1250,-,400,A,-,-,-,-,-,-,5,NOV,14-P-220,-,23500,-,30000,-,-,-,-,3600,8,NOV,21,H,21,75,-,Vetco,-,15,3,-,-,7,Hydril,2,Hydril,-,-,-,MUX,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,OCEAN,BLACKHORNET,DS,Gusto,"P10,000",2013,-,ABS,10000,12000,40000,3Q/19,GoM,27000,12.5,210,754,118,29,36,22045,73x41,DPS-3,6,-,-,-,-,-,-,110,180,-,-,-,4000,NOV,80x60,9000,NOV,-,-,NOV,MPT,NOV,TDX-1250,-,400,A,-,-,-,-,-,-,5,NOV,14-P-220,-,23500,-,30000,-,-,-,-,3600,8,NOV,21,H,21,75,-,Vetco,-,15,3,-,-,7,Hydril,2,Hydril,-,-,-,MUX,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,OCEAN,CLIPPER,DS,Converted,Tanker,1977,1999,ABS,7875,7875,25000,4Q/15,Brazil,25200,9,140,528,109,24,24,11384,20x18,DP-2,"5x1,840,","1x2,375,","2x6,750",-,-,-,-,-,-,56,56,35,-,50,1400,Pyramid,40x40,3000,National,1.625,60.5,Varco,AR3200,Varco-TDS-4S,Shaffer,600,P,Patriot,MDT,24000,10000,-,-,3,National,Oilwell,12P-160,1189,3652,incl.,15400,Y,4,1,1,1920,12,Shaffer,60.5,FT,21,75,Both,Shaffer,7500,15,3,4,4,5,Shaffer,2,Shaffer,19.67x16.25,542,HDH4,MUX,Shaffer,Y,2000,,,,,,,,,,,,,,,,,,,,,,,,,
31,OCEAN,CONFIDENCE,SS,Aker,H-3.2,Mod,1988,2000,ABS,10000,10000,35000,4Q/15,W.,Africa/GoM,53083,3.5,146,320,238,39,75,6600,26x74,DP-3,"8x4,000",3,K4,3500,-,-,11,50,50,100,-,38,2000,Pyramid,50x50,5000,C-E,1.75,60.5,Varco,AR3200,Varco-TDS-6S,Shaffer,1000,P,Varco-PRS-4i,VICIS,7000,10000,18500,-,4,Continental,Emsco,FC-2200,4889,4800,incl.,25000,Y,6,1,1,2500,12,Shaffer,60.5,G,21,75,T/B,Shaffer,7500,15,4.5,4.5,4,6,Shaffer,2,Shaffer,19.67x16.25,661,DWHC,MUX,Shaffer,Y,2500,,,,,,,,,,,,,,,,,,,,,,,,,
32,OCEAN,COURAGE,SS,6th,Gen.,F&G,ExD,Millennium,2009,-,ABS,10000,10000,40000,1Q/15,Brazil,40480,8.5,164,398,298,27.6,55.8,8000,135.6x29.52,DP-2,"8x4,425",3.3,ORQ4,1443,-,-,13.22,100,100,15,-,44,2000,AKMH,46x52,4500,Wirth,2,60.5,BC26-MH-1899,AKMH-DDM-AC-2M,AKMH,1500,A,Bridge,Crane,AKMH,Drillview,12000,17000,-,15000,4,Wirth,TPK,2002-07-01 00:00:00,x,14,/,2200,7246,12178,incl.,23307,Y,5,1,1,3600,6,AKMH,60.5,LK,21,75,T/B,Cameron,10000,15,4.5,4,/,3.5,5,6,Cameron,2,Cameron,15.75x18.04,860,EVO,CON,MUX,Cameron,Y,3500,,,,,,,,,,,,,,,,
33,OCEAN,VALOR,SS,6th,Gen.,F&G,ExD,Millennium,2009,-,ABS,7500,10000,40000,4Q/15,Brazil,40480,8.5,164,398,298,27.6,55.8,8000,135.6x29.52,DP-2,"8x4,425",3.3,ORQ4,1443,-,-,13.22,100,100,15,-,44,2000,AKMH,46x52,4500,Wirth,2,60.5,BC26-MH-1899,AKMH-DDM-AC-2M,AKMH,1500,A,Bridge,Crane,AKMH,Drillview,12000,17000,-,15000,4,Wirth,TPK,2002-07-01 00:00:00,x,14,/,2200,7246,12178,incl.,23307,Y,5,1,1,3600,6,AKMH,60.5,LK,21,75,T/B,Cameron,10000,15,4.5,4,/,3.5,5,6,Cameron,2,Cameron,15.75x18.04,860,EVO,CON,MUX,Cameron,Y,3500,,,,,,,,,,,,,,,,
34,BELFORD,DOLPHIN,DS,Navis,2000,-,DNV,10000,10000,39370,4Q/15,East,Africa,58800,10,130,672,131,26,40,12515,3,ea,33x80,DP-3,"5x5,360",-,-,-,-,-,-,88,88,11,4,45,2000,Dreco,46x50,6900,N-O,Hitec,2,60.5,M-H,M-H,DDM,750,N-O,Hitec,2000,AD,"Hitec,Dreco","Hitec,",ASA,16500,17000,10400,-,4,National,Oilwell,14P-220,5000,17000,3150,46000,N,6,-,-,3200,8,Hydralift,60.5,F/H,21.5,80,B,Vetco,10000,15,4.5,4,1,5,Hydril,2,Hydril,,,Super,HDH4,MUX,ABB,Y,2000,,,,,,,,,,,,,,,,,,,,
35,BOLETTE,DOLPHIN,DS,-,2013,-,-,12000,12000,40000,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ENSCO,6001,SS,Megathyst,2000,2010,LR,5600,5600,25000,2Q/18,Brazil,26670,6,130,262,203,28,62,3500,39x19,AAA,"8x2,145",,,,,-,,39,44,-,-,88,1300,Pyramid,40x40,3000,C-E,1.625,49.5,M-H,1899,M-H,DDM-650,MH-CMC,650,P,M-H,Hitec,16900,-,-,18450,3,C-E,FC-1600,4003,1723,,10028,Y,4,-,-,1000,8,M-H,48.25,E,18.625,65,Both,Vetco,5980,10,3,1x3.25/2x2.00,3,4,Cameron,2,Shaffer,16.3,x,15.2,392,Vetco,H4-DxE,MUX,Cameron,N,1500,,,,,,,,,,,,,,,,,,,,,,,,,
37,ENSCO,6002,SS,Megathyst,2001,2009,LR,5600,5600,25000,2Q/18,Brazil,26670,6,130,262,203,28,62,3500,39x19,AAA,"8x2,145",,,,,-,,44,44,-,-,88,1300,Pyramid,40x40,3000,C-E,1.625,49.5,M-H,1899,M-H,DDM-650,MH-CMC,650,P,M-H,Hitec,16900,-,-,18450,3,C-E,FC-1600,4003,1723,,100328,Y,4,-,-,1000,8,M-H,48.25,E,18.625,65,Both,Vetco,6305,10,3,1x3.25/2x2.00,3,4,Cameron,2,Shaffer,16.3,x,15.2,392,Vetco,H4-DxE,MUX,Cameron,N,1500,,,,,,,,,,,,,,,,,,,,,,,,,
38,ENSCO,6004,SS,Megathyst,2004,-,LR,5600,5600,25000,4Q/16,Brazil,26670,6,130,262,203,28,62,3500,39x19,AAA,"8x2,145",,,,,-,,44,44,-,-,88,1300,Pyramid,40x40,3000,C-E,1.625,49.5,M-H,1899,M-H,DDM-650,MH-CMC,650,P,M-H,Hitec,16900,-,-,-,3,C-E,FC-1600,4003,1723,,10028,Y,4,-,-,1000,8,M-H,48.25,E,18.625,65,Both,Vetco,6305,10,3,1x3.25/2x2.00,3,4,Cameron,2,Shaffer,16.3,x,15.2,392,Vetco,H4-DxE,MUX,Cameron,N,1500,,,,,,,,,,,,,,,,,,,,,,,,,
-,ENSCO,6003,SS,Megathyst,2004,-,LR,5600,5600,25000,1Q/17,Brazil,26670,6,130,262,203,28,62,3500,39x19,AAA,"8x2,145",,,,,-,,44,44,-,-,88,1300,Pyramid,40x40,3000,C-E,1.625,49.5,M-H,M-H,DDM-650,MH-CMC,650,P,M-H,Hitec,20881,11480,-,18110,3,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ENSCO,7500,SS,Ensco,7500,1999,-,ABS,7500,8000,30000,3Q/14,Brazil,30000,7.8,140,290,220,-,40,8000,20x100,DP-2,"8x3,000",3.25,ABS-K4,"8x1,000",-,-,10,61,61,-,-,48,1928,Dreco,40x46,3390,National,1.75,60.5,Varco,AR4000,Varco-TDS-8,M-H,"1,000/1,500",P,Varco-PRS-3i,MDT,20000,,,,4,3xNational,14P-220/1xLewcoW446RB,3624,8550,incl.,20118,Y,5,1,1,2500,8,Retsco,60,F,21,75,T/B,Dril-Quip,6975,15,3,1x4.00/2x2.44,3,6,Hydril,2,Hydril,16.6x19,645,Vetco,HDH4,MUX,Hydril,N,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ENSCO,8500,SS,Ensco,8500,Series,2008,-,ABS,8500,10000,35000,3Q/15,GoM,33600,8,150,336,285,25,60,8000,30x120,DP-2,8,x,3500,,,,3.5,2500,9.9,106.9,106.9,-,-,52.9,2000,NOV,40x46,6000,NOV,2,60.5,AR4500,&,ST-120,NOV-TDS-1000,NOV,"1,000/2,000",P,NOV-BR-15,MDT,10000,,28500,,4,Lewco,W2215,4500,11700,incl.,26000,Y,6,1,1,2500,10,NOV,60,F,21,75,T/B,Dril-Quip,8475,15,3,1x3.826/2x2.44,3,6,Hydril,2,Hydril,16.6x19,652,Vetco,SHD-H4,MUX,Hydril,Y,1500,,,,,,,,,,,,,,,,,,,,,,,
40,ENSCO,8501,SS,Ensco,8500,Series,2009,-,ABS,8500,10000,35000,3Q/14,GoM,33600,6,150,336,285,25,60,8000,30x120,DP-2,8,x,3500,,,,3.5,2500,11,106.9,106.9,-,-,52.9,2000,NOV,40x46,6000,NOV,2,60.5,AR4500,&,ST-120,NOV-TDS-1000,NOV,"1,000/2,000",P,NOV-BR-15,MDT,15239,,29064,,4,Lewco,W2215,4500,11700,incl.,26000,Y,6,1,1,2500,10,NOV,60,F,21,75,T/B,Dril-Quip,8475,15,3,1x3.826/2x2.44,3,6,Hydril,2,Hydril,16.6x19,652,Dril,Quip,MUX,Hydril,Y,1500,,,,,,,,,,,,,,,,,,,,,,,
40,ENSCO,8502,SS,Ensco,8500,Series,2009,-,ABS,8500,10000,35000,4Q/14,GoM,33600,8,150,336,285,25,60,8000,30x120,DP-2,8,x,3500,,,,3.5,2500,9.9,106.9,106.9,-,-,52.9,2000,NOV,40x46,6000,NOV,2,60.5,AR4500,&,ST-120,NOV-TDS-1000,NOV,"1,000/2,000",P,NOV-BR-15,MDT,10000,,28500,,4,Lewco,W2215,4500,11700,incl.,26000,Y,6,1,1,2500,10,NOV,60,F,21,75,T/B,Dril-Quip,8475,15,3,1,x3.826/2x2.44,3,6,Hydril,2,Hydril,16.6x19,652,Dril,Quip,MUX,Hydril,Y,1500,,,,,,,,,,,,,,,,,,,,,,
40,ENSCO,8503,SS,Ensco,8500,Series,2010,-,ABS,8500,10000,37500,3Q/14,GoM,33600,8,150,336,263,25,60,8000,30x120,DP-2,8,x,3500,,,,3.5,2500,9.9,106.9,106.9,-,-,52.9,2000,NOV,40x46,6000,NOV,2,60.5,AR4500,&,ST-120,NOV-TDS-1000,NOV,"1,000/2,000",P,NOV-BR-15,MDT,5250,,28500,,4,Lewco,W2215,4200,11700,incl.,26000,Y,6,1,1,2500,10,NOV,60,F,21,75,T/B,Dril-Quip,8475,15,3,1x3.826/2x2.44,3,6,Hydril,2,Hydril,16.6x19,652,Dril,Quip,MUX,Hydril,Y,1500,,,,,,,,,,,,,,,,,,,,,,,
40,ENSCO,8504,SS,Ensco,8500,Series,2011,-,ABS,8500,10000,35000,3Q/14,Malaysia,33600,8,150,336,285,25,60,8000,30x120,DP-2,8,x,3500,,,,3.5,2500,9.9,106.9,106.9,-,-,59,2000,NOV,40x46,6000,NOV,2,60.5,AR4500,&,ST-120,NOV-TDS-1000,NOV,"1,000/2,000",P,NOV-BR-15,MDT,8500,13250,27000,3750,4,Lewco,W2215,4200,11700,incl.,26000,Y,6,1,1,3000,12,NOV,60,F,21,75,T/B,Dril-Quip,8475,15,3,1x3.826/2x2.44,3,6,Hydril,2,Hydril,16.6x19,652,Dril,Quip,MUX,Hydril,Y,1500,,,,,,,,,,,,,,,,,,,,,,,
40,ENSCO,8505,SS,Ensco,8500,Series,2011,-,ABS,8500,10000,35000,2Q/15,GoM,33600,8,150,338,285,25,60,8000,30x120,DP-2,8,x,3500,,,,3.5,2500,11,106.9,106.9,-,-,59,2000,NOV,40x46,6000,NOV,2,60.5,AR4500,&,ST-120,NOV-TDS-1000,NOV,"1,000/2,000",P,NOV-BR-15,MDT,2238,,27447,,4,Lewco,W2215,4500,11700,incl.,26000,Y,6,1,1,3000,12,NOV,60,F,21,75,T/B,Dril-Quip,8475,15,3,1x3.826/2x2.44,3,6,Hydril,2,Hydril,16.6x19,652,Dril,Quip,MUX,Hydril,Y,1500,,,,,,,,,,,,,,,,,,,,,,,
41,ENSCO,DS-1,DS,Gusto,10000,1999,2004/2009,DNV,6000,10000,31500,1Q/16,Angola,39660,11,162,680,98.5,-,31.5,19510,39.4x31.0,DP-2,7,,,,,-,,55,55,55,-,35,1600,Joseph,Paris,48x48,4600,N-O,Dreco,1.75,60.5,M-H,Canrig,AC-1275-E,AKM,1000,A/P,M-H,Hitec,26350,15420,-,5085,4,National,Oilwell,12P-160,3615,-,10094,19918,N,5,-,-,2560,16,M-H,60.5,F,21,70,Both,Kværner,7350,10,3,1x3.343/2x1.875,3,4,Cameron,2,Shaffer,,,Vetco,SHD-H4,MUX,Cameron,N,1000,,,,,,,,,,,,,,,,,,,,,,,,
42,ENSCO,DS-2,DS,Gusto,10000,1999,2005,DNV,6000,10000,31500,2Q/15,Angola,39660,11,162,680,98.5,-,31.5,19510,39.4x31.0,DP-2,7,,,,,-,,55,55,55,-,35,1600,Joseph,Paris,48x48,4600,N-O,Dreco,1.75,60.5,M-H,Canrig,AC-1265-E,AKM,1000,A/P,M-H,Hitec,6600,34450,-,6600,3,National,Oilwell,14P-220,3685,-,8522,21190,N,5,-,-,2560,16,M-H,58.5,F,21,70,Both,Kværner,7070,10,3,1x3.343/2x1.875,3,4,Cameron,2,Shaffer,,,Vetco,SHD-H4,MUX,Cameron,N,1000,,,,,,,,,,,,,,,,,,,,,,,,
43,ENSCO,DS-3,DS,Samsung,2010,-,ABS,10000,10000,40000,2Q/16,USGoM,54000,12,200,751,138,28,39,22046,41x84,DPS-3,"6x7,375",,,,,-,,181,93,93,93,,2000,NOV,80x60,5750,NOV,2,60.5,NOV,HydraTong,NOV-HPS-1000,NOV-CMC-active,1000,A/P,NOV,Dual,HydraRacker,NOV,Cyberbase,5000,,35000,,4,NOV,14-P-2200,6000,6000,3000,34800,Y,6,-,-,3600,16,NOV,60.5,16Q,21,75,Both,Vetco,9900,15,4.5,1x4.0/2x2.62,3,6,NOV,2,NOV,20.8x17.8,926,Vetco,SHD-H4,MUX,NOV,Y,2000,,,,,,,,,,,,,,,,,,,,,,,,,
-,ENSCO,DS-4,DS,Samsung,2010,-,ABS,10000,12000,40000,2Q/16,USGoM,64365,12,200,751,138,28,39,22046,41x84,DPS-3,"6x7,375",,,,,-,,181,93,93,93,44,2000,NOV,80x60,5750,NOV,2,75.5,NOV,HydraTong,NOV-HPS-1000,NOV-CMC-active,1000,A/P,NOV,Dual,Hydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,ENSCO,DS-5,DS,Samsung,2011,-,ABS,10000,12000,40000,2Q/16,USGoM,64365,12,200,751,138,28,36,30864,41x84,DPS-3,"6x7,375",,,,,-,,93,93,93,93,44,2000,NOV,80x60,5750,NOV,2,60.5,NOV,HydraTong,NOV-HPS-1000,NOV-CMC-active,1000,A/P,NOV,Dual,HydraR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,ENSCO,DS-6,DS,Samsung,2011,-,ABS,10000,12000,40000,1Q/18,Angola,64365,12,200,751,138,28,39,22046,41x84,DPS-3,"6x7,375",,,,,-,,93,93,93,93,44,2000,NOV,80x60,5750,NOV,2,60.5,NOV,HydraTong,NOV,HPS-1000,NOV-CMC-active,1000,A/P,NOV,Dual,Hydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ENSCO,DS-7,DS,Samsung,2013,-,ABS,10000,12000,40000,4Q/16,Angola,64365,12,200,748,138,28,39,22046,41,x,84,DPS-3,"6x7,375",,,,,,,181,93,93,93,44,2500,NOV,80x60,6900,NOV,2,75.5,NOV,MTP-200,NOV,TDX,1250,NOV-CMC,1500,A/P,NOV,Dual,HydraRacker,NOV,Cyberbase,10000,,34000,,4,NOV,14-P-2200,6000,7400,3000,34000,Y,6,,,3600,16,NOV,75.5,16Q,21,75,Both,Vetco,9000,15,3,1x4.0/2x2.62,3,6,NOV,2,NOV,20.8,x,17.8,926,Vetco,SHD-H4,MUX,NOV,Y,2000,,,,,,,,,,,,,,,,,,,
-,BICENTENARIO,SS,GVA,7500,-,-,DNV,10000,10000,35000,-,Mexico,51500,-,-,391,317,32.6,75.5,-,-,DP-3,"8x4,700",-,-,-,-,-,-,80,80,-,-,-,-,-,-,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,2,WP,2,WP,-,-,H-4,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,CENTENARIO,SS,F&G,-,-,ABS,10000,10000,35000,-,Mexico,51500,-,-,387,299,27.4,55.8,-,-,DP-2,"8x5,100",-,-,-,-,-,-,80,80,-,-,-,2000,MH,-,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cameron,8000,15,-,-,-,2,-,2,-,-,-,ISM,H-4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,LA,MURALLA,IV,SS,F&G,ExD,Millennium,2010,-,-,7500,10000,40000,-,Mexico,-,-,-,398,298,-,-,-,-,DP-2,"8x4,425",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,JASPER,EXPLORER,DS,Gusto,Pelican,Class,-,2009,DNV,5000,5000,25000,-,,-,8.5,139,541,98,-,-,7958,-,DP-2,7,(5,tunnel/2azimuth),-,-,-,-,-,-,110,40,25,-,-,1500,Pyramid,52x52,-,NOV,-,49.5,NOV/Aker,Kvaerner,NOV,TDS-4,Aker,Kvaerner,1300,-,Patriot,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MÆRSK,DELIVERER,SS,KFELS,MSC,GUSTO,DSS21,2010,-,ABS,10000,10000,"30,000+",3Q/15,West,Africa,51500,8,180,384,258,32,67,14900,100x30,DP-2,"8x5,365",3.5,K4,2000,,,,165,66,13,-,47,"2,500/1,500",NOV,40x72,"6,000/4,500",Wirth,1.85/1.75,60.5,NOV,NOV,HPS-03,NOV,HPS-04,"1,000/750",A,NOV,(DUAL),NOV,5000,15000,20000,-,4,Wirth,2200HP-7500psi,9755,10355,4860,48000,Y,8,0,n,4200,6,NOV,N-line,60.5,RP16Q,21,75,Both,Aker,9600,15,4,"4,5",5,6,Hydril,-,Hydril,16,6,x,19,8,732,Vetco,SHD,EXF,MUX,Hydril,Y,2250,,,,,,,,,,,,,,,,
45,MÆRSK,DEVELOPER,SS,KFELS,MSC,GUSTO,DSS21,2009,-,ABS,10000,10000,"30,000+",4Q/15,US,GoM,51500,8,180,384,258,32,67,14900,100x30,DP-2,"8x5,365",3.5,K4,2000,,,,165,66,13,-,47,"2,500/1,500",NOV,40x72,"6,000/4,500",Wirth,1.85/1.75,60.5,NOV,NOV,HPS-03,NOV,HPS-04,"1,000/750",A,NOV,(DUAL),NOV,5000,15000,20000,-,4,Wirth,2200HP-7500psi,9755,10355,4860,48000,Y,8,0,y,4200,6,NOV,N-line,60.5,RP16Q,21,75,Both,Aker,9600,15,4,"4,5",5,6,Hydril,2,Hydril,16,6,x,19,8,732,Vetco,SHD,EXF,MUX,Hydril,Y,2250,,,,,,,,,,,,,,,,
45,MAERSK,DISCOVERER,SS,KFELS,MSC,GUSTO,DSS21,2009,-,ABS,10000,10000,"30,000+",3Q/16,Egypt,51500,8,180,384,258,32,67,14900,100x30,DP-2,"8x5,365",3.5,K4,2000,,,,165,66,13,-,47,"2,500/1,500",NOV,40x72,"6,000/4,500",Wirth,1.85/1.75,60.5,NOV,NOV,HPS-03,NOV,HPS-04,"1,000/750",A,NOV,(DUAL),NOV,5000,15000,20000,-,4,Wirth,2200HP-7500psi,9755,10355,4860,48000,Y,8,0,n,4200,6,NOV,N-line,60.5,RP16Q,21,75,Both,Aker,9600,15,4,"4,5",5,6,Hydril,-,Hydril,16,6,x,19,8,732,Vetco,SHD,EXF,MUX,Hydril,Y,2250,,,,,,,,,,,,,,,,,
46,MÆRSK,VALIANT,DS,SAMSUNG,96K,2013,-,ABS,12000,12000,40000,3Q/17,US,GOM,56000,-,230,748,138,28,39,20000,84x41,DP-3,"6x9,380",-,-,-,-,-,-,85,85,85,85,-,2500,-,-,9000,-,-,-,-,-,-,2500,A,-,-,-,-,-,-,5,Wirth,2200HP-7500psi,6030,5980,-,32000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,6,-,2,-,-,-,-,MUX,-,-,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MÆRSK,VENTURER,DS,SAMSUNG,96K,2014,-,ABS,12000,12000,40000,-,-,56000,-,230,748,138,28,39,20000,84x41,DP-3,-,-,-,-,-,-,-,85,85,85,85,-,2500,-,-,9000,-,-,-,-,-,-,2500,A,-,-,-,-,-,-,5,Wirth,2200HP-7500psi,6030,5980,-,32000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,6,-,2,-,-,-,-,MUX,-,-,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
