Load Case ,environment_config_basename,FST1 ,FST2 ,LNGC-Partner (Small) ,LNCG-Excalibur (Large) ,Mooring Status ,Environment Condition ,Water Level ,Headings ,Mooring - Location ,Mooring - Component ,Wind Dir [deg],Vw [m/s],Wave Dir [deg],Hs [m],Tp [s],Hs [m],Tp [s],Wave Dir (fr. TN) [deg],Wave Dir (ship) [deg],Vw [m/s],Wind Dir (ship) [deg],Vc [m/s],Curr Dir (ship) [deg],env reference,config reference
F120,fsts_l015_125km3_l100_pb_mwl_wind16,Light,Light,Full,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,335,10,-,-,-,-,-,-,-,-,-,-,-,wind16,fsts_l015_125km3_l100_pb_mwl_
F121,fsts_l095_125km3_l100_pb_mwl_wind01,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,0,10,-,-,-,-,-,-,-,-,-,-,-,wind01,fsts_l095_125km3_l100_pb_mwl_
F122,fsts_l095_125km3_l100_pb_mwl_wind02,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,23,10,-,-,-,-,-,-,-,-,-,-,-,wind02,fsts_l095_125km3_l100_pb_mwl_
F123,fsts_l095_125km3_l100_pb_mwl_wind03,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,45,10,-,-,-,-,-,-,-,-,-,-,-,wind03,fsts_l095_125km3_l100_pb_mwl_
F124,fsts_l095_125km3_l100_pb_mwl_wind04,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,70,10,-,-,-,-,-,-,-,-,-,-,-,wind04,fsts_l095_125km3_l100_pb_mwl_
F125,fsts_l095_125km3_l100_pb_mwl_wind05,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,90,10,-,-,-,-,-,-,-,-,-,-,-,wind05,fsts_l095_125km3_l100_pb_mwl_
F126,fsts_l095_125km3_l100_pb_mwl_wind06,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,110,10,-,-,-,-,-,-,-,-,-,-,-,wind06,fsts_l095_125km3_l100_pb_mwl_
F127,fsts_l095_125km3_l100_pb_mwl_wind07,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,125,10,-,-,-,-,-,-,-,-,-,-,-,wind07,fsts_l095_125km3_l100_pb_mwl_
F128,fsts_l095_125km3_l100_pb_mwl_wind08,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,150,10,-,-,-,-,-,-,-,-,-,-,-,wind08,fsts_l095_125km3_l100_pb_mwl_
F129,fsts_l095_125km3_l100_pb_mwl_wind09,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,180,10,-,-,-,-,-,-,-,-,-,-,-,wind09,fsts_l095_125km3_l100_pb_mwl_
F130,fsts_l095_125km3_l100_pb_mwl_wind10,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,200,10,-,-,-,-,-,-,-,-,-,-,-,wind10,fsts_l095_125km3_l100_pb_mwl_
F131,fsts_l095_125km3_l100_pb_mwl_wind11,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,222,10,-,-,-,-,-,-,-,-,-,-,-,wind11,fsts_l095_125km3_l100_pb_mwl_
F132,fsts_l095_125km3_l100_pb_mwl_wind12,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,245,10,-,-,-,-,-,-,-,-,-,-,-,wind12,fsts_l095_125km3_l100_pb_mwl_
F133,fsts_l095_125km3_l100_pb_mwl_wind13,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,270,10,-,-,-,-,-,-,-,-,-,-,-,wind13,fsts_l095_125km3_l100_pb_mwl_
F134,fsts_l095_125km3_l100_pb_mwl_wind14,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,290,10,-,-,-,-,-,-,-,-,-,-,-,wind14,fsts_l095_125km3_l100_pb_mwl_
F135,fsts_l095_125km3_l100_pb_mwl_wind15,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,310,10,-,-,-,-,-,-,-,-,-,-,-,wind15,fsts_l095_125km3_l100_pb_mwl_
F136,fsts_l095_125km3_l100_pb_mwl_wind16,Full,Full,Ballast,-,Intact,Scatter Diagrams,MWL,See Columns V-Z,-,-,335,10,-,-,-,-,-,-,-,-,-,-,-,wind16,fsts_l095_125km3_l100_pb_mwl_
