item,fpso_owner,vessel_name,construction_type,first_production,award_date,cycle_time_months,fpso_operator,field_operator,contract_type,leased,lease_period_years,operating_water_depth_m,field_location,country,reserves_mmboe,topsides_detail_eng,hull_detail_eng,general_contractor,topsides_fab_yard,hull_fab_yard,conversion_integration,turret_supplier,total_wells,production_wells,gas_injection_wells,water_injection_wells,classification,length_m,width_m,depth_m,operating_draft_m,hull_construction,deadweight_dwt,original_hull_fab_yr,latest_integration_yr,max_oil_production_mbopd,gas_processing_mmscfd,total_throughput_mboepd,gas_injection_mmscfd,gas_export_mmscfd,production_water_mbpd,produced_water_mbwpd,water_injection_mbwpd,storage_capacity_mbbbls,total_risers,quarters_capacity,gas_deposition,flare_type,offloading_system,mooring_system_type,permanent_disconnectable,anchor_legs
67,GEMSA,AL ZAAFARANA,C,Nov-94,,,Gemsa,Aker Zaafarana Oil Co.,3,,,60.0,Zaafarana Block BN 1,Egypt,41.0,GSI,Kawasaki Dockyard,Prosafe,GSI,,Jurong Intelligent/Engr./ Keppel,Prosafe,15.0,11.0,,4.0,DNV,260.0,40.0,21.0,16.0,SH,127000.0,1969.0,1994.0,10.0,35.0,16.0,,,35.0,35.0,,800.0,7.0,55.0,"S, F",FT,TS,"IT, SM",P,9.0
68,HIBISCUS / PING,ANASURIA,N,Oct-96,,,Hibiscus / Ping,Petrofac Hibiscus / Ping,1,L,5.0,89.0,"Teal, Teal South, Guillemot A, Cook",UK,119.0,Stork Protech,Mitsubishi HI,SBM Offshore,AMEC,Mitsubishi,Mitsubishi,SBM Offshore,12.0,7.0,,5.0,LR,234.0,45.0,24.0,17.0,DH,131666.0,1996.0,,225.0,65.0,236.0,,150.0,,,300.0,2000.0,14.0,55.0,,FB,CB,IT,P,12.0
69,HUSKY,SEA ROSE (WHITE ROSE),N,Nov-05,Apr-02,43.0,Husky,Husky,1,,,120.0,White Rose,Canada,440.0,AMKC,Samsung,Maersk Contractors,Aker Maritime/ Keiwit,Samsung,Samsung,SBM Offshore,21.0,8.0,2.0,11.0,DNV,258.0,46.0,27.0,18.0,DH,140000.0,2005.0,,105.0,145.0,129.0,145.0,,100.0,,125.0,630.0,9.0,80.0,,,,IT,,9.0
70,INPEX,ICHTHYS VENTURER,N,Apr-18,Jan-12,74.8,Inpex,Inpex,1,,,250.0,Ichthys,Australia,,,,,,,DSME,,,,,,,336.0,59.0,,,,,,,,,,,,,,,1200.0,,200.0,,,,IT,P,
71,KOMOS / TRIDENT,SENDJE CEIBA,C,Mar-02,,,Kosmos/Trident,Kosmos/Trident,1,,,800.0,Ceiba,Eq Guinea,356.0,ABB,,BW Offshore,ABB,,Jurong,,28.0,,,,DNV,265.0,52.0,27.0,22.0,SH,274473.0,1975.0,2001.0,160.0,45.0,168.0,,,135.0,,135.0,2000.0,,100.0,"F, I",FS,T,SM,P,12.0
72,LUNDIN/PETRONAS,BERTAM,C,Apr-15,Sep-13,18.9,Lundin/Petronas,Lundin IPC/Petronas,1,,,76.0,Bertam,Malaysia,18.0,Kavin Engineering,,,,,Keppel,,12.0,,,,,267.0,41.0,,,,133560.0,1971.0,2014.0,30.0,3.0,31.0,,,,,,,,,,,SS,SM,P,14.0
73,M3 ENERGY,RATU NUSANTARA,C,May-15,Jan-13,27.9,M3 Energy,M3 Energy Petronas,3,L,5.0,60.0,Bukit tua,Indonesia,,,,,,,Keppel,,,,,,ABS,233.0,43.0,20.0,,SH,85600.0,1984.0,2014.0,25.0,77.0,38.0,,,3.0,,,630.0,,,,,,SM,,
74,MAERSK,GRYPHON,N,Oct-93,,,Maersk O&G,Maersk FPSOs O&G,2,L,,91.0,"Gryphon, Maclure, Tullich",UK,213.0,KBR,Maritime Tentech,,Aker McNulty,Ast y Talleres del Noroeste,Astano Damen Shipyard,Maritime Tentech,20.0,,,,DNV,259.0,41.0,24.0,16.0,DH,105701.0,1993.0,2001.0,100.0,90.0,115.0,75.0,,170.0,,300.0,510.0,12.0,90.0,I,FB,TS,IT,P,10.0
75,O & G,GLOBAL PRODUCER III,N,Nov-01,,,Maersk O&G,Maersk FPSOs O&G,2,L,,113.0,Dumbarton,UK,150.0,KBR,Maritime Tentech/Mitsui,,McNulty,Mitsui,Mitsui,"Maritime Tentech, M.E.S./Frame Engr.",14.0,10.0,,4.0,DNV,219.0,38.0,23.0,17.0,DH,85943.0,1998.0,,100.0,,100.0,,,,,,510.0,,40.0,,,,"ET, SM",P,6.0
76,MEDCO,BELANAK NATUNA,N,Dec-04,,,MEDCO,MEDCO,1,,,90.0,Belanak West Natuna Block B,Indonesia,238.0,KBR,KBR,PT Brown & Root,McDermott,Dalian,Dalian,,,,,,ABS,285.0,58.0,26.0,,DS,357000.0,2004.0,,55.0,14.0,57.0,12.0,,50.0,,37.0,880.0,5.0,36.0,,,,SALM,P,
77,MISC,BUNGA KERTAS,C,Jan-04,,,MISC,FPSO Ventures Petronas,3,L,,62.0,Penera,Malaysia,,Malaysia Shipyard,,INTEC,DPS/MSE,,MISC MSE,SBM Offshore,,,,,ABS,233.0,43.0,19.0,,SH,87768.0,1986.0,2003.0,30.0,60.0,40.0,10.0,60.0,,20.0,,619.0,8.0,,,,TS,SPT,P,9.0
78,,CENDOR II (Onozo),C,May-14,,,MISC,MISC Petrofac Malaysia,3,L,,70.0,Cendor,Malaysia,,,,,,,Malaysia Marine,,,,,,BV,245.0,41.0,,,,100020.0,1990.0,,35.0,,35.0,,,,,,680.0,,,,,,SM,P,12.0
79,,MaMPU 1,C,Oct-16,,,MISC,Vestigo Petronas,3,L,,70.0,Anjung Kecil,Malaysia,,,,,,,,,,,,,,182.0,32.0,,,,47297.0,2005.0,2016.0,15.0,25.0,19.0,,,,,,318.0,,,,,,,,
80,MODEC,BAOBAB IVOIRIEN MV 10,C,Aug-05,Jul-03,25.0,MODEC,MODEC CNR,3,L,,970.0,Baobab,Cote d'Ivoir,,Sime Sembcorp,MODEC,MODEC,Sime Sembcorp,,Jurong,SOFEC,8.0,3.0,,,ABS,350.0,60.0,28.0,,,357000.0,1976.0,2005.0,70.0,75.0,83.0,75.0,,100.0,,100.0,2000.0,11.0,,,,TS,ET,P,8.0
81,,CIDADE DE ANGRA dos REIS (MV22),C,Oct-10,Aug-08,25.9,MODEC,MODEC Petrobras,3,L,15.0,2150.0,Lula,Brazil,6000.0,MODEC,MODEC,MODEC,Various,,COSCO,SOFEC,5.0,,,,ABS,316.0,58.0,30.0,,,260000.0,,2010.0,100.0,177.0,130.0,,,,,100.0,1600.0,,,"S,L",,TS,SM,P,24.0
82,,CIDADE DE CARAGUATATUBA (MV27),N,Dec-16,Dec-13,35.9,MODEC,MODEC Petrobras,3,L,20.0,2100.0,Carioca,Brazil,,MODEC,MODEC,MODEC,Various,Mitsui,,SOFEC,,,,,,250.0,60.0,,8.0,DH,295574.0,,,100.0,177.0,130.0,122.0,,100.0,,120.0,1600.0,,150.0,,,TS,SM,P,24.0
83,,CIDADE DE ITAGUAI (MV 26),C,Jul-15,Nov-12,31.9,MODEC,MODEC Petrobras,3,L,20.0,2240.0,Iracema Norte,Brazil,,MODEC,MODEC,MODEC,Various,,Cosco BrasFELS,SOFEC,,8.0,,,ABS,332.0,58.0,31.0,6.0,,282286.0,1999.0,2015.0,150.0,280.0,197.0,122.0,252.0,150.0,,264.0,1600.0,,,,,TS,SM,P,24.0
84,,CIDADE DE MANGARATIBA (MV 24),C,Oct-14,Sep-11,36.9,MODEC,MODEC Petrobras,3,L,20.0,2200.0,Iracema South,Brazil,,MODEC,MODEC,MODEC,Various,,Cosco BrasFELS,SOFEC,16.0,280.0,,8.0,ABS,332.0,58.0,,6.0,,300000.0,,2014.0,150.0,280.0,197.0,254.0,141.0,150.0,,240.0,1600.0,,,,,TS,SM,P,24.0
85,,CIDADE DE NITOROI (MV 18),C,Mar-09,Dec-06,26.9,MODEC,MODEC Petrobras,3,L,6.0,1370.0,Jabuti Field,Brazil,,MODEC,MODEC,MODEC,Various,,Cosco,SOFEC,,,,,ABS,315.0,60.0,,,,258000.0,1986.0,2009.0,100.0,124.0,121.0,,,,,,1600.0,,,,,TS,SM,P,
86,,CIDADE DE RIO DE JANEIRO (MV14),C,Jan-07,Jul-05,18.0,MODEC,MODEC Petrobras,3,L,2.0,1350.0,Espadarte Sul Field,Brazil,,MODEC,MODEC,MODEC,Various,,Jurong,SOFEC,,,,,,321.0,58.0,,,DH,275045.0,1986.0,,100.0,87.0,115.0,,,,,113.0,1600.0,,,,,TS,SM,P,
87,,CIDADE DE SANTOS (MV 20),C,Jul-10,Feb-08,28.9,MODEC,MODEC Petrobras,3,L,5.0,1300.0,Urugua/Tambua Fields,Brazil,,MODEC,MODEC,MODEC,Various,,Cosco,SOFEC,,,,,,334.0,51.0,,,DH,232165.0,1973.0,2008.0,35.0,350.0,93.0,,,,,,700.0,,,,,TS,SM,P,
88,,CIDADE DE SAO PAULO (MV23),C,Jan-13,Aug-10,29.0,MODEC,MODEC Petrobras,3,L,20.0,2100.0,Sapinhoa,Brazil,2100.0,,,MODEC/ Schahin,Various,,"Cosco, BrasFELS",SOFEC,,,,,ABS,332.0,58.0,28.0,,,265050.0,1992.0,2010.0,120.0,177.0,150.0,,,,,150.0,1600.0,,,,,TS,SM,P,
89,,FPSO PROF. JOHN EVAN ATTA MILLS,C,Aug-16,Aug-13,35.9,MODEC,MODEC Tullow Ghana Ltd,3,L,10.0,1500.0,T.E.N. Deepwater Tano,Ghana,,MODEC,MODEC,MODEC,Various,,Jurong,SOFEC,,,,,DNV,,,,,DH,,,2016.0,80.0,180.0,110.0,180.0,50.0,75.0,,,1700.0,,,,,TS,ET,P,
90,,MODEC VENTURE 11,C,Mar-05,Oct-03,17.0,MODEC,MODEC Santos,3,L,,492.0,"Mutineer, Exeter, WA-191-P",Australia,101.0,,MODEC,MODEC,Various,,Jurong,SOFEC,,,,,ABS,258.0,46.0,24.0,,,149686.0,1992.0,2005.0,100.0,2.0,100.0,,,,,,930.0,12.0,,,,TS,IT,D,6.0
91,,CDE DE CAMPOS DOS GOYTACAZES (MV29),C,Jun-18,Dec-14,42.0,MODEC and JV partners,MODEC Petrobras,3,L,20.0,765.0,Tartaruga Verde,Brazil,350.0,MODEC,MODEC,MODEC/SHAHIN,Various,,COSCO BrasFELS,SOFEC,18.0,12.0,,6.0,ABS,335.0,58.0,,11.0,DH,298543.0,2000.0,2016.0,150.0,176.0,179.0,122.0,53.0,162.0,,200.0,1600.0,,150.0,"S,L",,TS,SM,P,22.0
92,MTC LEASING,MTC LEDANG,C,Oct-17,Feb-17,7.9,MTC Leasing,MTC Leasing Oceantex,3,L,3.0,73.0,Ophir,Malaysia,,,,,,,,,3.0,3.0,,,,,,,,,,1992.0,2017.0,15.0,,15.0,,,,,,350.0,,,,,,,,
93,NOGA,NORTHERN ENDEAVOUR,N,Sep-99,,,NOGA,NOGA,1,,,380.0,"Laminaria, Corallina",Australia,209.0,Kvaerner-SBM Consortium,Samsung,Kvaerner-SBM Consortium,United Const/Sembawang,Samsung,Samsung,SBM Offshore,6.0,5.0,1.0,,LR,273.0,50.0,28.0,19.0,DS,177529.0,1999.0,,170.0,80.0,183.0,20.0,40.0,126.0,40.0,,1400.0,,84.0,"I, L",FT,TS,IT,P,9.0
94,NPDC,MYSTRAS,C,Jan-04,,,NPDC,NPDC,1,L,,72.0,Okono & Okpono Fields,Nigeria,270.0,CESL,CESL,CESL,Various,,DDD,,5.0,,,,ABS,271.0,55.0,22.0,17.0,SH,138930.0,1976.0,2003.0,80.0,85.0,94.0,0.0,0.0,55.0,32.0,,1035.0,23.0,100.0,F,FB,TS,SM,P,12.0
95,OMV,RAROA,N,Feb-09,,,OMV,MODEC OMV,2,L,,101.0,Maari,New Zealan,,,,,,HanTong,Jurong,APL,5.0,,,3.0,ABS,243.0,42.0,,,,92757.0,1980.0,2012.0,95.0,83.0,109.0,72.0,,120.0,,90.0,120.0,10.0,60.0,S,FB,TS,IT,P,10.0
96,PEDCO,CYRUS,C,Mar-17,Mar-15,24.0,Pedco,Pedco Iranian Offshore Oil,3,L,,100.0,South Pars,Iran,7000.0,Avantgarde,,,,,,,,,,,,245.0,42.0,22.0,,,,,,35.0,,37.0,,,,,30.0,714.0,,76.0,,,,SM,,
97,PERENCO,CONKOUATI,C,Nov-91,,,Perenco,Perenco,1,,,114.0,Yombo,Congo,500.0,Hudson/McDermott,Hudson/McDermott,,McDermott Indonesia,,Keppel,,30.0,,,,ABS,325.0,48.0,27.0,20.0,SH,235837.0,1973.0,1991.0,35.0,12.0,37.0,,,35.0,,,1420.0,2.0,94.0,F,GF,SS,SM,P,12.0
98,,P-31,C,Oct-98,,,Petrobras,Petrobras,1,,,330.0,Albacora,Brazil,962.0,IVI,,IVI,IVI,Ishibras,Ishibras Ind. Verolme,SOFEC,35.0,23.0,,,ABS,337.0,55.0,28.0,22.0,SH,283000.0,1974.0,1997.0,100.0,102.0,117.0,,,,50.0,60.0,1760.0,4.0,90.0,I,GF,TS,IT,,
99,,P-32 (Formerly VLCC Cairu),C,Aug-97,,,Petrobras,Petrobras,1,,,160.0,Marlim,Brazil,704.0,AESA,UTC Engenharia,AESA,AESA,,AESA,SBM Offshore,19.0,12.0,,7.0,ABS,337.0,54.0,28.0,22.0,,282750.0,1974.0,,116.0,,116.0,,,,,,1774.0,,,,,,IT,,
100,,P-33,C,Oct-98,,,Petrobras,Petrobras,1,,,780.0,Marlim,Brazil,704.0,HHI/Petromarine,,HHI/Petromarine,Segen/HHI/Allan Maclure,HHI,HHI,SBM Offshore,8.0,6.0,,2.0,ABS,337.0,55.0,28.0,22.0,SH,269443.0,1978.0,1998.0,50.0,70.0,62.0,,,,,,2000.0,1.0,,,,,IT,,
101,,P-35 (Formerly VLCC Jose Bonifacio),C,Jul-99,,,Petrobras,Petrobras,1,,,850.0,Marlim,Brazil,704.0,Petromarine/Allan MacLure,,Petromarine/Allan MacLure,Segen,HHI,HHI,SBM Offshore,27.0,19.0,,8.0,ABS,337.0,54.0,28.0,21.0,SH,270000.0,1975.0,1996.0,100.0,105.0,118.0,,,300.0,,300.0,2000.0,2.0,85.0,F,FB,TS,IT,,
102,,P-37 (Formerly Friendship),C,Aug-00,,,Petrobras,Petrobras,1,,,905.0,Marlim,Brazil,704.0,Technip,,Technip,Segen,Maritima/MODEC,Jurong,Bluewater,35.0,20.0,,15.0,ABS,339.0,54.0,26.0,21.0,SH,282000.0,1975.0,2000.0,150.0,160.0,177.0,,,320.0,,205.0,1600.0,,120.0,,FB,TS,IT,,
103,,P-43,C,Dec-04,,,Petrobras,Petrobras,1,,,790.0,Barracuda,Brazil,806.0,KBR/HES,,KBR/HES,KBR (PROJEMAR),KBR/HES,Mauá-Jurong Cnsort. Jurong/Mauá- Jurong,,34.0,20.0,,14.0,ABS,337.0,55.0,27.0,21.0,SH,311000.0,1975.0,2003.0,150.0,210.0,185.0,12.0,,50.0,,37.0,2000.0,5.0,36.0,,,,SALM,,
104,,P-47,C,Oct-04,,,Petrobras,Petrobras,1,,,190.0,Marlim,Brazil,,,,,,,,,,,,,ABS,386.0,,,14.0,SH,151242.0,1976.0,2004.0,151.0,,151.0,,,,,,1900.0,,,,,,IT,,
105,,P-48,C,Feb-05,,,Petrobras,Petrobras,1,,,1040.0,Caratinga,Brazil,153.0,KBR/HES,,KBR/HES,KBR (PROJEMAR),KBR/HES,Mauá-Jurong Cnsort. FELS-Setal,,21.0,13.0,8.0,,ABS,337.0,55.0,27.0,21.0,SH,311000.0,1973.0,2004.0,150.0,15.0,153.0,,,20.0,,,500.0,1.0,35.0,F,FB,TS,CALM,,
106,,P-50,C,Feb-05,,,Petrobras,Petrobras,1,,,1225.0,Albacora Leste,Brazil,,UTC Engenharia,,UTC Engenharia,Petrobras,Jurong,Jurong,,42.0,17.0,,25.0,ABS,337.0,55.0,28.0,21.0,SH,279688.0,1980.0,2003.0,180.0,210.0,215.0,50.0,50.0,55.0,32.0,,1600.0,23.0,100.0,,FB,TS,SM,,
107,,P-53,C,Dec-08,,,Petrobras / CDC,Petrobras,2,,,1080.0,Marlim Leste,Brazil,,,,SBMO,QUIP Consortium,,Keppel,SBM Offshore,18.0,9.0,,9.0,,346.0,57.0,28.0,22.0,SH,322446.0,1984.0,2007.0,180.0,210.0,215.0,,,189.0,,245.0,2000.0,75.0,160.0,S,FB,,IT,P,9.0
108,PETROBRAS,P-54,C,Dec-07,,,Petrobras,Petrobras,1,,,1400.0,Roncador Module 2,Brazil,2000.0,,,,Maua,FSTP,Jurong,,19.0,11.0,2.0,6.0,ABS,337.0,54.0,28.0,22.0,SH,321000.0,1979.0,2007.0,180.0,,180.0,,,,,,2000.0,10.0,,,,,,,
109,,P-57,C,Dec-10,,,Petrobras / ICDC,Petrobras,2,,,1260.0,"Jubarte, Ph 2",Brazil,600.0,SBM Offshore,SBM Offshore,SBM Offshore,,,Keppel,SBM Offshore,45.0,19.0,17.0,9.0,,311.0,56.0,,,DH,255000.0,2003.0,2010.0,180.0,4.0,180.0,,,300.0,,134.0,1600.0,80.0,52.0,F,FT,TS,SM,P,9.0
110,,P-58,C,Mar-14,,,Petrobras,Petrobras,1,,,1800.0,Espirito Santo,Brazil,,,HITACHI Shipbuilding,SBM Offshore,Dyna-Mac & BT Engineering,,Kerppel,SBM Offshore,19.0,13.0,1.0,5.0,ABS,331.0,57.2,,21.0,DS/SB,391653.0,1975.0,2009.0,100.0,50.0,108.0,,30.0,75.0,,,2067.0,10.0,,GI,FT,TS,IT,P,9.0
111,,P-62 (Formerly MT Suva),C,May-14,,,Petrobras,Petrobras,1,,,1600.0,Roncador,Brazil,,,,,"Utc Engenharia, CEE, RJ",,,,,,,,,328.0,57.0,,,,154998.0,,2013.0,180.0,6.0,181.0,,,,,265.0,,,,,,,,,
112,,P-63,C,Oct-13,,,Petrobras,Petrobras,1,,,1190.0,"Papa Terra Field, BLOCK BC-20",Brazil,1000.0,Various,BW Offshore,BW Offshore,,,COSCO,,26.0,16.0,,10.0,ABS,334.0,58.0,28.0,8.0,SH,322912.0,1983.0,2013.0,150.0,35.0,156.0,,,,,340.0,1400.0,26.0,126.0,"F,S,I",FB,TB,SM,P,25.0
113,,P-66,N,May-17,,,Petrobras,Petrobras,1,,,2150.0,Lula Sul,Brazil,,Doris Engr.,COOEC,COOEC,COOEC,Rio Grande,Brasfels,,,,,,ABS,307.5,74.0,,,,252812.0,,,150.0,212.0,,,,,,,1600.0,,,,,,,,
114,,P-67,N,Dec-18,Nov-10,96.9,Petrobras,Petrobras,1,,,2150.0,Lula Norte,Brazil,,ChemTech,Doris,COOEC,,Ecovix/RG,ERG,,6.0,6.0,,,ABS,307.5,74.0,,,DH,252812.0,,,150.0,212.0,215.0,,,,,,1600.0,,,,,,,,
115,,P-68,N,Oct-18,Nov-10,94.3,Petrobras,Petrobras,1,,,1500.0,Barbigao Sururu,Brazil,,ChemTech,COOEC,,Jurong,Ecovix/RG,Jurong,,6.0,6.0,,,ABS,,,,,DH,,,,150.0,200.0,183.0,,,,,,1600.0,,,,,,,,
116,,P-69,N,Oct-18,Nov-10,94.3,Petrobras,Petrobras,1,,,1500.0,Lula Extremo Sul Berbigao and Sursuru,Brazil,,Doris Engr.,,,Brasfels,Cosco,Brasfels,,3.0,3.0,,,,307.5,74.0,,,DH,252812.0,,,100.0,200.0,133.0,,,,,,1600.0,,,,,,,,
117,,P-74,C,Apr-18,May-12,71.0,Petrobras,Petrobras,1,,,2190.0,Buzios East,Brazil,,Enseada,,Enseada,Various,,Cosco,,2.0,2.0,,,,326.2,56.6,28.6,,SH,275546.0,,,150.0,250.0,192.0,,,,,,1400.0,,,,,,,,
118,,P-76,C,2H-18,May-12,,Petrobras,Petrobras,1,,,2190.0,Buzios Sul,Brazil,,Enseada,,Enseada,Techint,,Cosco/Techint,,1.0,1.0,,,,332.0,58.0,,,DS,302493.0,,,150.0,250.0,192.0,,,,,,1600.0,,,,,,,,
119,PETROFAC,FPF3 (JASMINE VENTURE - MV 7),C,Dec-04,,,Petrofac,Petrofac Mubala Petroleum,3,L,,60.0,Jasmine,Thailand,196.0,MODEC/Schlumberger,MODEC,MODEC,MODEC/Hup Seng Engr.,,Jurong,SOFEC/Framo Engr.,3.0,,,,ABS,248.0,39.0,21.0,15.0,SH,106000.0,1976.0,1999.0,20.0,20.0,23.0,8.0,,30.0,,,800.0,2.0,59.0,F,FB,TS,ET,P,6.0
120,PETROVIETNAM,THAI BINH (CUULONG MV9),N,Oct-03,,,PetroVietnam,MODEC Cuu Long JV,2,,,48.0,"Cuu Long Basin (Black Lion), Block 15-1",Vietnam,390.0,MODEC/Alliance,MODEC/Samsung,MODEC,MODEC/Samsung,Samsung,,SOFEC/Framo Engr.,6.0,,,,ABS,245.0,43.0,20.0,,DH,91468.0,1985.0,2012.0,65.0,19.5,68.0,,35.0,,,82.5,1000.0,,,,,,ET,P,
121,POINT RESOURCES,JOTUN A,N,Oct-99,,,Point Resources,Point Resources,1,,,128.0,Jotun,Norway,200.0,Kavaener,Kvaerner Masa,Kvaener Rosenberg,Kvaerner Masa,,Kvaerner Masa,Bluewater,19.0,,,,DNV,233.0,42.0,24.0,16.0,DH,93476.0,1997.0,,123.0,30.0,128.0,,,80.0,,,595.0,4.0,55.0,F,FB,TS,IT,D,6.0
122,PV KEEZ,LEWEK EMAS (CHIM SAO),C,Oct-11,,,PV Keez,PV Keez Premier Oil,3,L,,95.0,Chim Sao,Vietnam,48.0,,,,,,Keppel,,,,,,ABS,290.0,51.0,24.0,,,190000.0,1977.0,2011.0,50.0,,50.0,,,,,,680.0,7.0,,S,,,IT,D,9.0
123,PREMIER OIL,ANOA NATUNA,N,Apr-90,,,Premier Oil,Premier Oil,1,,,77.0,Anoa Block A,Indonesia,216.0,MODEC/NATCO,MODEC,MODEC,MODEC/Applied Engr.,IHI Marine,IHI,SOFEC,23.0,,,,ABS,165.0,39.0,21.0,14.0,SH,76200.0,1990.0,,70.0,32.0,75.0,,36.0,60.0,,85.0,550.0,6.0,55.0,S,FB,TS,ET,D,12.0
124,PTTEP,MONTARA VENTURE,C,Jun-13,,,PTTEP,PTTEP,1,,,80.0,"Montara, Skua, Swift, Swallow Fields",Australia,40.0,,,,,,,,6.0,5.0,1.0,,ABS,274.0,43.0,24.0,,,146251.0,,,40.0,60.0,50.0,,,,,,700.0,,58.0,L,,,STP,,9.0
125,QUADRANT ENERGY,NINGALOO VISION,C,Feb-10,Sep-07,29.0,Quadrant Energy,Quadrant Energy,1,,,350.0,Van Gogh Coniston/Navara,Australia,50.0,,Prosafe,Prosafe,Various,,Keppel,Prosafe,13.0,10.0,1.0,2.0,LR,238.0,42.0,24.0,15.0,DS,101832.0,1981.0,2008.0,63.0,80.0,76.0,80.0,80.0,147.0,,147.0,540.0,8.0,60.0,I,FB,TS,SM,D,9.0
126,RUBICON OFFSHORE,AJE (Front Puffin),C,May-16,Jul-15,10.0,Rubicon Offshore,Yinka Folawiyo Petroleum Panoro Energy,3,L,,91.0,"OML113 Aje Field , Benin Basin",Nigeria,,,,,,,,,,,,,DNV,246.0,43.0,21.0,8.0,SH,112046.0,1990.0,2007.0,40.0,40.0,47.0,,6.0,,40.0,,770.0,2.0,43.0,,FT,,ET,D,
127,,RUBICON INTREPID,C,Oct-08,Mar-07,19.0,Rubicon Offshore,Rubicon Offshore Galoc Production Co.,3,L,,290.0,Galoc,Philippines,24.0,,,,Batam,,MMHE,,,,,,ABS,217.0,32.0,19.0,13.0,DH,67436.0,1981.0,2007.0,15.0,40.0,22.0,,,30.0,,,450.0,,36.0,,FB,,ET,,
128,SAIPEM,CIDADE DE VITORIA,C,Nov-07,Jul-05,28.0,Saipem,Saipem Petrobras,3,L,,1386.0,Golfinho,Brazil,,,,Saipem,,,DDD,,,,,,ABS,337.0,54.0,27.0,21.0,DH,273775.0,1976.0,2006.0,100.0,118.0,120.0,,,,50.0,138.0,1900.0,,100.0,F,FT,,SM,,18.0
129,,GIMBOA,C,Apr-09,Jul-06,33.0,Saipem,Saipem Sonangol,3,L,,711.0,Gimboa,Angola,,,,Saipem,Various,,DDD,,7.0,3.0,,4.0,ABS,337.0,55.0,27.0,21.0,,273777.0,1977.0,2008.0,60.0,37.0,66.0,,,,60.0,60.0,1800.0,,100.0,,FI,,SM,,12.0
130,SBM & PARTNERS,CIDADE DE ANCHIETA,C,Sep-12,Nov-11,10.0,SBM Offshore,SBM Offshore Petrobras,3,L,18.0,1221.0,Baleia Azul,Brazil,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,SBM Offshore,13.0,9.0,,4.0,ABS,344.0,52.0,28.0,22.0,SH,270000.0,1975.0,2011.0,100.0,130.0,100.0,,70.0,90.0,,110.0,1900.0,39.0,89.0,"S, L,",FT,TS,IT,P,10.0
131,,CIDADE DE ILHABELA,C,Nov-14,,,SBM Offshore,SBM Offshore Petrobras,3,L,20.0,2140.0,"Sapinhoa, Santos Basin",Brazil,1600.0,SBM Offshore,SBM Offshore,SBM Offshore,Brasa/EBSE,,CXG,,15.0,8.0,,7.0,ABS,345.0,58.0,30.0,,SH,265243.0,1996.0,2014.0,150.0,212.0,187.0,210.0,140.0,120.0,,180.0,1600.0,55.0,,,FT,TS,SM,P,
132,,ASENG,C,Nov-11,,,SBM Offshore & JVP,SBM Offshore & JV Partner Noble Energy,3,L,15.0,960.0,Aseng,Eq Guinea,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,SBM Offshore,10.0,5.0,2.0,3.0,ABS,350.0,,,,SH,255502.0,1988.0,2011.0,90.0,174.0,120.0,,170.0,100.0,,150.0,1661.0,17.0,100.0,"L,I",FT,TS,IT,P,9.0
133,,CAPIXABA,C,May-10,Dec-05,52.9,SBM Offshore & JVP,SBM Offshore Petrobras,3,L,12.0,1485.0,Cachalote,Brazil,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,SBM Offshore,10.0,8.0,,2.0,ABS,346.0,55.0,27.0,21.0,SH,273000.0,1974.0,2009.0,100.0,113.0,119.0,,70.0,75.0,50.0,140.0,1600.0,33.0,96.0,"S, L",FT,TS,IT,P,9.0
134,,CIDADE DE MARICA,C,Feb-16,Jul-14,19.0,SBM Offshore & JVP,SBM Offshore Petrobras,3,L,20.0,2120.0,Lula Alto,Brazil,12000.0,SBM Offshore,SBM Offshore,SBM Offshore,Jotal (CH) - DME (SG) -Brasa/EBSE,,Chengxi Shipyard (CXG),,16.0,9.0,7.0,,ABS,319.0,58.0,32.0,23.0,DH,308492.0,2000.0,2015.0,150.0,220.0,187.0,212.0,155.0,120.0,40.0,200.0,1600.0,55.0,140.0,S/L,FT,TS,SM,p,24.0
135,,CIDADE DE PARATY,C,Jun-13,Aug-10,33.9,SBM Offshore & JVP,SBM Offshore Petrobras,3,L,20.0,2120.0,Lula NE Field,Brazil,8300.0,SBM Offshore,SBM Offshore,SBM Offshore,(BR) Various,,"Keppel, BrasFELS",,15.0,,,,ABS,322.0,56.0,29.0,,SH,240214.0,1998.0,2013.0,120.0,177.0,151.0,,,120.0,,150.0,1500.0,33.0,,,FT,,SM,P,
136,,CIDADE DE SAQUAREMA,C,Jul-16,,,SBM Offshore & JVP,SBM Offshore & JV Partner Petrobras,3,L,20.0,2130.0,Lula Central,Brazil,12000.0,SBM Offshore,SBM Offshore,SBM Offshore,Jotal (CH) - DME (SG) - Brasa/EBSE,,Chengxi Shipyard (CXG),,,,,,ABS,319.0,58.0,32.0,23.0,DH,308492.0,2000.0,2015.0,150.0,220.0,187.0,212.0,155.0,120.0,40.0,200.0,1600.0,55.0,140.0,S/L,FT,TS,SM,P,24.0
