x_m,weight_per_m_t,buoyancy_per_m_t,shear_force_t,bending_moment_t_m,wave_hogging_t_m,wave_sagging_t_m,wave_shear_positive_t,wave_shear_negative_t,total_hogging_t_m,total_sagging_t_m,total_shear_positive_t,total_shear_negative_t
36.5,200.0,100.0,-1350.0,-53384.375,25200.049490773014,-25936.893043134798,595.3776653061557,-602.3302384413172,-28184.325509226986,-79321.2680431348,-754.6223346938443,-1952.3302384413173
36.75,200.0,100.0,-1325.0,-53718.75,25372.65256947694,-26114.542995485037,591.6106788165471,-598.0666395849115,-28346.09743052306,-79833.29299548504,-733.3893211834529,-1923.0666395849116
37.0,200.0,100.0,-1300.0,-54046.875,25545.25564818086,-26292.192947835272,587.8436923269386,-593.8030407285057,-28501.61935181914,-80339.06794783527,-712.1563076730614,-1893.8030407285057
37.25,200.0,100.0,-1275.0,-54368.75,25717.858726884788,-26469.84290018551,584.0767058373302,-589.5394418720999,-28650.891273115212,-80838.59290018551,-690.9232941626698,-1864.5394418720998
37.5,200.0,100.0,-1250.0,-54684.375,25890.461805588715,-26647.492852535754,580.3097193477216,-585.2758430156942,-28793.913194411285,-81331.86785253575,-669.6902806522784,-1835.2758430156941
37.75,200.0,100.0,-1225.0,-54993.75,26063.06488429264,-26825.14280488599,576.5427328581133,-581.0122441592887,-28930.68511570736,-81818.89280488598,-648.4572671418867,-1806.0122441592887
38.0,200.0,100.0,-1200.0,-55296.875,26235.667962996562,-27002.792757236224,572.7757463685048,-576.7486453028829,-29061.207037003438,-82299.66775723622,-627.2242536314952,-1776.7486453028828
38.25,200.0,100.0,-1175.0,-55593.75,26408.27104170049,-27180.442709586467,569.0087598788963,-572.4850464464771,-29185.47895829951,-82774.19270958647,-605.9912401211037,-1747.485046446477
38.5,200.0,100.0,-1150.0,-55884.375,26580.874120404413,-27358.092661936706,565.2417733892878,-568.2214475900714,-29303.500879595587,-83242.46766193671,-584.7582266107122,-1718.2214475900714
38.75,200.0,100.0,-1125.0,-56168.75,26753.477199108336,-27535.74261428694,561.4747868996794,-563.9578487336657,-29415.272800891664,-83704.49261428694,-563.5252131003206,-1688.9578487336657
39.0,200.0,100.0,-1100.0,-56446.875,26926.08027781226,-27713.392566637183,557.707800410071,-559.69424987726,-29520.79472218774,-84160.26756663718,-542.292199589929,-1659.69424987726
39.25,200.0,100.0,-1075.0,-56718.75,27098.683356516187,-27891.04251898742,553.9408139204625,-555.4306510208542,-29620.066643483813,-84609.79251898742,-521.0591860795375,-1630.4306510208542
39.5,200.0,100.0,-1050.0,-56984.375,27271.28643522011,-28068.69247133766,550.173827430854,-551.1670521644485,-29713.08856477989,-85053.06747133766,-499.826172569146,-1601.1670521644485
39.75,200.0,100.0,-1025.0,-57243.75,27443.889513924038,-28246.3424236879,546.4068409412456,-546.9034533080428,-29799.860486075962,-85490.0924236879,-478.5931590587544,-1571.9034533080428
40.0,200.0,100.0,-1000.0,-57496.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-29880.38240737204,-85920.86737603814,-457.360145548363,-1542.639854451637
40.25,200.0,100.0,-975.0,-57743.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-30127.25740737204,-86167.74237603814,-432.360145548363,-1517.639854451637
40.5,200.0,100.0,-950.0,-57984.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-30367.88240737204,-86408.36737603814,-407.360145548363,-1492.639854451637
40.75,200.0,100.0,-925.0,-58218.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-30602.25740737204,-86642.74237603814,-382.360145548363,-1467.639854451637
41.0,200.0,100.0,-900.0,-58446.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-30830.38240737204,-86870.86737603814,-357.360145548363,-1442.639854451637
41.25,200.0,100.0,-875.0,-58668.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31052.25740737204,-87092.74237603814,-332.360145548363,-1417.639854451637
41.5,200.0,100.0,-850.0,-58884.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31267.88240737204,-87308.36737603814,-307.360145548363,-1392.639854451637
41.75,200.0,100.0,-825.0,-59093.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31477.25740737204,-87517.74237603814,-282.360145548363,-1367.639854451637
42.0,200.0,100.0,-800.0,-59296.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31680.38240737204,-87720.86737603814,-257.360145548363,-1342.639854451637
42.25,200.0,100.0,-775.0,-59493.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31877.25740737204,-87917.74237603814,-232.360145548363,-1317.639854451637
42.5,200.0,100.0,-750.0,-59684.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32067.88240737204,-88108.36737603814,-207.360145548363,-1292.639854451637
42.75,200.0,100.0,-725.0,-59868.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32252.25740737204,-88292.74237603814,-182.360145548363,-1267.639854451637
43.0,200.0,100.0,-700.0,-60046.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32430.38240737204,-88470.86737603814,-157.360145548363,-1242.639854451637
43.25,200.0,100.0,-675.0,-60218.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32602.25740737204,-88642.74237603814,-132.360145548363,-1217.639854451637
43.5,200.0,100.0,-650.0,-60384.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32767.88240737204,-88808.36737603814,-107.360145548363,-1192.639854451637
43.75,200.0,100.0,-625.0,-60543.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32927.25740737204,-88967.74237603814,-82.360145548363,-1167.639854451637
44.0,200.0,100.0,-600.0,-60696.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33080.38240737204,-89120.86737603814,-57.36014554836299,-1142.639854451637
44.25,200.0,100.0,-575.0,-60843.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33227.25740737204,-89267.74237603814,-32.36014554836299,-1117.639854451637
44.5,200.0,100.0,-550.0,-60984.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33367.88240737204,-89408.36737603814,-7.360145548362993,-1092.639854451637
44.75,200.0,100.0,-525.0,-61118.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33502.25740737204,-89542.74237603814,17.639854451637007,-1067.639854451637
45.0,200.0,100.0,-500.0,-61246.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33630.38240737204,-89670.86737603814,42.63985445163701,-1042.639854451637
45.25,200.0,100.0,-475.0,-61368.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33752.25740737204,-89792.74237603814,67.639854451637,-1017.639854451637
45.5,200.0,100.0,-450.0,-61484.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33867.88240737204,-89908.36737603814,92.639854451637,-992.639854451637
45.75,200.0,100.0,-425.0,-61593.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33977.25740737204,-90017.74237603814,117.639854451637,-967.639854451637
46.0,200.0,100.0,-400.0,-61696.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34080.38240737204,-90120.86737603814,142.639854451637,-942.639854451637
46.25,200.0,100.0,-375.0,-61793.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34177.25740737204,-90217.74237603814,167.639854451637,-917.639854451637
46.5,200.0,100.0,-350.0,-61884.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34267.88240737204,-90308.36737603814,192.639854451637,-892.639854451637
46.75,200.0,100.0,-325.0,-61968.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34352.25740737204,-90392.74237603814,217.639854451637,-867.639854451637
47.0,200.0,100.0,-300.0,-62046.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34430.38240737204,-90470.86737603814,242.639854451637,-842.639854451637
47.25,200.0,100.0,-275.0,-62118.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34502.25740737204,-90542.74237603814,267.639854451637,-817.639854451637
47.5,200.0,100.0,-250.0,-62184.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34567.88240737204,-90608.36737603814,292.639854451637,-792.639854451637
47.75,200.0,100.0,-225.0,-62243.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34627.25740737204,-90667.74237603814,317.639854451637,-767.639854451637
48.0,200.0,100.0,-200.0,-62296.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34680.38240737204,-90720.86737603814,342.639854451637,-742.639854451637
48.25,200.0,100.0,-175.0,-62343.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34727.25740737204,-90767.74237603814,367.639854451637,-717.639854451637
48.5,200.0,100.0,-150.0,-62384.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34767.88240737204,-90808.36737603814,392.639854451637,-692.639854451637
48.75,200.0,100.0,-125.0,-62418.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34802.25740737204,-90842.74237603814,417.639854451637,-667.639854451637
49.0,200.0,100.0,-100.0,-62446.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34830.38240737204,-90870.86737603814,442.639854451637,-642.639854451637
49.25,200.0,100.0,-75.0,-62468.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34852.25740737204,-90892.74237603814,467.639854451637,-617.639854451637
49.5,200.0,100.0,-50.0,-62484.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34867.88240737204,-90908.36737603814,492.639854451637,-592.639854451637
49.75,200.0,100.0,-25.0,-62493.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34877.25740737204,-90917.74237603814,517.639854451637,-567.639854451637
50.0,200.0,100.0,0.0,-62496.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34880.38240737204,-90920.86737603814,542.639854451637,-542.639854451637
50.25,200.0,100.0,25.0,-62493.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34877.25740737204,-90917.74237603814,567.639854451637,-517.639854451637
50.5,200.0,100.0,50.0,-62484.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34867.88240737204,-90908.36737603814,592.639854451637,-492.639854451637
50.75,200.0,100.0,75.0,-62468.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34852.25740737204,-90892.74237603814,617.639854451637,-467.639854451637
51.0,200.0,100.0,100.0,-62446.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34830.38240737204,-90870.86737603814,642.639854451637,-442.639854451637
51.25,200.0,100.0,125.0,-62418.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34802.25740737204,-90842.74237603814,667.639854451637,-417.639854451637
51.5,200.0,100.0,150.0,-62384.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34767.88240737204,-90808.36737603814,692.639854451637,-392.639854451637
51.75,200.0,100.0,175.0,-62343.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34727.25740737204,-90767.74237603814,717.639854451637,-367.639854451637
52.0,200.0,100.0,200.0,-62296.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34680.38240737204,-90720.86737603814,742.639854451637,-342.639854451637
52.25,200.0,100.0,225.0,-62243.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34627.25740737204,-90667.74237603814,767.639854451637,-317.639854451637
52.5,200.0,100.0,250.0,-62184.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34567.88240737204,-90608.36737603814,792.639854451637,-292.639854451637
52.75,200.0,100.0,275.0,-62118.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34502.25740737204,-90542.74237603814,817.639854451637,-267.639854451637
53.0,200.0,100.0,300.0,-62046.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34430.38240737204,-90470.86737603814,842.639854451637,-242.639854451637
53.25,200.0,100.0,325.0,-61968.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34352.25740737204,-90392.74237603814,867.639854451637,-217.639854451637
53.5,200.0,100.0,350.0,-61884.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34267.88240737204,-90308.36737603814,892.639854451637,-192.639854451637
53.75,200.0,100.0,375.0,-61793.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34177.25740737204,-90217.74237603814,917.639854451637,-167.639854451637
54.0,200.0,100.0,400.0,-61696.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-34080.38240737204,-90120.86737603814,942.639854451637,-142.639854451637
54.25,200.0,100.0,425.0,-61593.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33977.25740737204,-90017.74237603814,967.639854451637,-117.639854451637
54.5,200.0,100.0,450.0,-61484.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33867.88240737204,-89908.36737603814,992.639854451637,-92.639854451637
54.75,200.0,100.0,475.0,-61368.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33752.25740737204,-89792.74237603814,1017.639854451637,-67.639854451637
55.0,200.0,100.0,500.0,-61246.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33630.38240737204,-89670.86737603814,1042.639854451637,-42.63985445163701
55.25,200.0,100.0,525.0,-61118.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33502.25740737204,-89542.74237603814,1067.639854451637,-17.639854451637007
55.5,200.0,100.0,550.0,-60984.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33367.88240737204,-89408.36737603814,1092.639854451637,7.360145548362993
55.75,200.0,100.0,575.0,-60843.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33227.25740737204,-89267.74237603814,1117.639854451637,32.36014554836299
56.0,200.0,100.0,600.0,-60696.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-33080.38240737204,-89120.86737603814,1142.639854451637,57.36014554836299
56.25,200.0,100.0,625.0,-60543.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32927.25740737204,-88967.74237603814,1167.639854451637,82.360145548363
56.5,200.0,100.0,650.0,-60384.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32767.88240737204,-88808.36737603814,1192.639854451637,107.360145548363
56.75,200.0,100.0,675.0,-60218.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32602.25740737204,-88642.74237603814,1217.639854451637,132.360145548363
57.0,200.0,100.0,700.0,-60046.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32430.38240737204,-88470.86737603814,1242.639854451637,157.360145548363
57.25,200.0,100.0,725.0,-59868.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32252.25740737204,-88292.74237603814,1267.639854451637,182.360145548363
57.5,200.0,100.0,750.0,-59684.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-32067.88240737204,-88108.36737603814,1292.639854451637,207.360145548363
57.75,200.0,100.0,775.0,-59493.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31877.25740737204,-87917.74237603814,1317.639854451637,232.360145548363
58.0,200.0,100.0,800.0,-59296.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31680.38240737204,-87720.86737603814,1342.639854451637,257.360145548363
58.25,200.0,100.0,825.0,-59093.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31477.25740737204,-87517.74237603814,1367.639854451637,282.360145548363
58.5,200.0,100.0,850.0,-58884.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31267.88240737204,-87308.36737603814,1392.639854451637,307.360145548363
58.75,200.0,100.0,875.0,-58668.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-31052.25740737204,-87092.74237603814,1417.639854451637,332.360145548363
59.0,200.0,100.0,900.0,-58446.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-30830.38240737204,-86870.86737603814,1442.639854451637,357.360145548363
59.25,200.0,100.0,925.0,-58218.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-30602.25740737204,-86642.74237603814,1467.639854451637,382.360145548363
59.5,200.0,100.0,950.0,-57984.375,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-30367.88240737204,-86408.36737603814,1492.639854451637,407.360145548363
59.75,200.0,100.0,975.0,-57743.75,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-30127.25740737204,-86167.74237603814,1517.639854451637,432.360145548363
60.0,200.0,100.0,1000.0,-57496.875,27616.49259262796,-28423.992376038135,542.639854451637,-542.639854451637,-29880.38240737204,-85920.86737603814,1542.639854451637,457.360145548363
60.25,200.0,100.0,1025.0,-57243.75,27616.49259262796,-28423.992376038135,548.4538528921904,-547.9330155318909,-29627.25740737204,-85667.74237603814,1573.4538528921903,477.0669844681091
60.5,200.0,100.0,1050.0,-56984.375,27616.49259262796,-28423.992376038135,554.2678513327436,-553.2261766121444,-29367.88240737204,-85408.36737603814,1604.2678513327437,496.7738233878556
60.75,200.0,100.0,1075.0,-56718.75,27616.49259262796,-28423.992376038135,560.081849773297,-558.5193376923983,-29102.25740737204,-85142.74237603814,1635.081849773297,516.4806623076017
61.0,200.0,100.0,1100.0,-56446.875,27616.49259262796,-28423.992376038135,565.8958482138502,-563.8124987726519,-28830.38240737204,-84870.86737603814,1665.89584821385,536.1875012273481
61.25,200.0,100.0,1125.0,-56168.75,27616.49259262796,-28423.992376038135,571.7098466544035,-569.1056598529057,-28552.25740737204,-84592.74237603814,1696.7098466544035,555.8943401470943
61.5,200.0,100.0,1150.0,-55884.375,27616.49259262796,-28423.992376038135,577.5238450949566,-574.3988209331592,-28267.88240737204,-84308.36737603814,1727.5238450949566,575.6011790668408
61.75,200.0,100.0,1175.0,-55593.75,27616.49259262796,-28423.992376038135,583.33784353551,-579.691982013413,-27977.25740737204,-84017.74237603814,1758.33784353551,595.308017986587
62.0,200.0,100.0,1200.0,-55296.875,27616.49259262796,-28423.992376038135,589.1518419760631,-584.9851430936666,-27680.38240737204,-83720.86737603814,1789.1518419760632,615.0148569063334
62.25,200.0,100.0,1225.0,-54993.75,27616.49259262796,-28423.992376038135,594.9658404166165,-590.2783041739204,-27377.25740737204,-83417.74237603814,1819.9658404166166,634.7216958260796
62.5,200.0,100.0,1250.0,-54684.375,27616.49259262796,-28423.992376038135,600.7798388571697,-595.571465254174,-27067.88240737204,-83108.36737603814,1850.7798388571696,654.428534745826
62.75,200.0,100.0,1275.0,-54368.75,27616.49259262796,-28423.992376038135,606.5938372977228,-600.8646263344276,-26752.25740737204,-82792.74237603814,1881.5938372977228,674.1353736655724
63.0,200.0,100.0,1300.0,-54046.875,27616.49259262796,-28423.992376038135,612.4078357382762,-606.1577874146815,-26430.38240737204,-82470.86737603814,1912.4078357382762,693.8422125853185
63.25,200.0,100.0,1325.0,-53718.75,27616.49259262796,-28423.992376038135,618.2218341788293,-611.450948494935,-26102.25740737204,-82142.74237603814,1943.2218341788293,713.549051505065
63.5,200.0,100.0,1350.0,-53384.375,27616.49259262796,-28423.992376038135,624.0358326193827,-616.7441095751889,-25767.88240737204,-81808.36737603814,1974.0358326193827,733.2558904248111
63.75,200.0,100.0,1375.0,-53043.75,27616.49259262796,-28423.992376038135,629.8498310599359,-622.0372706554424,-25427.25740737204,-81467.74237603814,2004.849831059936,752.9627293445576
64.0,200.0,100.0,1400.0,-52696.875,27616.49259262796,-28423.992376038135,635.6638295004892,-627.3304317356962,-25080.38240737204,-81120.86737603814,2035.663829500489,772.6695682643038
64.25,200.0,100.0,1425.0,-52343.75,27616.49259262796,-28423.992376038135,641.4778279410424,-632.6235928159498,-24727.25740737204,-80767.74237603814,2066.4778279410425,792.3764071840502
64.5,200.0,100.0,1450.0,-51984.375,27616.49259262796,-28423.992376038135,647.2918263815958,-637.9167538962035,-24367.88240737204,-80408.36737603814,2097.291826381596,812.0832461037965
64.75,200.0,100.0,1475.0,-51618.75,27616.49259262796,-28423.992376038135,653.105824822149,-643.2099149764572,-24002.25740737204,-80042.74237603814,2128.105824822149,831.7900850235428
65.0,200.0,100.0,1500.0,-51246.875,27616.49259262796,-28423.992376038135,658.9198232627023,-648.503076056711,-23630.38240737204,-79670.86737603814,2158.9198232627023,851.496923943289
65.25,200.0,100.0,1525.0,-50868.75,27419.231931252052,-28220.963859066436,664.7338217032554,-653.7962371369646,-23449.518068747948,-79089.71385906644,2189.7338217032557,871.2037628630354
65.5,200.0,100.0,1550.0,-50484.375,27221.97126987613,-28017.93534209473,670.5478201438088,-659.0893982172184,-23262.40373012387,-78502.31034209473,2220.547820143809,890.9106017827816
65.75,200.0,100.0,1575.0,-50093.75,27024.710608500223,-27814.90682512304,676.361818584362,-664.382559297472,-23069.039391499777,-77908.65682512303,2251.361818584362,910.617440702528
66.0,200.0,100.0,1600.0,-49696.875,26827.449947124303,-27611.878308151332,682.1758170249153,-669.6757203777258,-22869.425052875697,-77308.75330815132,2282.1758170249154,930.3242796222742
66.25,200.0,100.0,1625.0,-49293.75,26630.189285748394,-27408.849791179633,687.9898154654685,-674.9688814579794,-22663.560714251606,-76702.59979117963,2312.9898154654684,950.0311185420206
66.5,200.0,100.0,1650.0,-48884.375,26432.928624372475,-27205.82127420793,693.8038139060219,-680.2620425382331,-22451.446375627525,-76090.19627420793,2343.803813906022,969.7379574617669
66.75,200.0,100.0,1675.0,-48468.75,26235.667962996566,-27002.79275723623,699.6178123465751,-685.5552036184868,-22233.082037003434,-75471.54275723622,2374.617812346575,989.4447963815132
67.0,200.0,100.0,1700.0,-48046.875,26038.40730162065,-26799.764240264525,705.4318107871284,-690.8483646987406,-22008.46769837935,-74846.63924026453,2405.4318107871286,1009.1516353012594
67.25,200.0,100.0,1725.0,-47618.75,25841.14664024474,-26596.73572329283,711.2458092276815,-696.1415257789942,-21777.60335975526,-74215.48572329283,2436.2458092276815,1028.858474221006
67.5,200.0,100.0,1750.0,-47184.375,25643.88597886882,-26393.707206321124,717.059807668235,-701.434686859248,-21540.48902113118,-73578.08220632112,2467.059807668235,1048.565313140752
67.75,200.0,100.0,1775.0,-46743.75,25446.625317492908,-26190.678689349428,722.873806108788,-706.7278479395015,-21297.124682507092,-72934.42868934943,2497.873806108788,1068.2721520604985
68.0,200.0,100.0,1800.0,-46296.875,25249.36465611699,-25987.650172377722,728.6878045493414,-712.0210090197553,-21047.51034388301,-72284.52517237772,2528.6878045493413,1087.9789909802448
68.25,200.0,100.0,1825.0,-45843.75,25052.103994741083,-25784.621655406027,734.5018029898946,-717.314170100009,-20791.646005258917,-71628.37165540602,2559.5018029898947,1107.685829899991
68.5,200.0,100.0,1850.0,-45384.375,24854.843333365163,-25581.593138434317,740.315801430448,-722.6073311802628,-20529.531666634837,-70965.96813843431,2590.315801430448,1127.392668819737
68.75,200.0,100.0,1875.0,-44918.75,24657.582671989254,-25378.56462146262,746.1297998710011,-727.9004922605163,-20261.167328010746,-70297.31462146262,2621.129799871001,1147.0995077394837
69.0,200.0,100.0,1900.0,-44446.875,24460.32201061334,-25175.536104490926,751.9437983115542,-733.19365334077,-19986.55298938666,-69622.41110449092,2651.943798311554,1166.80634665923
69.25,200.0,100.0,1925.0,-43968.75,24263.061349237425,-24972.50758751922,757.7577967521077,-738.4868144210238,-19705.688650762575,-68941.25758751921,2682.7577967521074,1186.5131855789762
69.5,200.0,100.0,1950.0,-43484.375,24065.800687861516,-24769.479070547524,763.5717951926607,-743.7799755012774,-19418.574312138484,-68253.85407054753,2713.571795192661,1206.2200244987225
69.75,200.0,100.0,1975.0,-42993.75,23868.540026485596,-24566.450553575818,769.3857936332141,-749.0731365815311,-19125.209973514404,-67560.20055357582,2744.3857936332142,1225.9268634184689
70.0,200.0,100.0,2000.0,-42496.875,23671.279365109687,-24363.422036604123,775.1997920737673,-754.3662976617848,-18825.595634890313,-66860.29703660413,2775.199792073767,1245.6337023382152
70.25,200.0,100.0,2025.0,-41993.75,23474.018703733767,-24160.393519632413,775.1997920737673,-754.3662976617848,-18519.731296266233,-66154.14351963242,2800.199792073767,1270.6337023382152
70.5,200.0,100.0,2050.0,-41484.375,23276.75804235786,-23957.365002660717,775.1997920737673,-754.3662976617848,-18207.61695764214,-65441.74000266072,2825.199792073767,1295.6337023382152
70.75,200.0,100.0,2075.0,-40968.75,23079.497380981942,-23754.336485689015,775.1997920737673,-754.3662976617848,-17889.252619018058,-64723.08648568901,2850.199792073767,1320.6337023382152
71.0,200.0,100.0,2100.0,-40446.875,22882.23671960603,-23551.307968717316,775.1997920737673,-754.3662976617848,-17564.63828039397,-63998.182968717316,2875.199792073767,1345.6337023382152
71.25,200.0,100.0,2125.0,-39918.75,22684.97605823011,-23348.27945174561,775.1997920737673,-754.3662976617848,-17233.77394176989,-63267.029451745606,2900.199792073767,1370.6337023382152
71.5,200.0,100.0,2150.0,-39384.375,22487.7153968542,-23145.250934773914,775.1997920737673,-754.3662976617848,-16896.6596031458,-62529.62593477391,2925.199792073767,1395.6337023382152
71.75,200.0,100.0,2175.0,-38843.75,22290.454735478284,-22942.222417802208,775.1997920737673,-754.3662976617848,-16553.295264521716,-61785.97241780221,2950.199792073767,1420.6337023382152
72.0,200.0,100.0,2200.0,-38296.875,22093.194074102375,-22739.193900830513,775.1997920737673,-754.3662976617848,-16203.680925897625,-61036.06890083051,2975.199792073767,1445.6337023382152
72.25,200.0,100.0,2225.0,-37743.75,21895.933412726456,-22536.165383858806,775.1997920737673,-754.3662976617848,-15847.816587273544,-60279.91538385881,3000.199792073767,1470.6337023382152
72.5,200.0,100.0,2250.0,-37184.375,21698.672751350543,-22333.136866887107,775.1997920737673,-754.3662976617848,-15485.702248649457,-59517.51186688711,3025.199792073767,1495.6337023382152
72.75,200.0,100.0,2275.0,-36618.75,21501.412089974623,-22130.1083499154,775.1997920737673,-754.3662976617848,-15117.337910025377,-58748.858349915405,3050.199792073767,1520.6337023382152
73.0,200.0,100.0,2300.0,-36046.875,21304.151428598718,-21927.07983294371,775.1997920737673,-754.3662976617848,-14742.723571401282,-57973.95483294371,3075.199792073767,1545.6337023382152
73.25,200.0,100.0,2325.0,-35468.75,21106.890767222798,-21724.051315972,775.1997920737673,-754.3662976617848,-14361.859232777202,-57192.801315972,3100.199792073767,1570.6337023382152
73.5,200.0,100.0,2350.0,-34884.375,20909.63010584689,-21521.022799000304,775.1997920737673,-754.3662976617848,-13974.744894153111,-56405.397799000304,3125.199792073767,1595.6337023382152
73.75,200.0,100.0,2375.0,-34293.75,20712.36944447097,-21317.994282028598,775.1997920737673,-754.3662976617848,-13581.380555529031,-55611.744282028594,3150.199792073767,1620.6337023382152
74.0,200.0,100.0,2400.0,-33696.875,20515.108783095056,-21114.965765056902,775.1997920737673,-754.3662976617848,-13181.766216904944,-54811.8407650569,3175.199792073767,1645.6337023382152
74.25,200.0,100.0,2425.0,-33093.75,20317.84812171914,-20911.9372480852,775.1997920737673,-754.3662976617848,-12775.90187828086,-54005.6872480852,3200.199792073767,1670.6337023382152
74.5,200.0,100.0,2450.0,-32484.375,20120.58746034323,-20708.9087311135,775.1997920737673,-754.3662976617848,-12363.787539656769,-53193.2837311135,3225.199792073767,1695.6337023382152
74.75,200.0,100.0,2475.0,-31868.75,19923.32679896731,-20505.880214141795,775.1997920737673,-754.3662976617848,-11945.423201032689,-52374.6302141418,3250.199792073767,1720.6337023382152
