grade,fy,thickness_mm,width_mm,length_mm,aspect,slenderness_beta,sigma_x,sigma_y,tau,utilization,critical_stress_mpa,safety_factor,governing,status
Grade A,235.0,19.0,600.0,2400.0,4.0,1.0666,120.0,60.0,0.0,0.6374,216.51,1.5689,plate_buckling,PASS
Grade A,235.0,19.0,600.0,2400.0,4.0,1.0666,100.0,50.0,50.0,0.5984,216.51,1.6712,plate_buckling,PASS
Grade A,235.0,19.0,800.0,2400.0,3.0,1.4221,100.0,0.0,0.0,0.5689,202.13,1.7577,plate_buckling,PASS
Grade A,235.0,19.0,800.0,2400.0,3.0,1.4221,150.0,0.0,0.0,0.8534,202.13,1.1718,plate_buckling,PASS
Grade A,235.0,19.0,800.0,2400.0,3.0,1.4221,200.0,0.0,0.0,1.1379,202.13,0.8788,plate_buckling,FAIL
Grade A,235.0,19.0,800.0,2400.0,3.0,1.4221,120.0,0.0,40.0,0.7297,202.13,1.3705,plate_buckling,PASS
Grade A,235.0,19.0,800.0,2400.0,3.0,1.4221,120.0,60.0,0.0,0.6827,202.13,1.4647,plate_buckling,PASS
Grade A,235.0,19.0,800.0,2400.0,3.0,1.4221,100.0,50.0,50.0,0.6423,202.13,1.5569,plate_buckling,PASS
Grade A,235.0,19.0,1000.0,2400.0,2.4,1.7777,100.0,0.0,0.0,0.6262,183.65,1.5969,plate_buckling,PASS
Grade A,235.0,19.0,1000.0,2400.0,2.4,1.7777,150.0,0.0,0.0,0.9393,183.65,1.0646,plate_buckling,PASS
Grade A,235.0,19.0,1000.0,2400.0,2.4,1.7777,200.0,0.0,0.0,1.2524,183.65,0.7985,plate_buckling,FAIL
Grade A,235.0,19.0,1000.0,2400.0,2.4,1.7777,120.0,0.0,40.0,0.8038,183.65,1.244,plate_buckling,PASS
Grade A,235.0,19.0,1000.0,2400.0,2.4,1.7777,120.0,60.0,0.0,0.7514,183.65,1.3308,plate_buckling,PASS
Grade A,235.0,19.0,1000.0,2400.0,2.4,1.7777,100.0,50.0,50.0,0.7081,183.65,1.4123,plate_buckling,PASS
Grade A,235.0,20.0,600.0,2400.0,4.0,1.0133,100.0,0.0,0.0,0.5268,218.32,1.8984,plate_buckling,PASS
Grade A,235.0,20.0,600.0,2400.0,4.0,1.0133,150.0,0.0,0.0,0.7901,218.32,1.2656,plate_buckling,PASS
Grade A,235.0,20.0,600.0,2400.0,4.0,1.0133,200.0,0.0,0.0,1.0535,218.32,0.9492,plate_buckling,FAIL
Grade A,235.0,20.0,600.0,2400.0,4.0,1.0133,120.0,0.0,40.0,0.6746,218.32,1.4823,plate_buckling,PASS
Grade A,235.0,20.0,600.0,2400.0,4.0,1.0133,120.0,60.0,0.0,0.6321,218.32,1.582,plate_buckling,PASS
Grade A,235.0,20.0,600.0,2400.0,4.0,1.0133,100.0,50.0,50.0,0.5932,218.32,1.6857,plate_buckling,PASS
Grade A,235.0,20.0,800.0,2400.0,3.0,1.351,100.0,0.0,0.0,0.5601,205.34,1.7856,plate_buckling,PASS
Grade A,235.0,20.0,800.0,2400.0,3.0,1.351,150.0,0.0,0.0,0.8401,205.34,1.1904,plate_buckling,PASS
Grade A,235.0,20.0,800.0,2400.0,3.0,1.351,200.0,0.0,0.0,1.1201,205.34,0.8928,plate_buckling,FAIL
Grade A,235.0,20.0,800.0,2400.0,3.0,1.351,120.0,0.0,40.0,0.7181,205.34,1.3927,plate_buckling,PASS
Grade A,235.0,20.0,800.0,2400.0,3.0,1.351,120.0,60.0,0.0,0.6721,205.34,1.488,plate_buckling,PASS
Grade A,235.0,20.0,800.0,2400.0,3.0,1.351,100.0,50.0,50.0,0.6319,205.34,1.5825,plate_buckling,PASS
Grade A,235.0,20.0,1000.0,2400.0,2.4,1.6888,100.0,0.0,0.0,0.6096,188.65,1.6405,plate_buckling,PASS
Grade A,235.0,20.0,1000.0,2400.0,2.4,1.6888,150.0,0.0,0.0,0.9144,188.65,1.0936,plate_buckling,PASS
Grade A,235.0,20.0,1000.0,2400.0,2.4,1.6888,200.0,0.0,0.0,1.2192,188.65,0.8202,plate_buckling,FAIL
Grade A,235.0,20.0,1000.0,2400.0,2.4,1.6888,120.0,0.0,40.0,0.7822,188.65,1.2784,plate_buckling,PASS
Grade A,235.0,20.0,1000.0,2400.0,2.4,1.6888,120.0,60.0,0.0,0.7315,188.65,1.3671,plate_buckling,PASS
Grade A,235.0,20.0,1000.0,2400.0,2.4,1.6888,100.0,50.0,50.0,0.6888,188.65,1.4518,plate_buckling,PASS
Grade A,235.0,21.0,600.0,2400.0,4.0,0.965,100.0,0.0,0.0,0.523,219.87,1.9119,plate_buckling,PASS
Grade A,235.0,21.0,600.0,2400.0,4.0,0.965,150.0,0.0,0.0,0.7846,219.87,1.2746,plate_buckling,PASS
Grade A,235.0,21.0,600.0,2400.0,4.0,0.965,200.0,0.0,0.0,1.0461,219.87,0.9559,plate_buckling,FAIL
Grade A,235.0,21.0,600.0,2400.0,4.0,0.965,120.0,0.0,40.0,0.6698,219.87,1.4931,plate_buckling,PASS
Grade A,235.0,21.0,600.0,2400.0,4.0,0.965,120.0,60.0,0.0,0.6277,219.87,1.5932,plate_buckling,PASS
Grade A,235.0,21.0,600.0,2400.0,4.0,0.965,100.0,50.0,50.0,0.5888,219.87,1.6983,plate_buckling,PASS
Grade A,235.0,21.0,800.0,2400.0,3.0,1.2867,100.0,0.0,0.0,0.5526,208.1,1.8095,plate_buckling,PASS
Grade A,235.0,21.0,800.0,2400.0,3.0,1.2867,150.0,0.0,0.0,0.8289,208.1,1.2064,plate_buckling,PASS
Grade A,235.0,21.0,800.0,2400.0,3.0,1.2867,200.0,0.0,0.0,1.1053,208.1,0.9048,plate_buckling,FAIL
Grade A,235.0,21.0,800.0,2400.0,3.0,1.2867,120.0,0.0,40.0,0.7083,208.1,1.4117,plate_buckling,PASS
Grade A,235.0,21.0,800.0,2400.0,3.0,1.2867,120.0,60.0,0.0,0.6632,208.1,1.5079,plate_buckling,PASS
Grade A,235.0,21.0,800.0,2400.0,3.0,1.2867,100.0,50.0,50.0,0.6232,208.1,1.6045,plate_buckling,PASS
Grade A,235.0,21.0,1000.0,2400.0,2.4,1.6084,100.0,0.0,0.0,0.596,192.96,1.6779,plate_buckling,PASS
Grade A,235.0,21.0,1000.0,2400.0,2.4,1.6084,150.0,0.0,0.0,0.894,192.96,1.1186,plate_buckling,PASS
Grade A,235.0,21.0,1000.0,2400.0,2.4,1.6084,200.0,0.0,0.0,1.1919,192.96,0.839,plate_buckling,FAIL
Grade A,235.0,21.0,1000.0,2400.0,2.4,1.6084,120.0,0.0,40.0,0.7645,192.96,1.3081,plate_buckling,PASS
Grade A,235.0,21.0,1000.0,2400.0,2.4,1.6084,120.0,60.0,0.0,0.7152,192.96,1.3983,plate_buckling,PASS
Grade A,235.0,21.0,1000.0,2400.0,2.4,1.6084,100.0,50.0,50.0,0.673,192.96,1.4858,plate_buckling,PASS
Grade A,235.0,22.0,600.0,2400.0,4.0,0.9211,100.0,0.0,0.0,0.5199,221.21,1.9236,plate_buckling,PASS
Grade A,235.0,22.0,600.0,2400.0,4.0,0.9211,150.0,0.0,0.0,0.7798,221.21,1.2824,plate_buckling,PASS
Grade A,235.0,22.0,600.0,2400.0,4.0,0.9211,200.0,0.0,0.0,1.0397,221.21,0.9618,plate_buckling,FAIL
Grade A,235.0,22.0,600.0,2400.0,4.0,0.9211,120.0,0.0,40.0,0.6656,221.21,1.5024,plate_buckling,PASS
Grade A,235.0,22.0,600.0,2400.0,4.0,0.9211,120.0,60.0,0.0,0.6238,221.21,1.603,plate_buckling,PASS
Grade A,235.0,22.0,600.0,2400.0,4.0,0.9211,100.0,50.0,50.0,0.5851,221.21,1.7091,plate_buckling,PASS
Grade A,235.0,22.0,800.0,2400.0,3.0,1.2282,100.0,0.0,0.0,0.5464,210.49,1.8303,plate_buckling,PASS
Grade A,235.0,22.0,800.0,2400.0,3.0,1.2282,150.0,0.0,0.0,0.8195,210.49,1.2202,plate_buckling,PASS
Grade A,235.0,22.0,800.0,2400.0,3.0,1.2282,200.0,0.0,0.0,1.0927,210.49,0.9152,plate_buckling,FAIL
Grade A,235.0,22.0,800.0,2400.0,3.0,1.2282,120.0,0.0,40.0,0.7001,210.49,1.4283,plate_buckling,PASS
Grade A,235.0,22.0,800.0,2400.0,3.0,1.2282,120.0,60.0,0.0,0.6556,210.49,1.5253,plate_buckling,PASS
Grade A,235.0,22.0,800.0,2400.0,3.0,1.2282,100.0,50.0,50.0,0.6159,210.49,1.6237,plate_buckling,PASS
Grade A,235.0,22.0,1000.0,2400.0,2.4,1.5352,100.0,0.0,0.0,0.5847,196.7,1.7104,plate_buckling,PASS
Grade A,235.0,22.0,1000.0,2400.0,2.4,1.5352,150.0,0.0,0.0,0.877,196.7,1.1403,plate_buckling,PASS
Grade A,235.0,22.0,1000.0,2400.0,2.4,1.5352,200.0,0.0,0.0,1.1693,196.7,0.8552,plate_buckling,FAIL
Grade A,235.0,22.0,1000.0,2400.0,2.4,1.5352,120.0,0.0,40.0,0.7497,196.7,1.3338,plate_buckling,PASS
Grade A,235.0,22.0,1000.0,2400.0,2.4,1.5352,120.0,60.0,0.0,0.7016,196.7,1.4253,plate_buckling,PASS
Grade A,235.0,22.0,1000.0,2400.0,2.4,1.5352,100.0,50.0,50.0,0.6599,196.7,1.5154,plate_buckling,PASS
Grade A,235.0,23.0,600.0,2400.0,4.0,0.8811,100.0,0.0,0.0,0.5171,222.38,1.9338,plate_buckling,PASS
Grade A,235.0,23.0,600.0,2400.0,4.0,0.8811,150.0,0.0,0.0,0.7757,222.38,1.2892,plate_buckling,PASS
Grade A,235.0,23.0,600.0,2400.0,4.0,0.8811,200.0,0.0,0.0,1.0342,222.38,0.9669,plate_buckling,FAIL
Grade A,235.0,23.0,600.0,2400.0,4.0,0.8811,120.0,0.0,40.0,0.662,222.38,1.5106,plate_buckling,PASS
Grade A,235.0,23.0,600.0,2400.0,4.0,0.8811,120.0,60.0,0.0,0.6205,222.38,1.6115,plate_buckling,PASS
Grade A,235.0,23.0,600.0,2400.0,4.0,0.8811,100.0,50.0,50.0,0.5819,222.38,1.7186,plate_buckling,PASS
Grade A,235.0,23.0,800.0,2400.0,3.0,1.1748,100.0,0.0,0.0,0.541,212.57,1.8484,plate_buckling,PASS
Grade A,235.0,23.0,800.0,2400.0,3.0,1.1748,150.0,0.0,0.0,0.8115,212.57,1.2323,plate_buckling,PASS
Grade A,235.0,23.0,800.0,2400.0,3.0,1.1748,200.0,0.0,0.0,1.082,212.57,0.9242,plate_buckling,FAIL
Grade A,235.0,23.0,800.0,2400.0,3.0,1.1748,120.0,0.0,40.0,0.6931,212.57,1.4428,plate_buckling,PASS
Grade A,235.0,23.0,800.0,2400.0,3.0,1.1748,120.0,60.0,0.0,0.6492,212.57,1.5404,plate_buckling,PASS
Grade A,235.0,23.0,800.0,2400.0,3.0,1.1748,100.0,50.0,50.0,0.6096,212.57,1.6404,plate_buckling,PASS
Grade A,235.0,23.0,1000.0,2400.0,2.4,1.4685,100.0,0.0,0.0,0.5751,199.96,1.7387,plate_buckling,PASS
Grade A,235.0,23.0,1000.0,2400.0,2.4,1.4685,150.0,0.0,0.0,0.8627,199.96,1.1592,plate_buckling,PASS
Grade A,235.0,23.0,1000.0,2400.0,2.4,1.4685,200.0,0.0,0.0,1.1503,199.96,0.8694,plate_buckling,FAIL
Grade A,235.0,23.0,1000.0,2400.0,2.4,1.4685,120.0,0.0,40.0,0.7373,199.96,1.3562,plate_buckling,PASS
Grade A,235.0,23.0,1000.0,2400.0,2.4,1.4685,120.0,60.0,0.0,0.6902,199.96,1.449,plate_buckling,PASS
Grade A,235.0,23.0,1000.0,2400.0,2.4,1.4685,100.0,50.0,50.0,0.6489,199.96,1.5412,plate_buckling,PASS
Grade A,235.0,24.0,600.0,2400.0,4.0,0.8444,100.0,0.0,0.0,0.5147,223.41,1.9427,plate_buckling,PASS
Grade A,235.0,24.0,600.0,2400.0,4.0,0.8444,150.0,0.0,0.0,0.7721,223.41,1.2952,plate_buckling,PASS
Grade A,235.0,24.0,600.0,2400.0,4.0,0.8444,200.0,0.0,0.0,1.0295,223.41,0.9714,plate_buckling,FAIL
Grade A,235.0,24.0,600.0,2400.0,4.0,0.8444,120.0,0.0,40.0,0.6589,223.41,1.5178,plate_buckling,PASS
Grade A,235.0,24.0,600.0,2400.0,4.0,0.8444,120.0,60.0,0.0,0.6177,223.41,1.6189,plate_buckling,PASS
Grade A,235.0,24.0,600.0,2400.0,4.0,0.8444,100.0,50.0,50.0,0.5791,223.41,1.7269,plate_buckling,PASS
Grade A,235.0,24.0,800.0,2400.0,3.0,1.1258,100.0,0.0,0.0,0.5364,214.4,1.8644,plate_buckling,PASS
Grade A,235.0,24.0,800.0,2400.0,3.0,1.1258,150.0,0.0,0.0,0.8046,214.4,1.2429,plate_buckling,PASS
Grade A,235.0,24.0,800.0,2400.0,3.0,1.1258,200.0,0.0,0.0,1.0728,214.4,0.9322,plate_buckling,FAIL
Grade A,235.0,24.0,800.0,2400.0,3.0,1.1258,120.0,0.0,40.0,0.6871,214.4,1.4555,plate_buckling,PASS
Grade A,235.0,24.0,800.0,2400.0,3.0,1.1258,120.0,60.0,0.0,0.6437,214.4,1.5536,plate_buckling,PASS
Grade A,235.0,24.0,800.0,2400.0,3.0,1.1258,100.0,50.0,50.0,0.6042,214.4,1.655,plate_buckling,PASS
Grade A,235.0,24.0,1000.0,2400.0,2.4,1.4073,100.0,0.0,0.0,0.567,202.82,1.7636,plate_buckling,PASS
Grade A,235.0,24.0,1000.0,2400.0,2.4,1.4073,150.0,0.0,0.0,0.8505,202.82,1.1757,plate_buckling,PASS
Grade A,235.0,24.0,1000.0,2400.0,2.4,1.4073,200.0,0.0,0.0,1.134,202.82,0.8818,plate_buckling,FAIL
Grade A,235.0,24.0,1000.0,2400.0,2.4,1.4073,120.0,0.0,40.0,0.7268,202.82,1.3759,plate_buckling,PASS
Grade A,235.0,24.0,1000.0,2400.0,2.4,1.4073,120.0,60.0,0.0,0.6804,202.82,1.4697,plate_buckling,PASS
Grade A,235.0,24.0,1000.0,2400.0,2.4,1.4073,100.0,50.0,50.0,0.6394,202.82,1.5639,plate_buckling,PASS
Grade A,235.0,25.0,600.0,2400.0,4.0,0.8106,100.0,0.0,0.0,0.5127,224.32,1.9506,plate_buckling,PASS
Grade A,235.0,25.0,600.0,2400.0,4.0,0.8106,150.0,0.0,0.0,0.769,224.32,1.3004,plate_buckling,PASS
Grade A,235.0,25.0,600.0,2400.0,4.0,0.8106,200.0,0.0,0.0,1.0253,224.32,0.9753,plate_buckling,FAIL
Grade A,235.0,25.0,600.0,2400.0,4.0,0.8106,120.0,0.0,40.0,0.6561,224.32,1.5241,plate_buckling,PASS
Grade A,235.0,25.0,600.0,2400.0,4.0,0.8106,120.0,60.0,0.0,0.6152,224.32,1.6255,plate_buckling,PASS
Grade A,235.0,25.0,600.0,2400.0,4.0,0.8106,100.0,50.0,50.0,0.5766,224.32,1.7343,plate_buckling,PASS
Grade A,235.0,25.0,800.0,2400.0,3.0,1.0808,100.0,0.0,0.0,0.5324,216.02,1.8784,plate_buckling,PASS
Grade A,235.0,25.0,800.0,2400.0,3.0,1.0808,150.0,0.0,0.0,0.7985,216.02,1.2523,plate_buckling,PASS
Grade A,235.0,25.0,800.0,2400.0,3.0,1.0808,200.0,0.0,0.0,1.0647,216.02,0.9392,plate_buckling,FAIL
Grade A,235.0,25.0,800.0,2400.0,3.0,1.0808,120.0,0.0,40.0,0.6818,216.02,1.4667,plate_buckling,PASS
Grade A,235.0,25.0,800.0,2400.0,3.0,1.0808,120.0,60.0,0.0,0.6388,216.02,1.5653,plate_buckling,PASS
Grade A,235.0,25.0,800.0,2400.0,3.0,1.0808,100.0,50.0,50.0,0.5995,216.02,1.668,plate_buckling,PASS
Grade A,235.0,25.0,1000.0,2400.0,2.4,1.351,100.0,0.0,0.0,0.5601,205.34,1.7856,plate_buckling,PASS
Grade A,235.0,25.0,1000.0,2400.0,2.4,1.351,150.0,0.0,0.0,0.8401,205.34,1.1904,plate_buckling,PASS
Grade A,235.0,25.0,1000.0,2400.0,2.4,1.351,200.0,0.0,0.0,1.1201,205.34,0.8928,plate_buckling,FAIL
Grade A,235.0,25.0,1000.0,2400.0,2.4,1.351,120.0,0.0,40.0,0.7177,205.34,1.3934,plate_buckling,PASS
Grade A,235.0,25.0,1000.0,2400.0,2.4,1.351,120.0,60.0,0.0,0.6721,205.34,1.488,plate_buckling,PASS
Grade A,235.0,25.0,1000.0,2400.0,2.4,1.351,100.0,50.0,50.0,0.6314,205.34,1.5839,plate_buckling,PASS
AH36,355.0,8.0,600.0,2400.0,4.0,3.1134,100.0,0.0,0.0,0.8686,132.4,1.1513,plate_buckling,PASS
AH36,355.0,8.0,600.0,2400.0,4.0,3.1134,150.0,0.0,0.0,1.3029,132.4,0.7675,plate_buckling,FAIL
AH36,355.0,8.0,600.0,2400.0,4.0,3.1134,200.0,0.0,0.0,1.7372,132.4,0.5756,plate_buckling,FAIL
AH36,355.0,8.0,600.0,2400.0,4.0,3.1134,120.0,0.0,40.0,1.1043,132.4,0.9055,plate_buckling,FAIL
AH36,355.0,8.0,600.0,2400.0,4.0,3.1134,120.0,60.0,0.0,1.0423,132.4,0.9594,plate_buckling,FAIL
AH36,355.0,8.0,600.0,2400.0,4.0,3.1134,100.0,50.0,50.0,0.9655,132.4,1.0357,plate_buckling,PASS
AH36,355.0,8.0,800.0,2400.0,3.0,4.1513,100.0,0.0,0.0,1.5442,74.47,0.6476,plate_buckling,FAIL
AH36,355.0,8.0,800.0,2400.0,3.0,4.1513,150.0,0.0,0.0,2.3162,74.47,0.4317,plate_buckling,FAIL
AH36,355.0,8.0,800.0,2400.0,3.0,4.1513,200.0,0.0,0.0,3.0883,74.47,0.3238,plate_buckling,FAIL
AH36,355.0,8.0,800.0,2400.0,3.0,4.1513,120.0,0.0,40.0,2.0354,74.47,0.4913,plate_buckling,FAIL
AH36,355.0,8.0,800.0,2400.0,3.0,4.1513,120.0,60.0,0.0,1.853,74.47,0.5397,plate_buckling,FAIL
AH36,355.0,8.0,800.0,2400.0,3.0,4.1513,100.0,50.0,50.0,1.8292,74.47,0.5467,plate_buckling,FAIL
AH36,355.0,8.0,1000.0,2400.0,2.4,5.1891,100.0,0.0,0.0,2.4128,47.66,0.4145,plate_buckling,FAIL
AH36,355.0,8.0,1000.0,2400.0,2.4,5.1891,150.0,0.0,0.0,3.6191,47.66,0.2763,plate_buckling,FAIL
AH36,355.0,8.0,1000.0,2400.0,2.4,5.1891,200.0,0.0,0.0,4.8255,47.66,0.2072,plate_buckling,FAIL
AH36,355.0,8.0,1000.0,2400.0,2.4,5.1891,120.0,0.0,40.0,3.3046,47.66,0.3026,plate_buckling,FAIL
AH36,355.0,8.0,1000.0,2400.0,2.4,5.1891,120.0,60.0,0.0,2.8953,47.66,0.3454,plate_buckling,FAIL
AH36,355.0,8.0,1000.0,2400.0,2.4,5.1891,100.0,50.0,50.0,3.0522,47.66,0.3276,plate_buckling,FAIL
AH36,355.0,9.0,600.0,2400.0,4.0,2.7675,100.0,0.0,0.0,0.6863,167.57,1.4571,plate_buckling,PASS
AH36,355.0,9.0,600.0,2400.0,4.0,2.7675,150.0,0.0,0.0,1.0294,167.57,0.9714,plate_buckling,FAIL
AH36,355.0,9.0,600.0,2400.0,4.0,2.7675,200.0,0.0,0.0,1.3726,167.57,0.7285,plate_buckling,FAIL
AH36,355.0,9.0,600.0,2400.0,4.0,2.7675,120.0,0.0,40.0,0.8671,167.57,1.1533,plate_buckling,PASS
AH36,355.0,9.0,600.0,2400.0,4.0,2.7675,120.0,60.0,0.0,0.8236,167.57,1.2142,plate_buckling,PASS
AH36,355.0,9.0,600.0,2400.0,4.0,2.7675,100.0,50.0,50.0,0.7543,167.57,1.3257,plate_buckling,PASS
AH36,355.0,9.0,800.0,2400.0,3.0,3.69,100.0,0.0,0.0,1.2201,94.26,0.8196,plate_buckling,FAIL
AH36,355.0,9.0,800.0,2400.0,3.0,3.69,150.0,0.0,0.0,1.8301,94.26,0.5464,plate_buckling,FAIL
AH36,355.0,9.0,800.0,2400.0,3.0,3.69,200.0,0.0,0.0,2.4402,94.26,0.4098,plate_buckling,FAIL
AH36,355.0,9.0,800.0,2400.0,3.0,3.69,120.0,0.0,40.0,1.578,94.26,0.6337,plate_buckling,FAIL
AH36,355.0,9.0,800.0,2400.0,3.0,3.69,120.0,60.0,0.0,1.4641,94.26,0.683,plate_buckling,FAIL
AH36,355.0,9.0,800.0,2400.0,3.0,3.69,100.0,50.0,50.0,1.398,94.26,0.7153,plate_buckling,FAIL
AH36,355.0,9.0,1000.0,2400.0,2.4,4.6125,100.0,0.0,0.0,1.9064,60.32,0.5246,plate_buckling,FAIL
AH36,355.0,9.0,1000.0,2400.0,2.4,4.6125,150.0,0.0,0.0,2.8596,60.32,0.3497,plate_buckling,FAIL
AH36,355.0,9.0,1000.0,2400.0,2.4,4.6125,200.0,0.0,0.0,3.8128,60.32,0.2623,plate_buckling,FAIL
AH36,355.0,9.0,1000.0,2400.0,2.4,4.6125,120.0,0.0,40.0,2.5431,60.32,0.3932,plate_buckling,FAIL
AH36,355.0,9.0,1000.0,2400.0,2.4,4.6125,120.0,60.0,0.0,2.2877,60.32,0.4371,plate_buckling,FAIL
AH36,355.0,9.0,1000.0,2400.0,2.4,4.6125,100.0,50.0,50.0,2.3056,60.32,0.4337,plate_buckling,FAIL
AH36,355.0,10.0,600.0,2400.0,4.0,2.4908,100.0,0.0,0.0,0.5673,202.7,1.7626,plate_buckling,PASS
AH36,355.0,10.0,600.0,2400.0,4.0,2.4908,150.0,0.0,0.0,0.851,202.7,1.1751,plate_buckling,PASS
AH36,355.0,10.0,600.0,2400.0,4.0,2.4908,200.0,0.0,0.0,1.1347,202.7,0.8813,plate_buckling,FAIL
AH36,355.0,10.0,600.0,2400.0,4.0,2.4908,120.0,0.0,40.0,0.7158,202.7,1.3971,plate_buckling,PASS
AH36,355.0,10.0,600.0,2400.0,4.0,2.4908,120.0,60.0,0.0,0.6808,202.7,1.4689,plate_buckling,PASS
AH36,355.0,10.0,600.0,2400.0,4.0,2.4908,100.0,50.0,50.0,0.622,202.7,1.6078,plate_buckling,PASS
AH36,355.0,10.0,800.0,2400.0,3.0,3.321,100.0,0.0,0.0,0.9883,116.37,1.0119,plate_buckling,PASS
AH36,355.0,10.0,800.0,2400.0,3.0,3.321,150.0,0.0,0.0,1.4824,116.37,0.6746,plate_buckling,FAIL
AH36,355.0,10.0,800.0,2400.0,3.0,3.321,200.0,0.0,0.0,1.9765,116.37,0.5059,plate_buckling,FAIL
AH36,355.0,10.0,800.0,2400.0,3.0,3.321,120.0,0.0,40.0,1.2606,116.37,0.7932,plate_buckling,FAIL
AH36,355.0,10.0,800.0,2400.0,3.0,3.321,120.0,60.0,0.0,1.1859,116.37,0.8432,plate_buckling,FAIL
AH36,355.0,10.0,800.0,2400.0,3.0,3.321,100.0,50.0,50.0,1.105,116.37,0.905,plate_buckling,FAIL
AH36,355.0,10.0,1000.0,2400.0,2.4,4.1513,100.0,0.0,0.0,1.5442,74.47,0.6476,plate_buckling,FAIL
AH36,355.0,10.0,1000.0,2400.0,2.4,4.1513,150.0,0.0,0.0,2.3162,74.47,0.4317,plate_buckling,FAIL
AH36,355.0,10.0,1000.0,2400.0,2.4,4.1513,200.0,0.0,0.0,3.0883,74.47,0.3238,plate_buckling,FAIL
AH36,355.0,10.0,1000.0,2400.0,2.4,4.1513,120.0,0.0,40.0,2.0206,74.47,0.4949,plate_buckling,FAIL
AH36,355.0,10.0,1000.0,2400.0,2.4,4.1513,120.0,60.0,0.0,1.853,74.47,0.5397,plate_buckling,FAIL
AH36,355.0,10.0,1000.0,2400.0,2.4,4.1513,100.0,50.0,50.0,1.8061,74.47,0.5537,plate_buckling,FAIL
AH36,355.0,11.0,600.0,2400.0,4.0,2.2643,100.0,0.0,0.0,0.5019,229.13,1.9925,plate_buckling,PASS
AH36,355.0,11.0,600.0,2400.0,4.0,2.2643,150.0,0.0,0.0,0.7528,229.13,1.3283,plate_buckling,PASS
AH36,355.0,11.0,600.0,2400.0,4.0,2.2643,200.0,0.0,0.0,1.0038,229.13,0.9962,plate_buckling,FAIL
AH36,355.0,11.0,600.0,2400.0,4.0,2.2643,120.0,0.0,40.0,0.6324,229.13,1.5812,plate_buckling,PASS
AH36,355.0,11.0,600.0,2400.0,4.0,2.2643,120.0,60.0,0.0,0.6023,229.13,1.6604,plate_buckling,PASS
AH36,355.0,11.0,600.0,2400.0,4.0,2.2643,100.0,50.0,50.0,0.549,229.13,1.8215,plate_buckling,PASS
AH36,355.0,11.0,800.0,2400.0,3.0,3.0191,100.0,0.0,0.0,0.8167,140.8,1.2244,plate_buckling,PASS
AH36,355.0,11.0,800.0,2400.0,3.0,3.0191,150.0,0.0,0.0,1.2251,140.8,0.8162,plate_buckling,FAIL
AH36,355.0,11.0,800.0,2400.0,3.0,3.0191,200.0,0.0,0.0,1.6335,140.8,0.6122,plate_buckling,FAIL
AH36,355.0,11.0,800.0,2400.0,3.0,3.0191,120.0,0.0,40.0,1.0329,140.8,0.9682,plate_buckling,FAIL
AH36,355.0,11.0,800.0,2400.0,3.0,3.0191,120.0,60.0,0.0,0.9801,140.8,1.0203,plate_buckling,PASS
AH36,355.0,11.0,800.0,2400.0,3.0,3.0191,100.0,50.0,50.0,0.8992,140.8,1.1121,plate_buckling,PASS
AH36,355.0,11.0,1000.0,2400.0,2.4,3.7739,100.0,0.0,0.0,1.2762,90.11,0.7836,plate_buckling,FAIL
AH36,355.0,11.0,1000.0,2400.0,2.4,3.7739,150.0,0.0,0.0,1.9143,90.11,0.5224,plate_buckling,FAIL
AH36,355.0,11.0,1000.0,2400.0,2.4,3.7739,200.0,0.0,0.0,2.5523,90.11,0.3918,plate_buckling,FAIL
AH36,355.0,11.0,1000.0,2400.0,2.4,3.7739,120.0,0.0,40.0,1.6459,90.11,0.6076,plate_buckling,FAIL
AH36,355.0,11.0,1000.0,2400.0,2.4,3.7739,120.0,60.0,0.0,1.5314,90.11,0.653,plate_buckling,FAIL
AH36,355.0,11.0,1000.0,2400.0,2.4,3.7739,100.0,50.0,50.0,1.4551,90.11,0.6873,plate_buckling,FAIL
AH36,355.0,12.0,600.0,2400.0,4.0,2.0756,100.0,0.0,0.0,0.4614,249.24,2.1673,plate_buckling,PASS
AH36,355.0,12.0,600.0,2400.0,4.0,2.0756,150.0,0.0,0.0,0.6921,249.24,1.4449,plate_buckling,PASS
AH36,355.0,12.0,600.0,2400.0,4.0,2.0756,200.0,0.0,0.0,0.9228,249.24,1.0836,plate_buckling,PASS
AH36,355.0,12.0,600.0,2400.0,4.0,2.0756,120.0,0.0,40.0,0.5808,249.24,1.7217,plate_buckling,PASS
AH36,355.0,12.0,600.0,2400.0,4.0,2.0756,120.0,60.0,0.0,0.5537,249.24,1.8061,plate_buckling,PASS
AH36,355.0,12.0,600.0,2400.0,4.0,2.0756,100.0,50.0,50.0,0.5038,249.24,1.985,plate_buckling,PASS
AH36,355.0,12.0,800.0,2400.0,3.0,2.7675,100.0,0.0,0.0,0.6863,167.57,1.4571,plate_buckling,PASS
AH36,355.0,12.0,800.0,2400.0,3.0,2.7675,150.0,0.0,0.0,1.0294,167.57,0.9714,plate_buckling,FAIL
AH36,355.0,12.0,800.0,2400.0,3.0,2.7675,200.0,0.0,0.0,1.3726,167.57,0.7285,plate_buckling,FAIL
AH36,355.0,12.0,800.0,2400.0,3.0,2.7675,120.0,0.0,40.0,0.8654,167.57,1.1556,plate_buckling,PASS
