NAME,ATWOOD HUNTER,ATWOOD EAGLE,ATWOOD  FALCON,ATWOOD OSPREY,OCEAN AMERICA,OCEAN BARONESS,OCEAN QUEST,OCEAN WINNER,OCEAN WORKER,OCEAN VALIANT,OCEAN VICTORY,OCEAN ENDEAVOR,OCEAN MONARCH,OCEAN ROVER,OCEAN STAR,BLACKFORD DOLPHIN,ENSCO 5006,ENSCO 5001,NOBLE AMOS RUNNER,NOBLE PAUL ROMANO,NOBLE JIM THOMPSON,NOBLE MAX SMITH,NOBLE HOMER FERRINGTON,NOBLE CLYDE BOUDREAUX,NOBLE LORRIS BOUZIGARD,NOBLE THERALD MARTIN,NOBLE DRILLER,DEEPWATER NAUTILUS,TRANSOCEAN MARIANAS,GSF CELTIC SEA,JACK BATES,"M.G. HULME, JR",TRANSOCEAN RICHARDSON,HENRY GOODRICH,JIM CUNNINGHAM,TRANSOCEAN LEADER,TRANSOCEAN RATHER,SOVEREIGN EXPLORER,ABAN ABRAHAM,HYSY 981,OCEAN CLIPPER,OCEAN CONFIDENCE,OCEAN ALLIANCE,OCEAN COURAGE,OCEAN VALOR,BELFORD DOLPHIN,ENSCO 7500,ENSCO 8500,ENSCO 8501,ENSCO 8502,ENSCO 8503,ENSCO 8504,ENSCO 8505,ENSCO DS-1,ENSCO DS-2,ENSCO 6001,ENSCO 6002,ENSCO 6004,ENSCO 6003,ENSCO DS-3,ENSCO DS-4,ENSCO DS-5,ENSCO DS-6,LA MURALLA IV,JASPER EXPLORER,MÆRSK DEVELOPER,MAERSK DISCOVERER,MÆRSK DELIVERER,NOBLE PAUL WOLFF,NOBLE ROGER EASON,NOBLE LEO SEGERIUS,NOBEL MURAVLENKO,NOBLE DAVE BEARD,NOBLE DANNY ADKINS,NOBLE JIM DAY,NOBLE PHOENIX,NOBLE GLOBETROTTER I,NOBLE BULLY I,ERIK RAUDE,LEIV EIRIKSSON,OCEAN RIG CORCOVADO,OCEAN RIG OLYMPIA,OCEAN RIG POSEIDEN,OCEAN RIG MYKONOS,DEEPSEA METRO I,DEEPSEA METRO II,DEEPSEA STAVANGER,DEEPSEA  ATLANTIC,Pacific Bora,Pacific Scirocco,Pacific Mistral,Pacific Santa Ana,Louisiana,SSV Victoria,GOLD STAR,ALPHA STAR,LONE STAR,SAIPEM 10000,SAIPEM 12000,SCARABEO 5,SCARABEO 8,SCARABEO 9,SC LANCER,WEST NAVIGATOR,WEST PHOENIX,WEST EMINENCE,WEST SIRIUS,WEST TAURUS,WEST HERCULES,WEST AQUARIUS,WEST POLARIS,WEST CAPELLA,WEST ORION,WEST CAPRICORN,WEST PEGASUS,WEST LEO,WEST GEMINI,Sevan Driller,SONGA ECLIPSE,STENA DRILLMAX,STENA CARRON,STENA FORTH,STENA ICEMAX,DEEPWATER ASGARD,DEEPWATER INVICTUS,DEEPWATER CHAMPION,TRANSOCEAN BARENTS,TRANSOCEAN SPITSBERGEN,DISCOVERER INDIA,DISCOVERER CLEAR LEADER,DISCOVERER AMERICAS,DISCOVERER INSPIRATION,PETROBRAS 10000,DHIRUBHAI DEEPWATER KG1,DHIRUBHAI DEEPWATER KG2,DISCOVERER LUANDA,DEVELOPMENT DRILLER III,DEEPWATER DISCOVERY,DEEPWATER EXPEDITION,DEEPWATER FRONTIER,DEEPWATER MILLENNIUM,DEEPWATER PATHFINDER,DISCOVERER DEEP SEAS,DISCOVERER ENTERPRISE,DISCOVERER SPIRIT,GSF C.R. LUIGS,GSF JACK RYAN,GSF EXPLORER,GSF DEVELOPMENT DRILLER I,GSF DEVELOPMENT DRILLER II,DEEPWATER NAVIGATOR,SEDCO ENERGY,SEDCO EXPRESS,CAJUN EXPRESS,DISCOVERER 534,SEDCO 707,DISCOVERER SEVEN SEAS,SEDCO 702,SEDCO 706,SEDCO 709,SEDCO 710,PLATINUM EXPLORER,TITANIUM EXPLORER
D.P. RATING (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class 2,DP2,DP2,DP-3,DP-2,DP-2,DP-02,DP-3,DP-2,DP-2,DP-02,DP-02,DP-02,DP-02,DP-02,AUTR,AUTR,AAA,AAA,AAA,AAA,DPS-3,DPS-03,DPS-03,DPS-03,DP-2,DP2,DP2,DP2,DP2,II-Ceg90,II-Ceg803,DP2,II-Ceg903,DP3,DP3,DP3,DP2,DP3,DP2,DP3,DP3,DP3,DP3,DP3,DP3,DP3,DP3,DP3,DP3,DP 3,DP 3,DP 3,DP 3,,,,DP2,DP2,DP3,DP3,DP3,DP3,DP3,DP,DP3,DP3,DP3,DPS-2+,DPS-2+,DP3,DP3,DP3,DP3,DPS-2+,DPS-2+,DP3,DP3,DP3,,DP2,DP3,DP3,DP3,DP3,DP3,DP3,DP2,DP3,DP3,SDP 32,SDP 32,SDP 32,SDP 32,DP3,DP3,DP3,SDP 32,DPS 2,DPS 3,Autr. DP.,DP3,DP3,DP3,DP2,DP2,DP2,DPS-3,DPS-3,DPS-2,DPS-2+,DPS-2+,NMD-2,DP3,DP3,DP3,DP2,DP2,DP,SDP 32,SDP 32,DP2,DP2,DP - 3,DP - 3
THRUSTERS (No. and H.P.),No,No,No,No,,,,,,"4x2,700",,,,,,,,,,,,,,,,,,,,"4x2,400, 2x2,150","2x7,000",,,"2x6,904",,"4x3,500","2x3,500","2x3,200","5x1,750",,"5x1,840, 1x2,375, 2x6,750","8x4,000","8x4,000",8x4425,8x4425,"5x5,360","8x3,000","8 x 3,500","8 x 3,500","8 x 3,500","8 x 3,500","8 x 3,500","8 x 3,500",7,7,"8x2,145","8x2,145","8x2,145","8x2,145","6x7,370","6x7,370","6x7,370","6x7,370",8x4425,7 (5 tunnel/2azimuth),"8x5,365","8x5,365","8x5,365","6x5,000","8x2,100, 1x7,500","7x3,300","2x3,500, 5x1,750","8x5,000","8x5,000","8x5,000","5x1,750 2x2,000","6x5,000","6x5,600",6,6,6,6,6,6,,,8,8,"6 x 7,375","6 x 6,031","6 x 7,375","6 x 6,031",,,,8,8,"6x5,440","6x6,000","8x2,350","8x4,400","8x5,766",,"4x6,120 + main skrew","8x4,485","8x4,485","8x4,485","8x4,485","8x4,690","8x4,690","6x5,360","6x5,360","8x4,485","8x4,485","8x5,100","8x5,100","6x5,360",,,"6x5,500","6x5,500","6x5,500","6x5,500","6x7,372","6x7,372","6x6,705","8x6,000","8x6,000","6x7,000","6x7,000","6x7,000","6x7,000","6x6,035","6x5,500","6x5,500","6x7,000","8x5,360","6x7,375","6x3,750","6x5,360","6x5,360","6x5,360","6x7,000","6x7,000","6x7,000","6x6,700","6x6,750","5x2,200, 4x3,000","8x4,300","8x4,300","11x800, 4x2,000","4x9,383","4x9,383","4x9,400","6x2,500","8x3,000","6x2,500","8x3,000","8x3,000","8x3,000","8x3,000",6 - 6166 HP each,"6 - 7,375 HP each"
SIZE of CHAIN (In.),2.75 in.,3.25 in.,3 in.,3.75 in.,3.25 in.,3.25 in.,3.25 in.,3 in.,3 in.,3.25 in.,3.25 in.,3.25 in.,3.25 in.,3.25 in.,3.25 in.,3.25 in.,3.25 in.,3.25 in.,2.75 in.,2.75 in.,2.75 in.,2.75 in.,2.75 in.,3.25 in.,3 in.,3 in.,,3.56 in.,3.3 in.,3 in.,3.56 in.,3.56 in.,3.25 in.,3 in.,3.54 in./45 in.,3.3 in.,3.3 in.,3 in.,2 in.,,,3 in.,3.25 in.,3.3 in.,3.3 in.,,3.25 in.,,,,,,,,,,,,,,,,,,,3.5 in.,3.5 in.,3.5 in.,,,2.25 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 in.,3 in.,,,,3 in.,3 in.,,,3.3 in.,3.3 in.,,,,,,,,,,,,,,,,,3.3 in.,3.3 in.,,,,,,,,,3.5 in.,,3 in.,,,,,,,,,,3.25 in.,3.25 in.,2.25 in.,,,,,3 in.,,,,3 in.,3 in.,4 in.,4 in.
CHAIN GRADE ,ORQ+20,ORQ+20,R3S,RQ-4,AB/RQ4,ORQ+20,ORQ+20,ORQ+20,ORQ+20,ORQ+20,ORQ+20,RQ4,RQ5,ORQ+20,ORQ+20,R4,R3S,R3S,ORQ3,GRADE 5,ORQ5,ORQ3,K4,R4S,ORQ,ORQ,,K4,K4,ORQ-K4,ORQ,ORQ,K4,K4,ORQ-3,K4,K4,ORQ+20,,,,K4,ORQ+20,ORQ4,ORQ4,,ABS-K4,,,,,,,,,,,,,,,,,,,K4,K4,K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-4,R5,,,,NV,,,,,,,,,,,,,,,,,,,,,,R4,R4,,,,,,,,,K4,,2,,,,,,,,,,ORQ-K4,ORQ-K4,K3,,,,,ORQ,,,,ORQ,ORQ,K3,K3
LENGTH OF CHAIN (ft.),"4,500 ft.","3,300 ft.","4,500 ft.","3,500 ft.","4,775 ft.","4,200 ft.","3,200 ft.","4,500 ft.","4,880 ft.","4,500 ft.","4,200 ft.","4,200 ft.","4,200 ft.","4,200 ft.","4,000 ft.","4,200 ft.","2,500 ft.","3,500 ft.","4,250 ft.","4,250 ft.","4,250 ft.","4,250 ft.","3,750 ft.","3,200 ft.","1,250 ft.","1,250 ft.",,"3,000 ft.","2,450 ft.","4,500 ft.","3,000 ft.","8 x 2,000 ft.","2,500 ft.",,"8 x 2,000 ft.","6,562 ft.","2,900 ft.",,900 ft.,,,"3,500 ft.","5,500 ft.","1,443 ft.","1,443 ft.",,"8 x 1,000 ft.",,,,,,,,,,,,,,,,,,,"2,000 ft.","2,000 ft.","2,000 ft.",,,"3 1,900 ft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900 ft.","7,900 ft.",,,,R4,,,,"6,561 ft.","6,561 ft.",,,,,,,,,,,,,,,,,"6,562 ft.","6,562 ft.",,,,,,,,,"1,970 ft.",,"1,080 ft./990 ft.",,,,,,,,,,"3,260 ft.","3,260 ft.",,,,,,,,,,"1,500 ft.","1,300 ft.","1,263 ft.","1,263 ft."
WIRE ROPE Diameter (In.),3.25 in.,3.5 in.,3.5 in.,3.625 in.,3.5 in.,3.5 in.,3.5 in.,,3.5 in.,3.5 in.,3.5 in.,3.5 in.,3.75 in.,3.5 in.,3.5 in.,3.75 in.,3.75 in.,3.50 in.,3.25 in.,3.25 in.,3.25 in.,3.25 in.,3.25 in.,3.75 in.,2.75 in.,2.75 in.,3.75 in.,3.75 in.,3.75 in.,3.5 in.,3.75 in.,3.5 in.,3.75 in.,,3.5 in.,3.63 in.,3.75 in.,3.5 in.,,,,,,,,,-,3.5 in.,3.5 in.,3.5 in.,3.5 in.,3.5 in.,3.5 in.,,,,,,,,,,,,,,,,3 in.,,2.75 in.,,2.5 in.,2.5 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8 x 7,800 ft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 in.,3.5 in.,,3.5 in.,2.5 in.,3.5 in.,,,,,,none,none,,
LENGTH of WIRE ROPE (ft.),"8,000 ft.","10,000 ft.","8,000 ft.","6,000 ft.","5,600 ft.","10,000 ft.","8,800 ft.",,"5,000 ft.","5,600 ft.","8,800 ft.","10,800 ft.","10,400 ft.","10,000 ft.","8,800 ft.","9,000 ft.","10,600 ft.","10,000 ft.","10,500 ft.","10,500 ft.","10,500 ft.","10,500 ft.","9,000 ft.","12,000 ft.","5,600 ft.","5,600 ft.","3,500 ft.","15,000 ft.",,"10,000 ft.","10,000 ft.",,"10,000 ft.","12 x 5,500 ft.","6,900 ft.","11,110 ft.","6,000 ft.","6,889 ft.",,,,,,,,,-,"2,500 ft.","2,500 ft.","2,500 ft.","2,500 ft.","2,500 ft.","2,500 ft.",-,-,-,-,-,-,-,-,-,-,,,,,,"1,300 ft.",,"4,200 ft.",,"2,700 ft.","2,700 ft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,500 ft.","10,500 ft.","1,900 ft.","8 x 6,000 ft.","2 x 3,280 ft.","6,000 ft.",,,,,,none,none,,
ANCHOR SIZE (S.T.),11,13,10,13.22,11,11,11,10,16.5,12,11,11,16.5,11,15,15,8x16.5,8x14.88,13.5,13.5,13.5,13.5,13.5,20,9.3,9.3,,19.8,20,16.5,16.5,"6x15, 2x18",20,16.5,"4x15, 4x18",16.5,18,13.2,2x4.64,,,11,22.5,13.22,13.22,,11.2,9.9,9.9,9.9,9.9,9.9,9.9,,,,,,,,,,,,,,,,15,,6.6,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,16.5,,,,,,,,,,,,,,,,,,,14,14,14,14,,,,16.5,16.5,,,,,,,,,16.5,44.1,2x6.0,,,,,,,,,,16.5,16.5,2x6.2,15,15,15,,15,,,,15,15,14.75,14.75
LIFTING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDESTAL CRANE 1 (S.T.),52.5,52.5,45.5,115,78.5,62,56,60,57.9,78.5,56,89.5,89.5,110,60,85,89,66,65,65,65,65,65,125,57,57,80,101.4,75,85,83,55,83,83,45,44,83,60.6,40,,56,50,65,100,100,88,56,97.7,97.7,97.7,97.7,97.7,97.7,55,55,44,44,44,44,180,180,93,93,,110,165,165,165,65,50,80,40,125,120,120,60,110,110,75,75,85,85,85,85,,,100,100,94,94,94,94,,,,64,70,85,85,60,85,110,40,77,80,80,105,105,80,80,93,93,105,105,105,105,93,,,94,94,94,94,181,181,181,71,71,110,110,110,110,94,94,94,182,150,88.2,80,50,55,50,66,66,66,77,77,65,165,165,79,71,71,71,35,52.5,35,67,67,68,68,93.7,93.7
PEDESTAL CRANE 2 (S.T.),31.5,30,33.5,115,78.5,62,56,60,57.9,78.5,56,89.5,89.5,66,60,85,66,50,65,65,65,65,65,125,57,57,45,104.4,75,85,83,55,83,83,63,44,83,60.6,40,,56,50,65,100,100,88,56,97.7,97.7,97.7,97.7,97.7,97.7,55,55,44,44,44,44,93,93,93,93,,40,66,66,66,65,30,80,25,125,120,120,60,88,110,75,75,85,85,85,85,,,85,85,94,94,94,94,,,,64,70,85,85,60,85,110,25,38.6,80,80,105,105,80,80,93,93,105,105,105,105,93,,,94,94,94,94,110,110,110,71,71,110,110,110,110,94,94,94,110,150,88.2,80,50,55,50,66,66,66,77,77,65,165,165,24,71,71,71,35,52.5,35,54,54,55,68,55.1,93.7
PEDESTAL CRANE 3 (S.T.),,,,,90.3,62,56,,56,78.5,56,56,56,62,60,,-,-,43,43,40,43,43,,16,16,,,,,,70,,,40,,,,,,35,100,65,15,15,11,,,,,,,,55,55,-,-,-,-,93,93,93,93,,25,13,13,13,,30,,,,,,,,,,,85,85,85,85,,,,,94,94,94,94,,,,,,85,85,,,,,38.6,,,,,,,93,93,,,,,93,,,94,94,94,94,110,110,93.5,,,110,110,110,110,94,94,94,110,16.5,88.2,40,50,55,50,66,66,66,48,48,25,17,17,79,,,,60,10,60,-,--,10,,55.1,93.7
PEDESTAL CRANE 4 (S.T.),,,,,,,,,,,,,,40,,,-,-,,,,,,,16,16,,,20,,,,,,,,,,,,,,,,,4,,,,,,,,-,-,-,-,-,-,93,93,93,93,,,,,,,,,,,,,,,,,,85,85,85,85,,,,,94,94,94,94,,,,,,85,85,,,,,11,,,,,,,93,93,,,,,93,,,,,,94,110,110,93.5,,,110,110,110,110,94,94,94,110,,88.2,,85,94,85,66,66,66,48,48,25,,,,,,,,,,-,--,,,55.1,55.1
RISER HANDLING CRANE (S.T.),30,45,15,25,30,40,,,,30,25,41,41,,25,85,35,35,50,40,40,50,40,40,,,,39,20,30,33,,2x20,2x20,,,22,,,,50,38,30,44,44,45,32,52,52,52,52,52,52,35,35,24,24,24,24,,40,40,40,,,47,47,47,2x20,2x11,40,2x10,45,40,40,40,88,44,,,,,,,,,,,,,,,,,,,,50,55,25,35,44,,30/35,,,44,44,,,,,44,44,,,,,,44,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRILLING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERRICK RATING (Max  Hook Kips),1200,1200,1000,2000,1800,2000,1150,1000,1050,1500,1500,2000,2000,2000,1300,1500,1600,1500,1500,1500,1500,1500,1500,2MM/1MM,1150,1100,1600,2500,1500,1600,2000,1393,1500,1500,1392,1500,1500,1400,1330,,1400,2000,1800,2000,2000,2000,1928,2000,2000,2000,2000,2000,2000,1600,1600,1300,1300,1300,1300,2000,2000,2000,2000,,1500,"2,500/1,500","2,500/1,500","2,500/1,500",1500,1400,1500,1000,2000,2500,2500,1500,2000,2000,2000,2000,,,,,,,,,2000,2000,2000,2000,,,,,,2000,2000,1500,2000,2000,1000,"1x1,500 + 1x1,300","1x2,000, 1x1,000","1x2,000, 1x1,000",2500,2500,2000,2000,"1x2,000, 1x1,000","1x2,000, 1x1,000",2500,2500,2000,2000,"1x2,000, 1x1,000",,,2000,2000,2000,2000,5000,5000,4000,"3,000 (2,000/1,000)","3,000 (2,000/1,000)",5000,5000,5000,5000,4000,4000,4000,5000,3000,1200,2600,2000,2000,2000,4000,4000,4000,2000,2000,2000,"3,000 (2,000/1,000)","3,000 (2,000/1,000)",1500,2057,2057,2057,1330,1000,1330,1300,1300,1000,1300,2000,2500
DERRICK MANUFACTURER,Pyramid,Pyramid,Pyramid,Loadmaster,Branham,Loadmaster,Pyramid,Golar-Nor,Dreco,DSL,Dreco,National,National,Dreco,Pyramid,Dreco,Loadmaster,Bailey,Dreco,Dreco,Dreco,Dreco,Dreco,Dreco,C.E.,C.E.,Woolslayer,Dreco,Pyramid,Dreco,Dreco,Branham,M-H,M-H,C-E,Dreco,M-H,Branham,Pyramid,,Pyramid,Pyramid,Branham,AKMH,AKMH,Dreco,Dreco,NOV,NOV,NOV,NOV,NOV,NOV,Joseph Paris,Joseph Paris,Pyramid,Pyramid,Pyramid,Pyramid,NOV,NOV,NOV,NOV,,Pyramid,NOV,NOV,NOV,Dreco,Lee C. Moore,Aker,Dreco,NOV,Dreco,Dreco,M-H,Huisman,Huisman,Hydralift,Hydralift,,,,,NOV Dual Derrick,NOV Dual Derrick,NOV Dual Derrick,NOV Dual Derrick,NOV,DEC,JAN,FEB,,,,NOV,NOV,Bailey,NOV,Dreco,WEI,Aker Solutions,Pyramid,MH,MH,MH,MH,MH,MH,MH,NOV,NOV,MH,MH,NOV,NOV,NOV,,MH,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH,Aker MH,NOV,Aker MH,Aker MH,Dreco,Dreco,Dreco,Dreco,NOV,NOV,NOV,Dreco,NOV,Dreco,Enfab,Dreco,Dreco,Dreco,Dreco,Dreco,Dreco,Dreco,Dreco,M.I.L.,Bailey,Bailey,Dreco,J.Paris,J.Paris,J.Paris,Pyramid,Dreco,Pyramid,LCMoore,Woolslayer,Dreco,Dreco,AKMH,AKMH
DERRICK FOOTPRINT LENGHT (ft.),40 ft.,40 ft.,40 ft.,46 ft.,40 ft.,48 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,48 ft.,48 ft.,48 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,36 ft.,36 ft.,40 ft.,48 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,44 ft.,,40 ft.,50 ft.,40 ft.,46 ft.,46 ft.,46 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,48 ft.,48 ft.,40 ft.,40 ft.,40 ft.,40 ft.,80 ft.,80 ft.,80 ft.,80 ft.,,52 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,44 ft.,44 ft.,40 ft.,50 ft.,50 ft.,40 ft.,26 ft.,18.3 ft.,40 ft.,40 ft.,,,,,,,,,80 ft.,80 ft.,80 ft.,80 ft.,,,,185 ft.,185 ft.,60 ft.,60 ft.,40 ft.,85 ft.,74 ft.,44 ft.,,,,52 ft.,52 ft.,47 ft.,47 ft.,60 ft.,60 ft.,52 ft.,52 ft.,,,60 ft.,,,,,,,,,80 ft.,,,80 ft.,80 ft.,80 ft.,80 ft.,80 ft.,80 ft.,80 ft.,80 ft.,57 ft.,95 ft.,55 ft.,48 ft.,48 ft.,48 ft.,80 ft.,80 ft.,80 ft.,60 ft.,60 ft.,42 ft.,52 ft.,52 ft.,40 ft.,167 ft.,167 ft.,167 ft.,46 ft.,50 ft.,46 ft.,50 ft.,50 ft.,50 ft.,62 ft.,52 ft.,52 ft.
DERRICK FOOTPRINT BREADTH (ft.),40 ft.,40 ft.,40 ft.,52 ft.,40 ft.,46 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,46 ft.,46 ft.,46 ft.,40 ft.,35 ft.,44 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,69 ft.,36 ft.,36 ft.,42 ft.,48 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,40 ft.,36 ft.,,40 ft.,50 ft.,40 ft.,52 ft.,52 ft.,50 ft.,46 ft.,46 ft.,46 ft.,46 ft.,46 ft.,46 ft.,46 ft.,48 ft.,48 ft.,40 ft.,40 ft.,40 ft.,40 ft.,60 ft.,60 ft.,60 ft.,60 ft.,,52 ft.,72 ft.,72 ft.,72 ft.,40 ft.,40 ft.,36 ft.,36 ft.,40 ft.,50 ft.,50 ft.,40 ft.,24 ft.,26.3 ft.,40 ft.,40 ft.,,,,,,,,,60 ft.,60 ft.,60 ft.,60 ft.,,,,43 ft.,43 ft.,80 ft.,80 ft.,40 ft.,40 ft.,24.6 ft.,36 ft.,,,,46 ft.,46 ft.,47 ft.,47 ft.,80 ft.,80 ft.,46 ft.,46 ft.,,,80 ft.,,,,,,,,,60 ft.,,,80 ft.,80 ft.,80 ft.,80 ft.,60 ft.,60 ft.,60 ft.,80 ft.,52 ft.,75 ft.,85 ft.,40 ft.,40 ft.,40 ft.,80 ft.,80 ft.,80 ft.,55 ft.,55 ft.,61 ft.,57 ft.,57 ft.,40 ft.,39 ft.,39 ft.,39 ft.,54 ft.,50 ft.,54 ft.,40 ft.,40 ft.,40 ft.,24 ft.,46 ft.,46 ft.
DRAWWORKS (H.P.),3000,3000,3000,6900,3000,4000,3000,3000,3000,3000,3000,4000,4000,4000,3000,4500,3000,3000,3000,3000,3000,3000,3000,"4,000/2,000",3000,3000,3000,8400,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,3000,5000,3000,4500,4500,6900,3000,6000,6000,6000,6000,6000,6000,4600,4600,3000,3000,3000,3000,5750,5750,5750,5750,,,"6,000/4,500","6,000/4,500","6,000/4,500",3000,3000,3000,3000,6900,6900,6900,6000,"6,170/3,080",6600,4000,4000,,,,,6900,6900,4600,4600,5750,5750,5750,5750,,,,6000,6000,4200,5750,3000,4000,Dual RamRig,3000,,,,4500,4500,4500,4500,5760,5760,4500,4500,5750,5750,5760,,4500,Hoist Cyl Rig,Hoist Cyl Rig,Hoist Cyl Rig,Hoist Cyl Rig,"9,000/6,000","9,000/6,000","6.900/5,750",Dual RamRig,Dual RamRig,"6,900x2","6,900x2","6,900x2","6,900x2","5,750x2","5,750x2","5,750x2","6,900x2","6,900/4,600",5000,5000,6600,6600,6600,5000,5000,5000,5000,5000,5000,"7,000/4,500","7,000/4,500",3000,6800,6800,6800,3000,3000,3000,3000,3000,3000,2000,4500,6000
DRAWWORKS Manufacturer,Oilwell,Oilwell,Oilwell,NOV,C-E,National,C-E,National,National,C-E,C-E,National,National,National,Oilwell,National,National,National,Oilwell,Oilwell,Oilwell,C-E,Oilwell,National,National,Emsco C-3 Type II,National,Hitec,National,National,C-E,National,C-E,C-E,National,C-E,C-E,National,National,,National,C-E,National,Wirth,Wirth,N-O Hitec,National,NOV,NOV,NOV,NOV,NOV,NOV,N-O Dreco,N-O Dreco,C-E,C-E,C-E,C-E,NOV,NOV,NOV,NOV,,NOV,Wirth,Wirth,Wirth,Oilwell,Oilwell,National,Oilwell,NOV,National,National,Sense,Huisman,Huisman,Emsco,Emsco,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,DEC,JAN,FEB,,,,NOV,NOV,Wirth,NOV,C-E,NOV,Aker Solutions,Gardner Denver,,,,Wirth GH4500,Wirth GH4500,Wirth 4500,Wirth 4500,SSGD-5760,SSGD-5760,Wirth GH4500,Wirth GH4500,NOV 1000,NOV 1000,SSGD-5760,,Wirth,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,NOV-HydraLift,Aker MH,Aker MH,NOV,Dual RamRig,Dual RamRig,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,NOV,C-E,C-E,Dreco/Hitec,Dreco/Hitec,Dreco/Hitec,C-E,C-E,C-E,National,National,National,National,National,Oilwell,N-O Hitec,N-O Hitec,N-O Hitec,National,Oilwell,C-E,Oilwell,Oilwell,Oilwell,Oilwell,Wirth,Wirth
DRILL LINE SIZE (In.),1.5 in.,1.5 in.,1.5 ft.,2 in.,1.625 in.,2 in.,1.625 in.,1.5 in.,1.625 in.,1.625 in.,1.625 in.,2 in.,2 in.,2 in.,1.625 in.,1.875 in.,1.75 in.,1.75 in.,1.75 in.,1.75 in.,1.75 in.,1.75 in.,1.75 in.,2/1.375 in.,1.5 in.,1.5 in.,1.75 in.,2 in.,1.75 in.,1.75 in.,1.75 in.,1.5 in.,1.75 in.,1.75 in.,1.5 in.,1.625 in.,1.75 in.,1.5 in.,1.875 in.,,1.625 in.,1.75 in.,1.625 in.,2 in.,2 in.,2 in.,1.75 in.,2.00 in.,2.00 in.,2.00 in.,2.00 in.,2.00 in.,,1.75 in.,1.75 in.,1.625 in.,1.625 in.,1.625 in.,1.625 in.,2.00 in.,2.00 in.,2.00 in.,2.00 in.,,49.5 in.,1.85 in./1.75 in.,1.85 in./1.75 in.,1.85 in./1.75 in.,1.75 in.,1.5 in.,1.5 in.,1.5 in.,2 in.,2 in.,2 in.,1.75 in.,2 in.,2 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,60.5 in.,,,,,2 in.,2 in.,2 in.,2 in.,,,,,,2 in.,2 in.,1.75 in.,2 in.,,1.875 in.,,,,,,,,,,,,,,,,,,,,,2 in.,2 in.,2 in.,,,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,2 in.,1.75 in. (2),1.75 in. (2),1.75 in.,2 in.,2 in.,2 in.,1.75 in.,1.5 in.,1.75 in.,1.75 in.,1.75 in.,1.5 in.,1.5 in.,2 in.,2.25 in.
